disasterNumber,county,declarationDate,incidentType,amountOblig
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),4958.91
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),1337.27
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),11921.34
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),4353.75
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),1275.0
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),11184.75
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),9378.81
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),1567.5
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),518081.81
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),4844.7
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),549516.84
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),13828.35
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),43076.25
1325,District of Columbia,2000-04-10T00:00:00.000Z,Severe Storm(s),116458.5
1338,District of Columbia,2000-08-17T00:00:00.000Z,Severe Storm(s),837.75
1338,District of Columbia,2000-08-17T00:00:00.000Z,Severe Storm(s),14733.0
1338,District of Columbia,2000-08-17T00:00:00.000Z,Severe Storm(s),264465.92
1338,District of Columbia,2000-08-17T00:00:00.000Z,Severe Storm(s),1618.67
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),8034.68
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),175396.36
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),5110.82
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),7500.0
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),26954.48
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),3656.93
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),751.94
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),0.0
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),16020.29
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),51886.94
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),0.0
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),37500.0
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),155053.14
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),3775.64
1389,District of Columbia,2001-08-16T00:00:00.000Z,Severe Storm(s),177660.55
1493,District of Columbia,2003-09-20T00:00:00.000Z,Hurricane,1713195.85
