disasterNumber,county,year,incidentType,amountOblig
1417,Statewide,2002,Typhoon,38706.75
1417,Yap,2002,Typhoon,783192.87
1417,Yap,2002,Typhoon,1942.8
1417,Yap,2002,Typhoon,54139.12
1417,Yap,2002,Typhoon,46875.26
1417,Statewide,2002,Typhoon,47987.25
1417,Yap,2002,Typhoon,89775.25
1417,Yap,2002,Typhoon,390931.01
1427,Chuuk,2002,Typhoon,269939.97
1427,Chuuk,2002,Typhoon,18420.25
1427,Chuuk,2002,Typhoon,7257.96
1427,Chuuk,2002,Typhoon,3780.77
1427,Chuuk,2002,Typhoon,14422.04
1427,Chuuk,2002,Typhoon,14451.86
1427,Chuuk,2002,Typhoon,12010.74
1427,Chuuk,2002,Typhoon,6770.84
1427,Chuuk,2002,Typhoon,900.0
1427,Chuuk,2002,Typhoon,89529.06
1427,Chuuk,2002,Typhoon,183399.85
1427,Chuuk,2002,Typhoon,9445.86
1427,Chuuk,2002,Typhoon,20996.22
1427,Chuuk,2002,Typhoon,6443.82
1427,Chuuk,2002,Typhoon,1313.28
1427,Chuuk,2002,Typhoon,59080.33
1427,Chuuk,2002,Typhoon,3592.9
1427,Chuuk,2002,Typhoon,13327.48
1427,Chuuk,2002,Typhoon,7852.42
1427,Chuuk,2002,Typhoon,25675.2
1427,Chuuk,2002,Typhoon,2569.75
1427,Chuuk,2002,Typhoon,57207.02
1427,Statewide,2002,Typhoon,121841.17
1427,Chuuk,2002,Typhoon,31955.29
1427,Chuuk,2002,Typhoon,341658.22
1427,Chuuk,2002,Typhoon,11917.87
1427,Chuuk,2002,Typhoon,35649.22
1427,Chuuk,2002,Typhoon,11684.06
1427,Chuuk,2002,Typhoon,24274.97
1427,Chuuk,2002,Typhoon,3924.28
1427,Chuuk,2002,Typhoon,16736.66
1427,Pohnpei,2002,Typhoon,225000.0
1427,Chuuk,2002,Typhoon,10255.3
1427,Chuuk,2002,Typhoon,7434.23
1427,Pohnpei,2002,Typhoon,1755.0
1427,Chuuk,2002,Typhoon,45000.0
1427,Chuuk,2002,Typhoon,125311.45
1427,Chuuk,2002,Typhoon,1994.86
1427,Chuuk,2002,Typhoon,3389.04
1427,Chuuk,2002,Typhoon,63653.0
1427,Pohnpei,2002,Typhoon,107452.85
1427,Chuuk,2002,Typhoon,9786.47
1427,Chuuk,2002,Typhoon,8412.66
1427,Chuuk,2002,Typhoon,77096.69
1427,Chuuk,2002,Typhoon,2586.23
1427,Chuuk,2002,Typhoon,3686.75
1449,Chuuk,2003,Typhoon,39217.62
1449,Chuuk,2003,Typhoon,1245.0
1449,Chuuk,2003,Typhoon,14322.98
1449,Chuuk,2003,Typhoon,30429.71
1449,Chuuk,2003,Typhoon,82502.68
1449,Chuuk,2003,Typhoon,23017.29
1449,Chuuk,2003,Typhoon,36985.5
1449,Chuuk,2003,Typhoon,21657.0
1449,Chuuk,2003,Typhoon,1040.45
1449,Chuuk,2003,Typhoon,67165.37
1449,Chuuk,2003,Typhoon,94022.93
1449,Chuuk,2003,Typhoon,1245.0
1449,Chuuk,2003,Typhoon,15316.2
1449,Chuuk,2003,Typhoon,26500.92
1449,Chuuk,2003,Typhoon,63807.15
1449,Chuuk,2003,Typhoon,1245.0
1449,Chuuk,2003,Typhoon,1245.0
1449,Chuuk,2003,Typhoon,1245.0
1449,Statewide,2003,Typhoon,129446.25
1449,Chuuk,2003,Typhoon,862498.41
1449,Chuuk,2003,Typhoon,207040.48
1449,Chuuk,2003,Typhoon,205247.65
1449,Chuuk,2003,Typhoon,23835.96
1449,Chuuk,2003,Typhoon,16988.25
1449,Chuuk,2003,Typhoon,77391.77
1449,Chuuk,2003,Typhoon,36016.26
1449,Chuuk,2003,Typhoon,28455.62
1449,Chuuk,2003,Typhoon,9157.5
1449,Chuuk,2003,Typhoon,20691.59
1449,Chuuk,2003,Typhoon,15809.41
1449,Chuuk,2003,Typhoon,231381.35
1449,Chuuk,2003,Typhoon,0.0
1449,Chuuk,2003,Typhoon,112664.54
1449,Chuuk,2003,Typhoon,3673.04
1449,Chuuk,2003,Typhoon,1245.0
1449,Chuuk,2003,Typhoon,4516.5
1449,Chuuk,2003,Typhoon,1245.0
1504,Yap,2003,Typhoon,394490.34
1504,Yap,2003,Typhoon,41182.32
1504,Chuuk,2003,Typhoon,46522.76
1504,Statewide,2003,Typhoon,144026.26
1504,Yap,2003,Typhoon,439534.57
1504,Yap,2003,Typhoon,108263.0
1511,Statewide,2004,Typhoon,176909.4
1511,Yap,2004,Typhoon,678576.44
1511,Statewide,2004,Typhoon,277356.96
1511,Yap,2004,Typhoon,8667.55
1511,Statewide,2004,Typhoon,3951.1
1511,Statewide,2004,Typhoon,6712.2
1511,Statewide,2004,Typhoon,12569.68
1511,Statewide,2004,Typhoon,298572.9
1511,Yap,2004,Typhoon,97172.78
1511,Yap,2004,Typhoon,29376.0
1511,Yap,2004,Typhoon,19299.11
1511,Statewide,2004,Typhoon,14283.17
1511,Yap,2004,Typhoon,428014.8
1511,Yap,2004,Typhoon,5540548.02
1511,Yap,2004,Typhoon,0.0
1511,Yap,2004,Typhoon,9044.96
1511,Yap,2004,Typhoon,1329561.61
1511,Yap,2004,Typhoon,4455.24
1511,Yap,2004,Typhoon,260366.4
1511,Yap,2004,Typhoon,2178618.13
1511,Yap,2004,Typhoon,12590.16
1511,Yap,2004,Typhoon,2177859.75
3276,Statewide,2007,Drought,73991.65
