disasterNumber,county,year,incidentType,amountOblig
1300,Statewide,1999,Hurricane,272217.0
1300,Brevard,1999,Hurricane,110759.57
1300,Statewide,1999,Hurricane,5305070.71
1300,Brevard,1999,Hurricane,44488.06
1300,Statewide,1999,Hurricane,13824.72
1300,Nassau,1999,Hurricane,340967.91
1300,Palm Beach,1999,Hurricane,17709.95
1300,Palm Beach,1999,Hurricane,52144.67
1300,Brevard,1999,Hurricane,7579.19
1300,Brevard,1999,Hurricane,106848.17
1300,Palm Beach,1999,Hurricane,1739.94
1300,Brevard,1999,Hurricane,86318.67
1300,Palm Beach,1999,Hurricane,17317.37
1300,Brevard,1999,Hurricane,84504.61
1300,Highlands,1999,Hurricane,413842.72
1300,Duval,1999,Hurricane,31836.0
1300,Statewide,1999,Hurricane,63722.25
1300,St. Lucie,1999,Hurricane,270640.77
1300,Statewide,1999,Hurricane,37098.75
1300,St. Lucie,1999,Hurricane,74300.6
1300,St. Johns,1999,Hurricane,490748.36
1300,Palm Beach,1999,Hurricane,804.6
1300,St. Lucie,1999,Hurricane,11480.48
1300,Statewide,1999,Hurricane,21300.0
1300,Palm Beach,1999,Hurricane,1585.08
1300,Indian River,1999,Hurricane,15807.75
1300,Statewide,1999,Hurricane,144408.0
1300,Brevard,1999,Hurricane,1798.96
1300,Brevard,1999,Hurricane,28712.01
1300,Flagler,1999,Hurricane,309180.13
1300,Duval,1999,Hurricane,15530.39
1300,Flagler,1999,Hurricane,149169.07
1300,Brevard,1999,Hurricane,131517.69
1300,Palm Beach,1999,Hurricane,9156.77
1300,Palm Beach,1999,Hurricane,24038.64
1300,Martin,1999,Hurricane,12836.41
1300,Palm Beach,1999,Hurricane,5251.4
1300,Duval,1999,Hurricane,125274.24
1300,Flagler,1999,Hurricane,17091.75
1300,Martin,1999,Hurricane,40818.63
1300,Glades,1999,Hurricane,23875.5
1300,Palm Beach,1999,Hurricane,103775.42
1300,Palm Beach,1999,Hurricane,1335.59
1300,Statewide,1999,Hurricane,47337.0
1300,Brevard,1999,Hurricane,2078542.59
1300,St. Johns,1999,Hurricane,3724.04
1300,Duval,1999,Hurricane,18258.0
1300,Martin,1999,Hurricane,646595.03
1300,Flagler,1999,Hurricane,6096.75
1300,Brevard,1999,Hurricane,60597.74
1300,Palm Beach,1999,Hurricane,3561.08
1300,Palm Beach,1999,Hurricane,480355.58
1300,St. Johns,1999,Hurricane,111242.48
1300,Statewide,1999,Hurricane,21657.75
1300,Flagler,1999,Hurricane,5206567.01
1300,Brevard,1999,Hurricane,189709.23
1300,Martin,1999,Hurricane,464213.58
1300,Statewide,1999,Hurricane,270164.25
1300,Duval,1999,Hurricane,16786.64
1300,Volusia,1999,Hurricane,1501109.71
1300,St. Lucie,1999,Hurricane,27529.75
1300,Palm Beach,1999,Hurricane,4355.25
1300,Statewide,1999,Hurricane,5954.25
1300,Indian River,1999,Hurricane,5728.75
1300,St. Johns,1999,Hurricane,126665.6
1300,Palm Beach,1999,Hurricane,3361.74
1300,Statewide,1999,Hurricane,2990051.7
1300,Brevard,1999,Hurricane,21842.69
1300,Volusia,1999,Hurricane,14128.54
1300,Indian River,1999,Hurricane,41966.61
1300,Brevard,1999,Hurricane,25109.57
1300,Palm Beach,1999,Hurricane,101706.44
1300,Statewide,1999,Hurricane,19780.5
1300,St. Lucie,1999,Hurricane,53452.34
1300,Palm Beach,1999,Hurricane,6884.56
1300,Brevard,1999,Hurricane,145290.48
1300,Flagler,1999,Hurricane,30910.98
1300,St. Lucie,1999,Hurricane,21249.95
1300,Duval,1999,Hurricane,368672.67
1300,Statewide,1999,Hurricane,547816.5
1300,Palm Beach,1999,Hurricane,104950.39
1300,Duval,1999,Hurricane,1435585.15
1300,Palm Beach,1999,Hurricane,10877.25
1300,Palm Beach,1999,Hurricane,2125.28
1300,Palm Beach,1999,Hurricane,10380.0
1300,Volusia,1999,Hurricane,12622.88
1300,Brevard,1999,Hurricane,7241.77
1300,Highlands,1999,Hurricane,3872.73
1300,Duval,1999,Hurricane,1337334.75
1300,Brevard,1999,Hurricane,82006.24
1300,Nassau,1999,Hurricane,9339.62
1300,Martin,1999,Hurricane,25777.77
1300,Palm Beach,1999,Hurricane,40599.41
1300,Indian River,1999,Hurricane,12066.65
1300,Brevard,1999,Hurricane,1998.0
1300,Palm Beach,1999,Hurricane,5191.21
1300,Palm Beach,1999,Hurricane,13604.84
1300,Duval,1999,Hurricane,3441.75
