disasterNumber,county,declarationDate,incidentType,amountOblig
1271,Dooly,1999-04-20T00:00:00.000Z,Severe Storm(s),1669460.72
1271,Statewide,1999-04-20T00:00:00.000Z,Severe Storm(s),27134.66
1271,Dooly,1999-04-20T00:00:00.000Z,Severe Storm(s),48347.96
1271,Statewide,1999-04-20T00:00:00.000Z,Severe Storm(s),24549.84
1271,Dooly,1999-04-20T00:00:00.000Z,Severe Storm(s),24517.94
1271,Dooly,1999-04-20T00:00:00.000Z,Severe Storm(s),4840.24
1271,Statewide,1999-04-20T00:00:00.000Z,Severe Storm(s),1997.95
1311,Gordon,2000-01-28T00:00:00.000Z,Severe Storm(s),46251.47
1311,Bartow,2000-01-28T00:00:00.000Z,Severe Storm(s),3329.58
1311,Pickens,2000-01-28T00:00:00.000Z,Severe Storm(s),24347.43
1311,Fulton,2000-01-28T00:00:00.000Z,Severe Storm(s),40818.99
1311,Pickens,2000-01-28T00:00:00.000Z,Severe Storm(s),1239.45
1311,DeKalb,2000-01-28T00:00:00.000Z,Severe Storm(s),10959.5
1311,Greene,2000-01-28T00:00:00.000Z,Severe Storm(s),6072.0
1311,Lumpkin,2000-01-28T00:00:00.000Z,Severe Storm(s),5614.5
1311,Fulton,2000-01-28T00:00:00.000Z,Severe Storm(s),634401.14
1311,Hart,2000-01-28T00:00:00.000Z,Severe Storm(s),6418.86
1311,Floyd,2000-01-28T00:00:00.000Z,Severe Storm(s),3185.63
1311,Barrow,2000-01-28T00:00:00.000Z,Severe Storm(s),53483.29
1311,Oconee,2000-01-28T00:00:00.000Z,Severe Storm(s),983.24
1311,Haralson,2000-01-28T00:00:00.000Z,Severe Storm(s),8500.13
1311,Jasper,2000-01-28T00:00:00.000Z,Severe Storm(s),3572.51
1311,Chattooga,2000-01-28T00:00:00.000Z,Severe Storm(s),5178.49
1311,Chattooga,2000-01-28T00:00:00.000Z,Severe Storm(s),3378.75
1311,DeKalb,2000-01-28T00:00:00.000Z,Severe Storm(s),3772.67
1311,Jasper,2000-01-28T00:00:00.000Z,Severe Storm(s),12325.83
1311,Forsyth,2000-01-28T00:00:00.000Z,Severe Storm(s),221071.8
1311,Pickens,2000-01-28T00:00:00.000Z,Severe Storm(s),33263.94
1311,Clarke,2000-01-28T00:00:00.000Z,Severe Storm(s),169462.4
1311,Habersham,2000-01-28T00:00:00.000Z,Severe Storm(s),3689.12
1311,Clarke,2000-01-28T00:00:00.000Z,Severe Storm(s),1442.19
1311,Gwinnett,2000-01-28T00:00:00.000Z,Severe Storm(s),6616.24
1311,DeKalb,2000-01-28T00:00:00.000Z,Severe Storm(s),2796.84
1311,Catoosa,2000-01-28T00:00:00.000Z,Severe Storm(s),12688.76
1311,Henry,2000-01-28T00:00:00.000Z,Severe Storm(s),5600.57
1311,Cobb,2000-01-28T00:00:00.000Z,Severe Storm(s),471384.43
1311,Fannin,2000-01-28T00:00:00.000Z,Severe Storm(s),32876.05
1311,DeKalb,2000-01-28T00:00:00.000Z,Severe Storm(s),8860640.14
1311,Monroe,2000-01-28T00:00:00.000Z,Severe Storm(s),86688.57
1311,Oglethorpe,2000-01-28T00:00:00.000Z,Severe Storm(s),18636.91
1311,DeKalb,2000-01-28T00:00:00.000Z,Severe Storm(s),34363.12
1311,Fulton,2000-01-28T00:00:00.000Z,Severe Storm(s),4378.5
1311,DeKalb,2000-01-28T00:00:00.000Z,Severe Storm(s),60808.11
1311,Haralson,2000-01-28T00:00:00.000Z,Severe Storm(s),15753.57
1311,Gilmer,2000-01-28T00:00:00.000Z,Severe Storm(s),4011.08
1311,Henry,2000-01-28T00:00:00.000Z,Severe Storm(s),43645.6
1311,Cherokee,2000-01-28T00:00:00.000Z,Severe Storm(s),28223.25
1311,Jones,2000-01-28T00:00:00.000Z,Severe Storm(s),842.21
1311,Butts,2000-01-28T00:00:00.000Z,Severe Storm(s),19750.62
1311,Chattooga,2000-01-28T00:00:00.000Z,Severe Storm(s),71095.87
1311,Cobb,2000-01-28T00:00:00.000Z,Severe Storm(s),71616.91
1311,Henry,2000-01-28T00:00:00.000Z,Severe Storm(s),15783.75
1311,Butts,2000-01-28T00:00:00.000Z,Severe Storm(s),1005.17
