disasterNumber,county,declarationDate,incidentType,amountOblig
1397,Guam,2001-12-05T00:00:00.000Z,Earthquake,0.0
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,9665.33
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,6232.54
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,98600.65
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,8598.38
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,260235.71
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,0.0
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,7066.97
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,205257.46
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,44549.35
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,63011.37
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,1705.76
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,112500.03
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,0.0
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,26250.02
1397,Guam,2001-12-05T00:00:00.000Z,Earthquake,8960.77
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,3885.05
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,22305.69
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,379232.25
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,10418.45
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,54329.67
1397,Guam,2001-12-05T00:00:00.000Z,Earthquake,1935.64
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,103237.14
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,1723.31
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,0.0
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,924226.67
1397,Statewide,2001-12-05T00:00:00.000Z,Earthquake,2707.05
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,5444.7
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,1178358.8
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,8151.73
1426,Guam,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,9359.51
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,43613.78
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,10931.85
1426,Guam,2002-07-06T00:00:00.000Z,Typhoon,39630.6
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,34534.91
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,53421.16
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,16477.2
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,88323.45
1426,Guam,2002-07-06T00:00:00.000Z,Typhoon,41165.55
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,171081.02
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,118844.18
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,41915.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,5253.75
1426,Guam,2002-07-06T00:00:00.000Z,Typhoon,26589.28
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,49026.91
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,846038.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,27173.25
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,24465.24
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,8768.61
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,1305.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,77232.08
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,889939.75
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,319290.88
1426,Guam,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,1710744.19
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,7423.2
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,18916.8
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,377237.07
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,5045.07
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,2023.25
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,4191917.13
1426,Guam,2002-07-06T00:00:00.000Z,Typhoon,10660.25
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,12994.06
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,78716.9
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,17462.7
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,11627.89
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,4536.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,124755.73
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,988102.52
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,2990.92
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,19001.58
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,59422.26
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,3277.55
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,22241.17
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,0.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,2357.64
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,190724.16
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,49246.63
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,7108.2
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,90.0
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,206584.64
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,21828.92
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,81392.64
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,12870.36
1426,Statewide,2002-07-06T00:00:00.000Z,Typhoon,1418.04
1446,Statewide,2002-12-08T00:00:00.000Z,Typhoon,59423.74
1446,Statewide,2002-12-08T00:00:00.000Z,Typhoon,960047.71
1446,Guam,2002-12-08T00:00:00.000Z,Typhoon,3240.0
