disasterNumber,county,year,incidentType,amountOblig
1592,Statewide,2005,Flood,238761.37
1592,Nez Perce,2005,Flood,83382.68
1592,Nez Perce,2005,Flood,52345.65
1592,Nez Perce,2005,Flood,1468421.73
1630,Statewide,2006,Severe Storm(s),106958.15
1630,Owyhee,2006,Severe Storm(s),923183.1
1630,Owyhee,2006,Severe Storm(s),27818.25
1781,Kootenai,2008,Flood,734116.16
1781,Statewide,2008,Flood,10783.31
1781,Statewide,2008,Flood,151437.15
1781,Statewide,2008,Flood,5040.79
1781,Shoshone,2008,Flood,684132.41
1781,Kootenai,2008,Flood,69646.68
1927,Lewis,2010,Severe Storm(s),50578.36
1927,Idaho,2010,Severe Storm(s),1493326.57
1927,Lewis,2010,Severe Storm(s),22339.99
1927,Lewis,2010,Severe Storm(s),36004.64
1927,Statewide,2010,Severe Storm(s),212109.42
1927,Payette,2010,Severe Storm(s),4500.38
1927,Payette,2010,Severe Storm(s),3421.52
1927,Gem,2010,Severe Storm(s),113847.9
1927,Idaho,2010,Severe Storm(s),3068.02
1927,Payette,2010,Severe Storm(s),27834.81
1927,Valley,2010,Severe Storm(s),35756.23
1927,Payette,2010,Severe Storm(s),2805.44
1927,Washington,2010,Severe Storm(s),187566.68
1927,Statewide,2010,Severe Storm(s),4092.83
1927,Idaho,2010,Severe Storm(s),3984.06
1927,Adams,2010,Severe Storm(s),226601.59
1927,Payette,2010,Severe Storm(s),77097.4
1927,Idaho,2010,Severe Storm(s),10103.3
1987,Bonner,2011,Flood,880699.4
1987,Nez Perce,2011,Flood,110509.49
1987,Idaho,2011,Flood,70082.94
1987,Idaho,2011,Flood,53206.7
1987,Idaho,2011,Flood,17067.17
1987,Statewide,2011,Flood,133330.91
1987,Shoshone,2011,Flood,315123.18
1987,Idaho,2011,Flood,6908.15
1987,Bonner,2011,Flood,47190.36
1987,Clearwater,2011,Flood,85973.78
1987,Bonner,2011,Flood,86160.91
1987,Nez Perce,2011,Flood,30894.47
1987,Idaho,2011,Flood,1031010.35
1987,Nez Perce,2011,Flood,58739.57
3244,Statewide,2005,Hurricane,204799.08
4246,Nez Perce,2015,Severe Storm(s),18051.66
4246,Boundary,2015,Severe Storm(s),522239.89
4246,Statewide,2015,Severe Storm(s),1454112.03
4246,Statewide,2015,Severe Storm(s),86198.0
4246,Kootenai,2015,Severe Storm(s),1875.0
4246,Statewide,2015,Severe Storm(s),133082.96
