disasterNumber,county,year,incidentType,amountOblig
1278,Jo Daviess,1999,Severe Storm(s),11681.52
1278,Jo Daviess,1999,Severe Storm(s),8722.84
1278,Jo Daviess,1999,Severe Storm(s),35677.5
1278,Jo Daviess,1999,Severe Storm(s),8144.25
1278,Jo Daviess,1999,Severe Storm(s),1632.0
1278,Jo Daviess,1999,Severe Storm(s),11026.4
1278,Jo Daviess,1999,Severe Storm(s),6937.69
1278,Jo Daviess,1999,Severe Storm(s),11020.13
1278,Jo Daviess,1999,Severe Storm(s),0.0
1278,Jo Daviess,1999,Severe Storm(s),10998.77
1278,Jo Daviess,1999,Severe Storm(s),9371.03
1278,Statewide,1999,Severe Storm(s),138917.76
1278,Jo Daviess,1999,Severe Storm(s),11107.21
1278,Jo Daviess,1999,Severe Storm(s),7044.0
1278,Jo Daviess,1999,Severe Storm(s),782.25
1278,Jo Daviess,1999,Severe Storm(s),1342.22
1278,Jo Daviess,1999,Severe Storm(s),14762.25
1278,Jo Daviess,1999,Severe Storm(s),55212.4
1278,Statewide,1999,Severe Storm(s),22092.0
1278,Statewide,1999,Severe Storm(s),14167.16
1278,Jo Daviess,1999,Severe Storm(s),22157.55
1278,Jo Daviess,1999,Severe Storm(s),18553.72
1278,Jo Daviess,1999,Severe Storm(s),0.0
1278,Jo Daviess,1999,Severe Storm(s),16420.13
1278,Jo Daviess,1999,Severe Storm(s),28358.96
1278,Jo Daviess,1999,Severe Storm(s),4575.19
1278,Jo Daviess,1999,Severe Storm(s),2103.95
1368,Mercer,2001,Flood,11973.05
1368,Pike,2001,Flood,203913.46
1368,Adams,2001,Flood,7362.75
1368,Adams,2001,Flood,3336.32
1368,Rock Island,2001,Flood,43848.75
1368,Hancock,2001,Flood,19588.5
1368,Rock Island,2001,Flood,626457.0
1368,Hancock,2001,Flood,38307.44
1368,Rock Island,2001,Flood,27126.0
1368,Statewide,2001,Flood,531713.5
1368,Mercer,2001,Flood,5809.35
1368,Rock Island,2001,Flood,2411.99
1368,Mercer,2001,Flood,100692.9
1368,Whiteside,2001,Flood,6954.04
1368,Mercer,2001,Flood,21435.18
1368,Adams,2001,Flood,32191.68
1368,Mercer,2001,Flood,53149.48
1368,Mercer,2001,Flood,2010.0
1368,Hancock,2001,Flood,3750.75
1368,Henderson,2001,Flood,820.7
1368,Hancock,2001,Flood,51165.99
1368,Henderson,2001,Flood,5916.2
1368,Henderson,2001,Flood,20877.0
1368,Mercer,2001,Flood,124724.12
1368,Statewide,2001,Flood,300479.89
1368,Rock Island,2001,Flood,10599.42
1368,Carroll,2001,Flood,69044.9
1368,Rock Island,2001,Flood,39385.71
1368,Mercer,2001,Flood,7896.4
1368,Mercer,2001,Flood,67943.76
1368,Mercer,2001,Flood,88238.12
1368,Henderson,2001,Flood,6149.7
1368,Mercer,2001,Flood,101719.2
1368,Hancock,2001,Flood,8027.85
1368,Adams,2001,Flood,2938.01
1368,Adams,2001,Flood,32377.81
1368,Pike,2001,Flood,16828.5
1368,Adams,2001,Flood,34957.95
1368,Adams,2001,Flood,1298.6
1368,Hancock,2001,Flood,8484.15
1368,Rock Island,2001,Flood,56610.93
1368,Henderson,2001,Flood,102728.6
1368,Mercer,2001,Flood,48643.21
1368,Whiteside,2001,Flood,63202.62
1368,Rock Island,2001,Flood,44939.18
1368,Statewide,2001,Flood,460948.5
1368,Adams,2001,Flood,78030.02
1368,Rock Island,2001,Flood,30011.22
1368,Hancock,2001,Flood,29022.82
1368,Henderson,2001,Flood,220743.54
1368,Whiteside,2001,Flood,35759.36
1368,Whiteside,2001,Flood,183579.0
1368,Hancock,2001,Flood,17029.84
1368,Rock Island,2001,Flood,35271.0
1368,Hancock,2001,Flood,8625.0
1368,Whiteside,2001,Flood,5663.1
1368,Rock Island,2001,Flood,6176.63
1368,Rock Island,2001,Flood,295766.77
1368,Rock Island,2001,Flood,9037.87
1368,Rock Island,2001,Flood,6957.2
1368,Hancock,2001,Flood,3264.64
1368,Rock Island,2001,Flood,29528.28
1368,Carroll,2001,Flood,6966.61
1368,Rock Island,2001,Flood,17264.99
1368,Whiteside,2001,Flood,4729.33
1368,Rock Island,2001,Flood,23804.4
1368,Carroll,2001,Flood,13503.75
1368,Mercer,2001,Flood,107283.0
1368,Jo Daviess,2001,Flood,341601.71
1368,Rock Island,2001,Flood,152396.91
1368,Rock Island,2001,Flood,868.5
1368,Calhoun,2001,Flood,7222.7
1368,Mercer,2001,Flood,48903.38
1368,Hancock,2001,Flood,12510.0
1368,Henderson,2001,Flood,16472.46
1368,Rock Island,2001,Flood,4312.25
1368,Jo Daviess,2001,Flood,4068.66
1368,Mercer,2001,Flood,11338.5
1368,Whiteside,2001,Flood,7124.19
1368,Adams,2001,Flood,1472.98
1368,Adams,2001,Flood,17792.95
1368,Mercer,2001,Flood,9043.16
1368,Calhoun,2001,Flood,14289.76
1368,Hancock,2001,Flood,3105.71
1368,Calhoun,2001,Flood,273859.17
1368,Mercer,2001,Flood,34518.0
1368,Hancock,2001,Flood,32380.77
1368,Calhoun,2001,Flood,20996.66
1368,Carroll,2001,Flood,11351.25
1416,Brown,2002,Tornado,5996.63
1416,Alexander,2002,Tornado,16059.75
1416,Adams,2002,Tornado,4941.53
1416,Adams,2002,Tornado,5289.23
1416,Brown,2002,Tornado,0.0
1416,Adams,2002,Tornado,245135.59
1416,Adams,2002,Tornado,16731.11
1416,Adams,2002,Tornado,6628.84
1416,Adams,2002,Tornado,5877.45
1416,Brown,2002,Tornado,4760.25
1416,Adams,2002,Tornado,7882.85
1416,Brown,2002,Tornado,0.0
1416,Adams,2002,Tornado,4977.89
1416,Adams,2002,Tornado,17025.75
1416,Adams,2002,Tornado,7192.1
1416,Adams,2002,Tornado,7321.2
1416,Alexander,2002,Tornado,210343.78
1416,Brown,2002,Tornado,27912.61
1416,Adams,2002,Tornado,14290.05
1416,Adams,2002,Tornado,8443.9
1416,Adams,2002,Tornado,0.0
1416,Adams,2002,Tornado,10124.68
1416,Brown,2002,Tornado,8153.25
1416,Adams,2002,Tornado,7967.51
1416,Adams,2002,Tornado,0.0
1416,Adams,2002,Tornado,12309.63
1416,Adams,2002,Tornado,5847.0
1416,Gallatin,2002,Tornado,34312.58
1416,Fulton,2002,Tornado,5605.2
1416,Greene,2002,Tornado,10194.0
1416,Effingham,2002,Tornado,0.0
1416,Gallatin,2002,Tornado,14109.38
1416,Edgar,2002,Tornado,2138.09
1416,Fulton,2002,Tornado,2914.88
1416,Fayette,2002,Tornado,7422.75
1416,Clark,2002,Tornado,23740.82
1416,Cass,2002,Tornado,2064.84
1416,Cass,2002,Tornado,1027.5
1416,Fayette,2002,Tornado,11652.98
1416,Fulton,2002,Tornado,13198.22
1416,Adams,2002,Tornado,12979.57
1416,Clark,2002,Tornado,2365.26
1416,Greene,2002,Tornado,0.0
1416,Cumberland,2002,Tornado,4108.66
1416,Fulton,2002,Tornado,19131.0
1416,Douglas,2002,Tornado,3235.5
1416,Clark,2002,Tornado,6147.8
1416,Greene,2002,Tornado,70008.0
1416,Douglas,2002,Tornado,14051.25
1416,Greene,2002,Tornado,6189.75
