disasterNumber,county,declarationDate,incidentType,amountOblig
1418,Brown,2002-06-13T00:00:00.000Z,Severe Storm(s),5220.25
1418,Dearborn,2002-06-13T00:00:00.000Z,Severe Storm(s),33810.87
1418,Crawford,2002-06-13T00:00:00.000Z,Severe Storm(s),27684.65
1418,Brown,2002-06-13T00:00:00.000Z,Severe Storm(s),27530.4
1418,Dearborn,2002-06-13T00:00:00.000Z,Severe Storm(s),140656.98
1418,Dearborn,2002-06-13T00:00:00.000Z,Severe Storm(s),16762.34
1418,Washington,2002-06-13T00:00:00.000Z,Severe Storm(s),54495.49
1418,Sullivan,2002-06-13T00:00:00.000Z,Severe Storm(s),2718.79
1418,Martin,2002-06-13T00:00:00.000Z,Severe Storm(s),11607.26
1418,Vigo,2002-06-13T00:00:00.000Z,Severe Storm(s),19372.52
1418,Gibson,2002-06-13T00:00:00.000Z,Severe Storm(s),7875.0
1418,Perry,2002-06-13T00:00:00.000Z,Severe Storm(s),3195.0
1418,Sullivan,2002-06-13T00:00:00.000Z,Severe Storm(s),143967.59
1418,Gibson,2002-06-13T00:00:00.000Z,Severe Storm(s),66860.36
1418,Owen,2002-06-13T00:00:00.000Z,Severe Storm(s),4193.72
1418,Perry,2002-06-13T00:00:00.000Z,Severe Storm(s),22983.05
1418,Perry,2002-06-13T00:00:00.000Z,Severe Storm(s),5124.0
1418,Gibson,2002-06-13T00:00:00.000Z,Severe Storm(s),41800.73
1418,Pike,2002-06-13T00:00:00.000Z,Severe Storm(s),76157.77
1418,Knox,2002-06-13T00:00:00.000Z,Severe Storm(s),138674.21
1418,Statewide,2002-06-13T00:00:00.000Z,Severe Storm(s),-27481.56
1418,Washington,2002-06-13T00:00:00.000Z,Severe Storm(s),5820.31
1418,Dubois,2002-06-13T00:00:00.000Z,Severe Storm(s),91539.82
1418,Knox,2002-06-13T00:00:00.000Z,Severe Storm(s),13306.05
1418,Johnson,2002-06-13T00:00:00.000Z,Severe Storm(s),11309.49
1418,Jefferson,2002-06-13T00:00:00.000Z,Severe Storm(s),683170.7
