disasterNumber,county,declarationDate,incidentType,amountOblig
1277,Dubuque,1999-05-21T00:00:00.000Z,Severe Storm(s),260069.21
1282,Bremer,1999-07-22T00:00:00.000Z,Severe Storm(s),440241.75
1282,Butler,1999-07-22T00:00:00.000Z,Severe Storm(s),5770.52
1277,Clinton,1999-05-21T00:00:00.000Z,Severe Storm(s),77399.24
1277,Dubuque,1999-05-21T00:00:00.000Z,Severe Storm(s),225037.91
1282,Howard,1999-07-22T00:00:00.000Z,Severe Storm(s),26829.0
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),36735.9
1277,Buchanan,1999-05-21T00:00:00.000Z,Severe Storm(s),10732.89
1282,Butler,1999-07-22T00:00:00.000Z,Severe Storm(s),4620.78
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),5700.0
1282,Woodbury,1999-07-22T00:00:00.000Z,Severe Storm(s),223166.93
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),2743.86
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),11242.57
1282,Butler,1999-07-22T00:00:00.000Z,Severe Storm(s),188149.17
1282,Bremer,1999-07-22T00:00:00.000Z,Severe Storm(s),159864.02
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),15039.96
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),2502.0
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),20877.86
1277,Buchanan,1999-05-21T00:00:00.000Z,Severe Storm(s),21985.96
1282,Floyd,1999-07-22T00:00:00.000Z,Severe Storm(s),3198.9
1277,Clinton,1999-05-21T00:00:00.000Z,Severe Storm(s),16330.64
1282,Statewide,1999-07-22T00:00:00.000Z,Severe Storm(s),86850.73
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),11487.75
1282,Black Hawk,1999-07-22T00:00:00.000Z,Severe Storm(s),421507.49
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),858461.73
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),27375.0
1282,Worth,1999-07-22T00:00:00.000Z,Severe Storm(s),10161.31
1277,Buchanan,1999-05-21T00:00:00.000Z,Severe Storm(s),249109.66
1277,Black Hawk,1999-05-21T00:00:00.000Z,Severe Storm(s),8738.11
1282,Butler,1999-07-22T00:00:00.000Z,Severe Storm(s),10721.82
1282,Jones,1999-07-22T00:00:00.000Z,Severe Storm(s),63903.98
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),3047.07
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),2782.5
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),14760.0
1277,Black Hawk,1999-05-21T00:00:00.000Z,Severe Storm(s),218569.6
1277,Bremer,1999-05-21T00:00:00.000Z,Severe Storm(s),145044.96
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),3668.12
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),5787.61
1277,Dubuque,1999-05-21T00:00:00.000Z,Severe Storm(s),513011.02
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),63270.47
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),8741.41
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),76184.6
1277,Dubuque,1999-05-21T00:00:00.000Z,Severe Storm(s),2808.07
1277,Harrison,1999-05-21T00:00:00.000Z,Severe Storm(s),12546.75
1282,Butler,1999-07-22T00:00:00.000Z,Severe Storm(s),12300.6
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),1026.95
1277,Butler,1999-05-21T00:00:00.000Z,Severe Storm(s),32700.77
1282,Bremer,1999-07-22T00:00:00.000Z,Severe Storm(s),59315.32
1282,Chickasaw,1999-07-22T00:00:00.000Z,Severe Storm(s),7027.25
1277,Jones,1999-05-21T00:00:00.000Z,Severe Storm(s),45705.54
1282,Chickasaw,1999-07-22T00:00:00.000Z,Severe Storm(s),1012.5
1282,Mills,1999-07-22T00:00:00.000Z,Severe Storm(s),159270.57
1282,Floyd,1999-07-22T00:00:00.000Z,Severe Storm(s),4182.33
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),3083.68
1282,Mitchell,1999-07-22T00:00:00.000Z,Severe Storm(s),11257.75
1282,Howard,1999-07-22T00:00:00.000Z,Severe Storm(s),50572.84
1277,Butler,1999-05-21T00:00:00.000Z,Severe Storm(s),4531.62
1282,Cerro Gordo,1999-07-22T00:00:00.000Z,Severe Storm(s),238425.12
1277,Bremer,1999-05-21T00:00:00.000Z,Severe Storm(s),31355.56
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),168346.92
1277,Dubuque,1999-05-21T00:00:00.000Z,Severe Storm(s),5001.75
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),2881.76
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),32664.0
1282,Mitchell,1999-07-22T00:00:00.000Z,Severe Storm(s),261985.38
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),708789.1
1277,Chickasaw,1999-05-21T00:00:00.000Z,Severe Storm(s),33876.47
1282,Chickasaw,1999-07-22T00:00:00.000Z,Severe Storm(s),7224.6
1282,Buchanan,1999-07-22T00:00:00.000Z,Severe Storm(s),45048.57
1277,Buchanan,1999-05-21T00:00:00.000Z,Severe Storm(s),13295.81
1282,Statewide,1999-07-22T00:00:00.000Z,Severe Storm(s),8640.23
1277,Black Hawk,1999-05-21T00:00:00.000Z,Severe Storm(s),34903.2
1282,Buchanan,1999-07-22T00:00:00.000Z,Severe Storm(s),36052.93
1277,Harrison,1999-05-21T00:00:00.000Z,Severe Storm(s),316112.38
1282,Story,1999-07-22T00:00:00.000Z,Severe Storm(s),140750.95
1282,Butler,1999-07-22T00:00:00.000Z,Severe Storm(s),9296.9
1277,Dubuque,1999-05-21T00:00:00.000Z,Severe Storm(s),11009.85
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),32046.33
1282,Mitchell,1999-07-22T00:00:00.000Z,Severe Storm(s),2666.52
1277,Delaware,1999-05-21T00:00:00.000Z,Severe Storm(s),6274.33
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),283912.72
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),8103.0
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),60932.63
1277,Montgomery,1999-05-21T00:00:00.000Z,Severe Storm(s),150963.99
1277,Black Hawk,1999-05-21T00:00:00.000Z,Severe Storm(s),2892.29
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),8014.1
1277,Buchanan,1999-05-21T00:00:00.000Z,Severe Storm(s),1123.5
1277,Jones,1999-05-21T00:00:00.000Z,Severe Storm(s),1899.92
1282,Butler,1999-07-22T00:00:00.000Z,Severe Storm(s),4390.32
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),12771.45
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),50072.25
1277,Bremer,1999-05-21T00:00:00.000Z,Severe Storm(s),5070.87
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),256441.25
1282,Black Hawk,1999-07-22T00:00:00.000Z,Severe Storm(s),18921.73
1277,Chickasaw,1999-05-21T00:00:00.000Z,Severe Storm(s),1195.88
1282,Cerro Gordo,1999-07-22T00:00:00.000Z,Severe Storm(s),33770.65
1282,Floyd,1999-07-22T00:00:00.000Z,Severe Storm(s),45961.37
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),4830.74
1282,Chickasaw,1999-07-22T00:00:00.000Z,Severe Storm(s),353552.09
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),130351.78
1277,Butler,1999-05-21T00:00:00.000Z,Severe Storm(s),154832.38
1277,Dubuque,1999-05-21T00:00:00.000Z,Severe Storm(s),44168.9
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),68003.63
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),2560.5
1282,Statewide,1999-07-22T00:00:00.000Z,Severe Storm(s),17869.92
1282,Mitchell,1999-07-22T00:00:00.000Z,Severe Storm(s),867.0
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),5157.82
1282,Chickasaw,1999-07-22T00:00:00.000Z,Severe Storm(s),12813.38
1277,Buchanan,1999-05-21T00:00:00.000Z,Severe Storm(s),305152.54
1277,Bremer,1999-05-21T00:00:00.000Z,Severe Storm(s),8005.57
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),2598.02
1282,Chickasaw,1999-07-22T00:00:00.000Z,Severe Storm(s),24730.83
1282,Crawford,1999-07-22T00:00:00.000Z,Severe Storm(s),2987.66
1282,Clayton,1999-07-22T00:00:00.000Z,Severe Storm(s),71283.88
1277,Jones,1999-05-21T00:00:00.000Z,Severe Storm(s),36991.91
1277,Black Hawk,1999-05-21T00:00:00.000Z,Severe Storm(s),58516.19
1277,Jones,1999-05-21T00:00:00.000Z,Severe Storm(s),5938.83
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),196245.18
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),2227.5
1277,Fayette,1999-05-21T00:00:00.000Z,Severe Storm(s),157506.15
1277,Linn,1999-05-21T00:00:00.000Z,Severe Storm(s),52720.49
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),149022.6
1277,Butler,1999-05-21T00:00:00.000Z,Severe Storm(s),5539.46
1282,Black Hawk,1999-07-22T00:00:00.000Z,Severe Storm(s),4423.42
1277,Jones,1999-05-21T00:00:00.000Z,Severe Storm(s),6803.18
1277,Linn,1999-05-21T00:00:00.000Z,Severe Storm(s),191936.76
1282,Fayette,1999-07-22T00:00:00.000Z,Severe Storm(s),4042.5
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),47123.85
1277,Buchanan,1999-05-21T00:00:00.000Z,Severe Storm(s),76535.25
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),1919377.44
1282,Buchanan,1999-07-22T00:00:00.000Z,Severe Storm(s),9033.22
1282,Montgomery,1999-07-22T00:00:00.000Z,Severe Storm(s),231824.02
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),499644.5
1282,Worth,1999-07-22T00:00:00.000Z,Severe Storm(s),12518.53
1282,Bremer,1999-07-22T00:00:00.000Z,Severe Storm(s),11332.58
1282,Worth,1999-07-22T00:00:00.000Z,Severe Storm(s),122169.95
1277,Buchanan,1999-05-21T00:00:00.000Z,Severe Storm(s),814927.26
1277,Black Hawk,1999-05-21T00:00:00.000Z,Severe Storm(s),34186.18
1282,Floyd,1999-07-22T00:00:00.000Z,Severe Storm(s),162261.81
1282,Bremer,1999-07-22T00:00:00.000Z,Severe Storm(s),4725.03
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),0.0
1282,Buchanan,1999-07-22T00:00:00.000Z,Severe Storm(s),2288.6
1282,Harrison,1999-07-22T00:00:00.000Z,Severe Storm(s),24595.82
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),469126.36
1282,Mills,1999-07-22T00:00:00.000Z,Severe Storm(s),4100.63
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),135943.45
1282,Floyd,1999-07-22T00:00:00.000Z,Severe Storm(s),220081.69
1282,Fayette,1999-07-22T00:00:00.000Z,Severe Storm(s),115003.12
1282,Jones,1999-07-22T00:00:00.000Z,Severe Storm(s),48459.98
1282,Mills,1999-07-22T00:00:00.000Z,Severe Storm(s),1616.42
1282,Story,1999-07-22T00:00:00.000Z,Severe Storm(s),31441.25
1282,Mills,1999-07-22T00:00:00.000Z,Severe Storm(s),192524.36
1282,Mills,1999-07-22T00:00:00.000Z,Severe Storm(s),6012.0
1282,Black Hawk,1999-07-22T00:00:00.000Z,Severe Storm(s),152941.42
1282,Clayton,1999-07-22T00:00:00.000Z,Severe Storm(s),125779.06
1282,Floyd,1999-07-22T00:00:00.000Z,Severe Storm(s),84359.83
1282,Floyd,1999-07-22T00:00:00.000Z,Severe Storm(s),490013.06
1282,Floyd,1999-07-22T00:00:00.000Z,Severe Storm(s),3237.08
1282,Cerro Gordo,1999-07-22T00:00:00.000Z,Severe Storm(s),3318.75
1282,Jones,1999-07-22T00:00:00.000Z,Severe Storm(s),4569.08
1277,Bremer,1999-05-21T00:00:00.000Z,Severe Storm(s),44360.5
1277,Harrison,1999-05-21T00:00:00.000Z,Severe Storm(s),26791.58
1282,Black Hawk,1999-07-22T00:00:00.000Z,Severe Storm(s),2690.46
1277,Linn,1999-05-21T00:00:00.000Z,Severe Storm(s),153072.9
1282,Statewide,1999-07-22T00:00:00.000Z,Severe Storm(s),24568.72
1282,Chickasaw,1999-07-22T00:00:00.000Z,Severe Storm(s),6477.81
1282,Bremer,1999-07-22T00:00:00.000Z,Severe Storm(s),34058.43
1277,Chickasaw,1999-05-21T00:00:00.000Z,Severe Storm(s),7620.01
1282,Statewide,1999-07-22T00:00:00.000Z,Severe Storm(s),2916.0
1277,Statewide,1999-05-21T00:00:00.000Z,Severe Storm(s),86024.03
1277,Delaware,1999-05-21T00:00:00.000Z,Severe Storm(s),77960.27
1277,Black Hawk,1999-05-21T00:00:00.000Z,Severe Storm(s),7214.25
1282,Statewide,1999-07-22T00:00:00.000Z,Severe Storm(s),288418.96
1282,Pottawattamie,1999-07-22T00:00:00.000Z,Severe Storm(s),4232.75
1282,Black Hawk,1999-07-22T00:00:00.000Z,Severe Storm(s),263346.39
1282,Statewide,1999-07-22T00:00:00.000Z,Severe Storm(s),65375.09
1282,Howard,1999-07-22T00:00:00.000Z,Severe Storm(s),0.0
1282,Mitchell,1999-07-22T00:00:00.000Z,Severe Storm(s),6155.57
1277,Clayton,1999-05-21T00:00:00.000Z,Severe Storm(s),28085.79
1277,Black Hawk,1999-05-21T00:00:00.000Z,Severe Storm(s),171881.01
1277,Linn,1999-05-21T00:00:00.000Z,Severe Storm(s),1673.25
1282,Black Hawk,1999-07-22T00:00:00.000Z,Severe Storm(s),20090.53
1282,Bremer,1999-07-22T00:00:00.000Z,Severe Storm(s),11672.37
1282,Statewide,1999-07-22T00:00:00.000Z,Severe Storm(s),4619.25
1277,Jones,1999-05-21T00:00:00.000Z,Severe Storm(s),43204.96
1282,Jones,1999-07-22T00:00:00.000Z,Severe Storm(s),785.34
1282,Clayton,1999-07-22T00:00:00.000Z,Severe Storm(s),14786.09
1282,Woodbury,1999-07-22T00:00:00.000Z,Severe Storm(s),50445.41
1282,Buchanan,1999-07-22T00:00:00.000Z,Severe Storm(s),22180.56
