disasterNumber,county,declarationDate,incidentType,amountOblig
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),5884.88
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),361842.97
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),187156.54
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),4217.76
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),55418.8
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),1851.81
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),4952.12
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),15370.5
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),219190.12
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),10757.63
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),1769.74
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),33439.19
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),855.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),5471.17
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),11965.98
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),30685.68
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),62433.47
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),21562.83
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),57105.75
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),41915.28
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),1041.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),25329.37
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),279599.02
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),40147.52
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),252473.34
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),84095.96
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),70024.5
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),206702.61
1273,Sedgwick,1999-05-04T00:00:00.000Z,Tornado,1448970.89
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),434323.69
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),39472.13
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),122085.87
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),1222069.02
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),17902.85
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),45336.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),25428.53
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),10221.75
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),6876.6
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),8517.05
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),12389.7
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),355.71
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),3156.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),18787.58
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),149550.76
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),3294.26
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),1435.33
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),3711.64
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),8536.4
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),3084.14
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),1929.1
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),8912.7
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),5970.75
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),7698.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),8712.71
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),72245.25
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),25633.88
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),24085.93
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),703916.63
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),8136.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),35595.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),61446.57
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),19901.49
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),29136.11
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),10190.06
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),37565.63
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),7274.32
1273,Sumner,1999-05-04T00:00:00.000Z,Tornado,0.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),115263.92
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),6846.15
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),20831.96
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),709165.72
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),5766.0
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),6618.01
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),3129.3
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),14824.02
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),50141.23
1254,nan,1998-10-14T00:00:00.000Z,Severe Storm(s),78960.03
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),79223.6
1273,Statewide,1999-05-04T00:00:00.000Z,Tornado,25505.46
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),11848.91
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),74112.06
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),28208.25
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),9464.49
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),38070.16
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),11741.17
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),63260.71
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),15198.9
1258,nan,1998-11-05T00:00:00.000Z,Severe Storm(s),17292.29
