disasterNumber,county,declarationDate,incidentType,amountOblig
1264,Ouachita,1999-01-21T00:00:00.000Z,Severe Storm(s),0.0
1264,Statewide,1999-01-21T00:00:00.000Z,Severe Storm(s),14962.8
1264,Morehouse,1999-01-21T00:00:00.000Z,Severe Storm(s),32301.53
1269,Statewide,1999-04-09T00:00:00.000Z,Severe Storm(s),6547.88
1264,E. Carroll,1999-01-21T00:00:00.000Z,Severe Storm(s),2561.63
1264,Ouachita,1999-01-21T00:00:00.000Z,Severe Storm(s),1452.98
1264,Franklin,1999-01-21T00:00:00.000Z,Severe Storm(s),1410.53
1264,Natchitoches,1999-01-21T00:00:00.000Z,Severe Storm(s),1035.83
1269,Bossier,1999-04-09T00:00:00.000Z,Severe Storm(s),86298.75
1264,Ouachita,1999-01-21T00:00:00.000Z,Severe Storm(s),1225.43
1264,Morehouse,1999-01-21T00:00:00.000Z,Severe Storm(s),16833.25
1264,Union,1999-01-21T00:00:00.000Z,Severe Storm(s),26546.74
1264,W. Carroll,1999-01-21T00:00:00.000Z,Severe Storm(s),2764.93
1264,Ouachita,1999-01-21T00:00:00.000Z,Severe Storm(s),4692.33
1264,Claiborne,1999-01-21T00:00:00.000Z,Severe Storm(s),1204999.35
1264,Richland,1999-01-21T00:00:00.000Z,Severe Storm(s),9834.43
1269,Bossier,1999-04-09T00:00:00.000Z,Severe Storm(s),19867.31
1264,Statewide,1999-01-21T00:00:00.000Z,Severe Storm(s),7155.0
1269,Webster,1999-04-09T00:00:00.000Z,Severe Storm(s),42543.42
1264,Lincoln,1999-01-21T00:00:00.000Z,Severe Storm(s),1906.67
1264,Lincoln,1999-01-21T00:00:00.000Z,Severe Storm(s),7500.0
1264,Lincoln,1999-01-21T00:00:00.000Z,Severe Storm(s),267308.1
1264,W. Carroll,1999-01-21T00:00:00.000Z,Severe Storm(s),0.0
1264,Ouachita,1999-01-21T00:00:00.000Z,Severe Storm(s),1319.25
1264,Ouachita,1999-01-21T00:00:00.000Z,Severe Storm(s),124280.8
1269,Statewide,1999-04-09T00:00:00.000Z,Severe Storm(s),150104.78
1269,Bossier,1999-04-09T00:00:00.000Z,Severe Storm(s),2244.0
1264,Richland,1999-01-21T00:00:00.000Z,Severe Storm(s),2566.74
1264,Lincoln,1999-01-21T00:00:00.000Z,Severe Storm(s),1503.6
1264,Lincoln,1999-01-21T00:00:00.000Z,Severe Storm(s),0.0
1264,Statewide,1999-01-21T00:00:00.000Z,Severe Storm(s),6686.84
1269,Statewide,1999-04-09T00:00:00.000Z,Severe Storm(s),131151.72
1269,Bossier,1999-04-09T00:00:00.000Z,Severe Storm(s),133236.65
1264,W. Carroll,1999-01-21T00:00:00.000Z,Severe Storm(s),0.0
1264,E. Carroll,1999-01-21T00:00:00.000Z,Severe Storm(s),9148.55
1264,Union,1999-01-21T00:00:00.000Z,Severe Storm(s),11682.51
1264,W. Carroll,1999-01-21T00:00:00.000Z,Severe Storm(s),818.01
1264,Sabine,1999-01-21T00:00:00.000Z,Severe Storm(s),0.0
1269,Webster,1999-04-09T00:00:00.000Z,Severe Storm(s),197320.84
1269,Bossier,1999-04-09T00:00:00.000Z,Severe Storm(s),139367.55
1264,W. Carroll,1999-01-21T00:00:00.000Z,Severe Storm(s),11246.42
1264,De Soto,1999-01-21T00:00:00.000Z,Severe Storm(s),165266.3
1269,Statewide,1999-04-09T00:00:00.000Z,Severe Storm(s),40136.39
1269,Claiborne,1999-04-09T00:00:00.000Z,Severe Storm(s),5528.25
1269,Bossier,1999-04-09T00:00:00.000Z,Severe Storm(s),9742.87
1269,Caddo,1999-04-09T00:00:00.000Z,Severe Storm(s),182185.11
1264,Catahoula,1999-01-21T00:00:00.000Z,Severe Storm(s),40568.48
1264,Lincoln,1999-01-21T00:00:00.000Z,Severe Storm(s),3964.41
1269,Bossier,1999-04-09T00:00:00.000Z,Severe Storm(s),117462.1
