disasterNumber,county,year,incidentType,amountOblig
1263,nan,1999,Severe Storm(s),987.62
1263,nan,1999,Severe Storm(s),8496.75
1263,nan,1999,Severe Storm(s),17388.0
1263,nan,1999,Severe Storm(s),4705.5
1263,nan,1999,Severe Storm(s),20142.89
1263,nan,1999,Severe Storm(s),2983.35
1263,nan,1999,Severe Storm(s),53940.38
1263,nan,1999,Severe Storm(s),4401.0
1263,nan,1999,Severe Storm(s),11292.75
1263,nan,1999,Severe Storm(s),14151.18
1263,nan,1999,Severe Storm(s),331623.38
1263,nan,1999,Severe Storm(s),30391.5
1263,nan,1999,Severe Storm(s),157736.0
1263,nan,1999,Severe Storm(s),1162.5
1263,nan,1999,Severe Storm(s),23301.75
1263,nan,1999,Severe Storm(s),19827.19
1263,nan,1999,Severe Storm(s),375.0
1263,nan,1999,Severe Storm(s),623590.5
1263,nan,1999,Severe Storm(s),19780.13
1263,nan,1999,Severe Storm(s),1649.4
1263,nan,1999,Severe Storm(s),87943.68
1263,nan,1999,Severe Storm(s),1066.5
1263,nan,1999,Severe Storm(s),1549.06
1263,nan,1999,Severe Storm(s),1669.22
1263,nan,1999,Severe Storm(s),989.47
1263,nan,1999,Severe Storm(s),3554.08
1308,Androscoggin,1999,Hurricane,16703.69
1308,Androscoggin,1999,Hurricane,22004.09
1308,Kennebec,1999,Hurricane,12635.2
1308,Androscoggin,1999,Hurricane,1546.7
1308,Oxford,1999,Hurricane,5143.38
1308,Statewide,1999,Hurricane,17903.25
1308,Cumberland,1999,Hurricane,26067.53
1308,Somerset,1999,Hurricane,752.79
1308,Androscoggin,1999,Hurricane,90229.72
1308,Oxford,1999,Hurricane,6464.51
1308,Somerset,1999,Hurricane,942.14
1308,Oxford,1999,Hurricane,2227.77
1308,Oxford,1999,Hurricane,38829.02
1308,Kennebec,1999,Hurricane,38899.21
1308,Androscoggin,1999,Hurricane,8437.5
1308,Somerset,1999,Hurricane,3593.98
1308,Androscoggin,1999,Hurricane,4590.0
1308,Oxford,1999,Hurricane,31582.01
1308,Oxford,1999,Hurricane,61117.77
1308,Somerset,1999,Hurricane,77554.66
1308,Kennebec,1999,Hurricane,8746.34
1308,Somerset,1999,Hurricane,2673.94
1308,Oxford,1999,Hurricane,1374.75
1308,Cumberland,1999,Hurricane,3152.26
1308,Cumberland,1999,Hurricane,17994.84
1308,Somerset,1999,Hurricane,5329.34
1308,Cumberland,1999,Hurricane,8901.1
1308,Oxford,1999,Hurricane,6891.52
1308,Statewide,1999,Hurricane,11072.78
1308,Oxford,1999,Hurricane,15840.9
1308,Oxford,1999,Hurricane,1505.11
1308,Cumberland,1999,Hurricane,2186.63
1308,Oxford,1999,Hurricane,21717.94
1308,Androscoggin,1999,Hurricane,19955.37
1308,Somerset,1999,Hurricane,3187.96
1308,Kennebec,1999,Hurricane,3461.87
1308,Cumberland,1999,Hurricane,868.13
1308,Oxford,1999,Hurricane,8455.28
1308,Kennebec,1999,Hurricane,90005.94
1308,Somerset,1999,Hurricane,0.0
1308,Statewide,1999,Hurricane,210.0
1308,Somerset,1999,Hurricane,2935.64
1308,Kennebec,1999,Hurricane,1395.64
1308,Cumberland,1999,Hurricane,3607.12
1308,Androscoggin,1999,Hurricane,110755.77
1308,Oxford,1999,Hurricane,937.98
1308,Somerset,1999,Hurricane,6931.05
1308,Somerset,1999,Hurricane,11715.0
1308,Kennebec,1999,Hurricane,750.0
1308,Oxford,1999,Hurricane,1115.66
1308,Kennebec,1999,Hurricane,3012.24
1308,Androscoggin,1999,Hurricane,8387.33
1308,Kennebec,1999,Hurricane,4055.18
1308,Somerset,1999,Hurricane,12246.0
1326,Franklin,2000,Severe Storm(s),2286.75
1326,Statewide,2000,Severe Storm(s),13287.38
1326,Somerset,2000,Severe Storm(s),38451.96
1326,Somerset,2000,Severe Storm(s),34286.04
1326,Piscataquis,2000,Severe Storm(s),7053.0
1326,Oxford,2000,Severe Storm(s),34879.43
1326,Oxford,2000,Severe Storm(s),2271.75
1326,Aroostook,2000,Severe Storm(s),6994.5
1326,Aroostook,2000,Severe Storm(s),19663.39
1326,Somerset,2000,Severe Storm(s),4421.25
1326,Franklin,2000,Severe Storm(s),12649.5
1326,Washington,2000,Severe Storm(s),10603.67
1326,Androscoggin,2000,Severe Storm(s),9651.75
1326,Piscataquis,2000,Severe Storm(s),2445.75
1326,Somerset,2000,Severe Storm(s),45273.75
1326,Piscataquis,2000,Severe Storm(s),13551.94
1326,Somerset,2000,Severe Storm(s),8462.25
1326,Franklin,2000,Severe Storm(s),132896.72
1326,Washington,2000,Severe Storm(s),990.0
1326,Franklin,2000,Severe Storm(s),7331.81
1326,Aroostook,2000,Severe Storm(s),14548.79
1326,Oxford,2000,Severe Storm(s),4263.29
1326,Washington,2000,Severe Storm(s),2613.3
1326,Franklin,2000,Severe Storm(s),20598.0
1326,Aroostook,2000,Severe Storm(s),13599.9
1326,Androscoggin,2000,Severe Storm(s),184695.83
1326,Franklin,2000,Severe Storm(s),4838.25
