disasterNumber,county,declarationDate,incidentType,amountOblig
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,7547.86
1303,Calvert,1999-09-24T00:00:00.000Z,Hurricane,2618.29
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,9299.45
1303,Calvert,1999-09-24T00:00:00.000Z,Hurricane,8701.41
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,784.64
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,1894.13
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,85040.5
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,3750.0
1303,Anne Arundel,1999-09-24T00:00:00.000Z,Hurricane,245188.41
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,777.8
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,3002.66
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,678.92
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,8631.39
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,82059.03
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Anne Arundel,1999-09-24T00:00:00.000Z,Hurricane,81906.72
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,1584.35
1303,Calvert,1999-09-24T00:00:00.000Z,Hurricane,1186.5
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Calvert,1999-09-24T00:00:00.000Z,Hurricane,15813.14
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Calvert,1999-09-24T00:00:00.000Z,Hurricane,8306.89
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,11225.5
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,4117.38
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,66816.5
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,322047.97
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,6639.36
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,75068.56
1303,Calvert,1999-09-24T00:00:00.000Z,Hurricane,1101.6
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,186491.2
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,13865.0
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,1979.95
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,2035.2
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Calvert,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Calvert,1999-09-24T00:00:00.000Z,Hurricane,171825.77
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,4133.03
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,2065.28
1303,Caroline,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,6591.65
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,16813.43
1303,Somerset,1999-09-24T00:00:00.000Z,Hurricane,84922.13
1303,Queen Anne's,1999-09-24T00:00:00.000Z,Hurricane,549.84
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,2964.96
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,304541.7
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,750.0
1303,Talbot,1999-09-24T00:00:00.000Z,Hurricane,75701.21
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,269669.29
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,3548.06
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,13663.58
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,3717.82
1303,Somerset,1999-09-24T00:00:00.000Z,Hurricane,24764.18
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,2107.09
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,675585.57
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,2475.89
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,1829.26
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,22432.03
1303,Queen Anne's,1999-09-24T00:00:00.000Z,Hurricane,559787.91
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,187.5
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,590814.74
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,1669.39
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,750.0
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,24529.46
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,11713.48
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,18968.25
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,830.82
1303,Queen Anne's,1999-09-24T00:00:00.000Z,Hurricane,11154.49
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Queen Anne's,1999-09-24T00:00:00.000Z,Hurricane,8866.26
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,19462.82
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,2971.09
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Queen Anne's,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,144929.47
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,41720.87
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,58097.47
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,8394.81
1303,Talbot,1999-09-24T00:00:00.000Z,Hurricane,66484.87
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Queen Anne's,1999-09-24T00:00:00.000Z,Hurricane,1006.74
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Harford,1999-09-24T00:00:00.000Z,Hurricane,12931.85
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,907.68
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Somerset,1999-09-24T00:00:00.000Z,Hurricane,18464.71
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,791.51
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Kent,1999-09-24T00:00:00.000Z,Hurricane,3300.0
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,3014.84
1303,Queen Anne's,1999-09-24T00:00:00.000Z,Hurricane,1401.21
1303,Charles,1999-09-24T00:00:00.000Z,Hurricane,655427.25
1303,St. Mary's,1999-09-24T00:00:00.000Z,Hurricane,7002.75
1303,Cecil,1999-09-24T00:00:00.000Z,Hurricane,1621.96
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,0.0
1303,Statewide,1999-09-24T00:00:00.000Z,Hurricane,7011.32
1324,Prince George's,2000-04-10T00:00:00.000Z,Severe Storm(s),2233.67
1324,Caroline,2000-04-10T00:00:00.000Z,Severe Storm(s),17877.53
1324,Statewide,2000-04-10T00:00:00.000Z,Severe Storm(s),98083.2
1324,Frederick,2000-04-10T00:00:00.000Z,Severe Storm(s),54428.01
1324,Prince George's,2000-04-10T00:00:00.000Z,Severe Storm(s),3839.36
1324,Frederick,2000-04-10T00:00:00.000Z,Severe Storm(s),2100.75
1324,Montgomery,2000-04-10T00:00:00.000Z,Severe Storm(s),1008.75
1324,Statewide,2000-04-10T00:00:00.000Z,Severe Storm(s),517704.72
1324,Statewide,2000-04-10T00:00:00.000Z,Severe Storm(s),40703.56
1324,Montgomery,2000-04-10T00:00:00.000Z,Severe Storm(s),5153.74
1324,Statewide,2000-04-10T00:00:00.000Z,Severe Storm(s),37819.47
1324,Prince George's,2000-04-10T00:00:00.000Z,Severe Storm(s),4466.0
