disasterNumber,county,declarationDate,incidentType,amountOblig
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),2111.34
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),80167.04
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),31097.8
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),37284.87
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),1498.67
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),16212.29
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),16096.82
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),20971.6
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),221549.93
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),145317.42
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),26722.9
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),2946.02
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),5890.24
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),8483.52
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),14544.59
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),4268.85
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),141356.87
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),16926.02
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),22559.64
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),104047.79
1614,Statewide,2005-11-10T00:00:00.000Z,Severe Storm(s),66359.12
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),1277.18
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),108994.48
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),2315.21
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),18672.0
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),54151.03
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),10842.12
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),25915.29
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),25934.3
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),2522.84
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),6914.25
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),37299.59
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),15058.51
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),90620.68
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),15207.47
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),31259.43
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),48299.84
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),890.63
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),240796.01
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),94752.02
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),16198.86
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),6478.9
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),2968.14
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),39990.23
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),53242.69
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),121524.14
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),7729.25
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),16848.6
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),163870.62
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),7813.88
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),8450.5
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),23434.23
1614,Statewide,2005-11-10T00:00:00.000Z,Severe Storm(s),63337.7
1614,Statewide,2005-11-10T00:00:00.000Z,Severe Storm(s),400349.45
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),31767.96
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),55979.39
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),4840.49
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),23750.92
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),4923.5
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),69430.8
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),10421.2
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),3231.05
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),9607.72
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),150593.63
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),11767.91
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),128600.69
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),17182.55
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),47910.84
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),27559.48
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),49968.74
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),5332.34
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),6588.34
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),1858.62
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),2035.13
1614,Statewide,2005-11-10T00:00:00.000Z,Severe Storm(s),343187.82
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),10594.66
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),943.2
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),6086.97
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),180324.29
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),6291.41
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),2471.55
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),32749.58
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),24503.47
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),8846.25
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),196871.94
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),14007.78
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),96631.07
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),11737.53
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),16189.32
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),56587.65
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),9001.65
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),8046.12
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),35080.66
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),25295.23
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),413118.81
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),16664.56
1614,Hampshire,2005-11-10T00:00:00.000Z,Severe Storm(s),54066.89
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),11645.06
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),86336.67
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),37893.23
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),37693.52
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),96029.82
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),19212.11
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),231246.5
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),10431.15
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),2237.48
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),73177.42
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),128507.44
1614,Hampden,2005-11-10T00:00:00.000Z,Severe Storm(s),23416.01
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),11176.69
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),80129.34
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),23475.13
1614,Franklin,2005-11-10T00:00:00.000Z,Severe Storm(s),54881.35
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),109715.76
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),22847.58
1614,Berkshire,2005-11-10T00:00:00.000Z,Severe Storm(s),47765.13
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),54973.09
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),76690.28
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),46073.36
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),4278.27
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),59288.01
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),57944.15
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),35526.48
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),94379.88
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),3777.02
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),133120.56
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),0.0
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),1326.63
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),30378.73
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),70047.13
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),14589.39
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),17580.43
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),9933.84
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),22228.63
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),16402.63
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),11087.69
1614,Worcester,2005-11-10T00:00:00.000Z,Severe Storm(s),16070.84
