disasterNumber,county,declarationDate,incidentType,amountOblig
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,60754.5
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,20980.43
1413,Houghton,2002-05-06T00:00:00.000Z,Flood,22598.61
1413,Marquette,2002-05-06T00:00:00.000Z,Flood,11276.9
1413,Iron,2002-05-06T00:00:00.000Z,Flood,182315.29
1413,Baraga,2002-05-06T00:00:00.000Z,Flood,9342.0
1413,Houghton,2002-05-06T00:00:00.000Z,Flood,18120.35
1413,Marquette,2002-05-06T00:00:00.000Z,Flood,2189.26
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,39324.14
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,214884.8
1413,Statewide,2002-05-06T00:00:00.000Z,Flood,30995.25
1413,Marquette,2002-05-06T00:00:00.000Z,Flood,5139.07
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,2109.38
1413,Ontonagon,2002-05-06T00:00:00.000Z,Flood,108303.5
1413,Statewide,2002-05-06T00:00:00.000Z,Flood,20712.75
1413,Iron,2002-05-06T00:00:00.000Z,Flood,28519.08
1413,Iron,2002-05-06T00:00:00.000Z,Flood,17797.5
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,2185.5
1413,Houghton,2002-05-06T00:00:00.000Z,Flood,188805.74
1413,Iron,2002-05-06T00:00:00.000Z,Flood,4234.5
1413,Statewide,2002-05-06T00:00:00.000Z,Flood,169388.14
1413,Marquette,2002-05-06T00:00:00.000Z,Flood,48495.0
1413,Houghton,2002-05-06T00:00:00.000Z,Flood,6408.62
1413,Statewide,2002-05-06T00:00:00.000Z,Flood,3546.0
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,789.86
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,1514800.39
1413,Statewide,2002-05-06T00:00:00.000Z,Flood,0.0
1413,Iron,2002-05-06T00:00:00.000Z,Flood,14674.5
1413,Baraga,2002-05-06T00:00:00.000Z,Flood,780.0
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,17920.05
1413,Marquette,2002-05-06T00:00:00.000Z,Flood,0.0
1413,Baraga,2002-05-06T00:00:00.000Z,Flood,1345.16
1413,Marquette,2002-05-06T00:00:00.000Z,Flood,1911.35
1413,Statewide,2002-05-06T00:00:00.000Z,Flood,173455.14
1413,Baraga,2002-05-06T00:00:00.000Z,Flood,687564.07
1413,Marquette,2002-05-06T00:00:00.000Z,Flood,204228.9
1413,Marquette,2002-05-06T00:00:00.000Z,Flood,24795.75
1413,Gogebic,2002-05-06T00:00:00.000Z,Flood,863903.21
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),6078.95
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),1178.14
1777,Mason,2008-07-14T00:00:00.000Z,Severe Storm(s),17516.1
1777,Lake,2008-07-14T00:00:00.000Z,Severe Storm(s),226130.45
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),1940.63
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),45198.93
1777,Osceola,2008-07-14T00:00:00.000Z,Severe Storm(s),12582.72
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),47835.74
1777,Mason,2008-07-14T00:00:00.000Z,Severe Storm(s),9693.17
1777,Lake,2008-07-14T00:00:00.000Z,Severe Storm(s),0.0
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),12515.96
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),17600.12
1777,Mason,2008-07-14T00:00:00.000Z,Severe Storm(s),47276.57
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),4946.21
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),266875.72
1777,Osceola,2008-07-14T00:00:00.000Z,Severe Storm(s),3362.25
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),30725.13
1777,Manistee,2008-07-14T00:00:00.000Z,Severe Storm(s),534139.4
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),9013.91
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),2633.1
1777,Barry,2008-07-14T00:00:00.000Z,Severe Storm(s),757.5
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),0.0
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),2489.65
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),6937.5
1777,Barry,2008-07-14T00:00:00.000Z,Severe Storm(s),4028.09
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),12248.85
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),4438.14
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),3747.51
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),882.0
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),0.0
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),2828857.57
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),93623.66
1777,Manistee,2008-07-14T00:00:00.000Z,Severe Storm(s),1880.24
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),0.0
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),1201.68
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),394705.6
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),1366.71
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),29741.44
1777,Mason,2008-07-14T00:00:00.000Z,Severe Storm(s),1336828.83
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),1172.83
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),37696.28
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),5303.93
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),5041.95
1777,Manistee,2008-07-14T00:00:00.000Z,Severe Storm(s),4059.0
1777,Mason,2008-07-14T00:00:00.000Z,Severe Storm(s),8688.99
1777,Manistee,2008-07-14T00:00:00.000Z,Severe Storm(s),23462.36
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),3930.94
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),1875.0
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),2269.57
1777,Manistee,2008-07-14T00:00:00.000Z,Severe Storm(s),12279.75
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),11007.66
1777,Osceola,2008-07-14T00:00:00.000Z,Severe Storm(s),10868.8
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),3089.85
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),34456.12
1777,Barry,2008-07-14T00:00:00.000Z,Severe Storm(s),2455.93
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),4459.01
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),4750.24
1777,Mason,2008-07-14T00:00:00.000Z,Severe Storm(s),40831.25
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),1560.75
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),1633.36
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),351758.34
1777,Manistee,2008-07-14T00:00:00.000Z,Severe Storm(s),5567.14
1777,Mason,2008-07-14T00:00:00.000Z,Severe Storm(s),7844.25
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),9057.24
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),26322.7
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),4237.48
1777,Barry,2008-07-14T00:00:00.000Z,Severe Storm(s),696235.16
1777,Mason,2008-07-14T00:00:00.000Z,Severe Storm(s),35418.5
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),744550.33
1777,Allegan,2008-07-14T00:00:00.000Z,Severe Storm(s),53471.3
1777,Osceola,2008-07-14T00:00:00.000Z,Severe Storm(s),3205.21
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),19056.85
1777,Manistee,2008-07-14T00:00:00.000Z,Severe Storm(s),1090578.59
1777,Missaukee,2008-07-14T00:00:00.000Z,Severe Storm(s),60039.12
1777,Osceola,2008-07-14T00:00:00.000Z,Severe Storm(s),1390347.41
1777,Osceola,2008-07-14T00:00:00.000Z,Severe Storm(s),2405.41
1777,Eaton,2008-07-14T00:00:00.000Z,Severe Storm(s),0.0
1777,Ingham,2008-07-14T00:00:00.000Z,Severe Storm(s),908.9
1777,Ottawa,2008-07-14T00:00:00.000Z,Severe Storm(s),30533.72
