disasterNumber,county,declarationDate,incidentType,amountOblig
1265,Lee,1999-01-25T00:00:00.000Z,Severe Ice Storm,43883.25
1265,Lowndes,1999-01-25T00:00:00.000Z,Severe Ice Storm,5774.58
1265,Monroe,1999-01-25T00:00:00.000Z,Severe Ice Storm,31007.32
1265,Lee,1999-01-25T00:00:00.000Z,Severe Ice Storm,14441.29
1265,Bolivar,1999-01-25T00:00:00.000Z,Severe Ice Storm,3324.75
1265,Itawamba,1999-01-25T00:00:00.000Z,Severe Ice Storm,12836.06
1265,Warren,1999-01-25T00:00:00.000Z,Severe Ice Storm,29339.3
1265,Montgomery,1999-01-25T00:00:00.000Z,Severe Ice Storm,1700.55
1265,Leake,1999-01-25T00:00:00.000Z,Severe Ice Storm,88574.42
1265,Attala,1999-01-25T00:00:00.000Z,Severe Ice Storm,7980.67
1265,Winston,1999-01-25T00:00:00.000Z,Severe Ice Storm,35657.86
1265,Tishomingo,1999-01-25T00:00:00.000Z,Severe Ice Storm,43899.0
1265,Lee,1999-01-25T00:00:00.000Z,Severe Ice Storm,3691.05
1265,Grenada,1999-01-25T00:00:00.000Z,Severe Ice Storm,64650.3
1265,Sunflower,1999-01-25T00:00:00.000Z,Severe Ice Storm,72832.03
1265,Attala,1999-01-25T00:00:00.000Z,Severe Ice Storm,21625.7
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,62504.15
1265,Montgomery,1999-01-25T00:00:00.000Z,Severe Ice Storm,46753.95
1265,Lowndes,1999-01-25T00:00:00.000Z,Severe Ice Storm,25187.3
1265,Sunflower,1999-01-25T00:00:00.000Z,Severe Ice Storm,1374.95
1265,Sharkey,1999-01-25T00:00:00.000Z,Severe Ice Storm,3036.0
1265,Sunflower,1999-01-25T00:00:00.000Z,Severe Ice Storm,2176.73
1265,Washington,1999-01-25T00:00:00.000Z,Severe Ice Storm,50637.94
1265,Union,1999-01-25T00:00:00.000Z,Severe Ice Storm,30280.9
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,575886.31
1265,Chickasaw,1999-01-25T00:00:00.000Z,Severe Ice Storm,5552.14
1265,Noxubee,1999-01-25T00:00:00.000Z,Severe Ice Storm,13938.35
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,526488.73
1265,Monroe,1999-01-25T00:00:00.000Z,Severe Ice Storm,51228.83
1265,Choctaw,1999-01-25T00:00:00.000Z,Severe Ice Storm,13840.85
1265,Yazoo,1999-01-25T00:00:00.000Z,Severe Ice Storm,24396.0
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,133884.57
1265,Sunflower,1999-01-25T00:00:00.000Z,Severe Ice Storm,33205.94
1265,Oktibbeha,1999-01-25T00:00:00.000Z,Severe Ice Storm,10761.62
1265,Monroe,1999-01-25T00:00:00.000Z,Severe Ice Storm,11119.57
1265,Warren,1999-01-25T00:00:00.000Z,Severe Ice Storm,148568.76
1265,Sunflower,1999-01-25T00:00:00.000Z,Severe Ice Storm,1426.5
1265,Webster,1999-01-25T00:00:00.000Z,Severe Ice Storm,19096.35
1265,Winston,1999-01-25T00:00:00.000Z,Severe Ice Storm,111574.46
1265,Yazoo,1999-01-25T00:00:00.000Z,Severe Ice Storm,32002.82
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,124070.57
1265,Washington,1999-01-25T00:00:00.000Z,Severe Ice Storm,55322.36
1265,Leflore,1999-01-25T00:00:00.000Z,Severe Ice Storm,202310.14
1265,Winston,1999-01-25T00:00:00.000Z,Severe Ice Storm,1138.95
1265,Calhoun,1999-01-25T00:00:00.000Z,Severe Ice Storm,19964.6
1265,Montgomery,1999-01-25T00:00:00.000Z,Severe Ice Storm,17206.17
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,7781.47
1265,Sharkey,1999-01-25T00:00:00.000Z,Severe Ice Storm,3814.5
1265,Tishomingo,1999-01-25T00:00:00.000Z,Severe Ice Storm,5474.25
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,83678.01
1265,Noxubee,1999-01-25T00:00:00.000Z,Severe Ice Storm,13642.73
1265,Lee,1999-01-25T00:00:00.000Z,Severe Ice Storm,56248.83
1265,Humphreys,1999-01-25T00:00:00.000Z,Severe Ice Storm,58032.85
1265,Oktibbeha,1999-01-25T00:00:00.000Z,Severe Ice Storm,167605.17
1265,Choctaw,1999-01-25T00:00:00.000Z,Severe Ice Storm,13615.61
1265,Clay,1999-01-25T00:00:00.000Z,Severe Ice Storm,24208.66
1265,Humphreys,1999-01-25T00:00:00.000Z,Severe Ice Storm,27136.1
1265,Humphreys,1999-01-25T00:00:00.000Z,Severe Ice Storm,1560.0
1265,Lee,1999-01-25T00:00:00.000Z,Severe Ice Storm,121599.73
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,145492.51
1265,Grenada,1999-01-25T00:00:00.000Z,Severe Ice Storm,135485.84
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,249876.34
1265,Humphreys,1999-01-25T00:00:00.000Z,Severe Ice Storm,8305.06
1265,Calhoun,1999-01-25T00:00:00.000Z,Severe Ice Storm,6591.38
1265,Leflore,1999-01-25T00:00:00.000Z,Severe Ice Storm,277980.11
1265,Leflore,1999-01-25T00:00:00.000Z,Severe Ice Storm,180029.73
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,89004.34
1265,Neshoba,1999-01-25T00:00:00.000Z,Severe Ice Storm,8720.9
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,512724.9
1265,Humphreys,1999-01-25T00:00:00.000Z,Severe Ice Storm,3493.12
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,6266.34
1265,Carroll,1999-01-25T00:00:00.000Z,Severe Ice Storm,72944.79
1265,Neshoba,1999-01-25T00:00:00.000Z,Severe Ice Storm,1918.41
1265,Sunflower,1999-01-25T00:00:00.000Z,Severe Ice Storm,12690.0
1265,Webster,1999-01-25T00:00:00.000Z,Severe Ice Storm,3071.71
1265,Oktibbeha,1999-01-25T00:00:00.000Z,Severe Ice Storm,113793.11
1265,Sharkey,1999-01-25T00:00:00.000Z,Severe Ice Storm,750.0
1265,Leflore,1999-01-25T00:00:00.000Z,Severe Ice Storm,35966.68
1265,Sunflower,1999-01-25T00:00:00.000Z,Severe Ice Storm,12724.5
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,140138.01
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,593604.68
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,126609.19
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,146728.34
1265,Itawamba,1999-01-25T00:00:00.000Z,Severe Ice Storm,69695.25
1265,Chickasaw,1999-01-25T00:00:00.000Z,Severe Ice Storm,2796.6
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,48551.41
1265,Washington,1999-01-25T00:00:00.000Z,Severe Ice Storm,9442.34
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,63028.5
1265,Clay,1999-01-25T00:00:00.000Z,Severe Ice Storm,60491.0
1265,Winston,1999-01-25T00:00:00.000Z,Severe Ice Storm,35735.4
1265,Statewide,1999-01-25T00:00:00.000Z,Severe Ice Storm,41276.44
1265,Sharkey,1999-01-25T00:00:00.000Z,Severe Ice Storm,20301.75
1265,Washington,1999-01-25T00:00:00.000Z,Severe Ice Storm,20315.25
1360,Tallahatchie,2001-02-23T00:00:00.000Z,Severe Storm(s),851.06
1360,Noxubee,2001-02-23T00:00:00.000Z,Severe Storm(s),23710.58
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),30643.7
1360,Attala,2001-02-23T00:00:00.000Z,Severe Storm(s),119458.64
1360,Lincoln,2001-02-23T00:00:00.000Z,Severe Storm(s),80456.83
1360,Marion,2001-02-23T00:00:00.000Z,Severe Storm(s),176978.86
1360,Oktibbeha,2001-02-23T00:00:00.000Z,Severe Storm(s),514445.44
1360,Leflore,2001-02-23T00:00:00.000Z,Severe Storm(s),134727.29
1360,Noxubee,2001-02-23T00:00:00.000Z,Severe Storm(s),2049.16
1360,Lowndes,2001-02-23T00:00:00.000Z,Severe Storm(s),5096.88
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),2127.64
1360,Holmes,2001-02-23T00:00:00.000Z,Severe Storm(s),89084.04
1360,Attala,2001-02-23T00:00:00.000Z,Severe Storm(s),750.0
1360,Pontotoc,2001-02-23T00:00:00.000Z,Severe Storm(s),3060.0
1360,Perry,2001-02-23T00:00:00.000Z,Severe Storm(s),54955.15
1360,Winston,2001-02-23T00:00:00.000Z,Severe Storm(s),4963.05
1360,Clay,2001-02-23T00:00:00.000Z,Severe Storm(s),13695.0
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),74611.83
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),103252.99
1360,Lamar,2001-02-23T00:00:00.000Z,Severe Storm(s),219490.6
1360,Perry,2001-02-23T00:00:00.000Z,Severe Storm(s),20091.74
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),5480.19
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),17511.71
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),1297463.25
1360,Pearl River,2001-02-23T00:00:00.000Z,Severe Storm(s),3702.31
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),5106.79
1360,Lee,2001-02-23T00:00:00.000Z,Severe Storm(s),132501.56
1360,Lee,2001-02-23T00:00:00.000Z,Severe Storm(s),2100.0
1360,Pontotoc,2001-02-23T00:00:00.000Z,Severe Storm(s),7763.71
1360,Marion,2001-02-23T00:00:00.000Z,Severe Storm(s),1629.45
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),482293.12
1360,Lowndes,2001-02-23T00:00:00.000Z,Severe Storm(s),229810.92
1360,Winston,2001-02-23T00:00:00.000Z,Severe Storm(s),3498.56
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),-273614.13
1360,Leflore,2001-02-23T00:00:00.000Z,Severe Storm(s),12300.03
1360,Walthall,2001-02-23T00:00:00.000Z,Severe Storm(s),107293.98
1360,Lowndes,2001-02-23T00:00:00.000Z,Severe Storm(s),1015709.7
1360,Oktibbeha,2001-02-23T00:00:00.000Z,Severe Storm(s),234130.69
1360,Prentiss,2001-02-23T00:00:00.000Z,Severe Storm(s),4003.01
1360,Yazoo,2001-02-23T00:00:00.000Z,Severe Storm(s),79800.8
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),311235.0
1360,Pontotoc,2001-02-23T00:00:00.000Z,Severe Storm(s),563708.24
1360,Lamar,2001-02-23T00:00:00.000Z,Severe Storm(s),17937.1
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),101131.5
1360,Oktibbeha,2001-02-23T00:00:00.000Z,Severe Storm(s),3726.43
1360,Perry,2001-02-23T00:00:00.000Z,Severe Storm(s),3239.57
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),54451.42
1360,Oktibbeha,2001-02-23T00:00:00.000Z,Severe Storm(s),6379.5
1360,Holmes,2001-02-23T00:00:00.000Z,Severe Storm(s),279433.27
1360,Yazoo,2001-02-23T00:00:00.000Z,Severe Storm(s),11099.18
1360,Marion,2001-02-23T00:00:00.000Z,Severe Storm(s),77991.34
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),2052196.0
1360,Prentiss,2001-02-23T00:00:00.000Z,Severe Storm(s),2809.84
1360,Lowndes,2001-02-23T00:00:00.000Z,Severe Storm(s),2250.0
1360,Yazoo,2001-02-23T00:00:00.000Z,Severe Storm(s),12885.7
1360,Pontotoc,2001-02-23T00:00:00.000Z,Severe Storm(s),3023.25
1360,Pearl River,2001-02-23T00:00:00.000Z,Severe Storm(s),162571.83
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),48952.09
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),2989.17
1360,Jones,2001-02-23T00:00:00.000Z,Severe Storm(s),4031.44
1360,Lowndes,2001-02-23T00:00:00.000Z,Severe Storm(s),14615.52
1360,Forrest,2001-02-23T00:00:00.000Z,Severe Storm(s),160810.1
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),3272.58
1360,Tallahatchie,2001-02-23T00:00:00.000Z,Severe Storm(s),187.5
1360,Clay,2001-02-23T00:00:00.000Z,Severe Storm(s),11865.84
1360,Choctaw,2001-02-23T00:00:00.000Z,Severe Storm(s),30185.81
1360,Choctaw,2001-02-23T00:00:00.000Z,Severe Storm(s),6360.24
1360,Lincoln,2001-02-23T00:00:00.000Z,Severe Storm(s),375.0
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),46616.3
1360,Statewide,2001-02-23T00:00:00.000Z,Severe Storm(s),9146.69
