disasterNumber,county,year,incidentType,amountOblig
1350,Roosevelt,2000,Severe Storm(s),5464.5
1350,Sheridan,2000,Severe Storm(s),2574.0
1350,Statewide,2000,Severe Storm(s),305978.93
1350,Statewide,2000,Severe Storm(s),6688.45
1350,Statewide,2000,Severe Storm(s),1650508.77
1350,Statewide,2000,Severe Storm(s),59600.11
1350,Statewide,2000,Severe Storm(s),8042.25
1350,Roosevelt,2000,Severe Storm(s),2658.0
1350,Statewide,2000,Severe Storm(s),8231.25
1377,Statewide,2001,Severe Storm(s),629171.14
1377,Big Horn,2001,Severe Storm(s),9424.97
1377,Big Horn,2001,Severe Storm(s),0.0
1377,Statewide,2001,Severe Storm(s),65730.75
1377,Statewide,2001,Severe Storm(s),1317.02
1385,Missoula,2001,Severe Storm(s),368801.25
1385,Gallatin,2001,Severe Storm(s),11497.5
1385,Statewide,2001,Severe Storm(s),2550.75
1385,Missoula,2001,Severe Storm(s),53903.15
1385,Statewide,2001,Severe Storm(s),2737.5
1385,Gallatin,2001,Severe Storm(s),7365.75
1385,Gallatin,2001,Severe Storm(s),305018.76
1385,Statewide,2001,Severe Storm(s),6496.16
1385,Statewide,2001,Severe Storm(s),3137.25
1385,Statewide,2001,Severe Storm(s),1370.25
1385,Statewide,2001,Severe Storm(s),13416.75
1385,Statewide,2001,Severe Storm(s),10615.5
1385,Statewide,2001,Severe Storm(s),135243.9
1424,Statewide,2002,Severe Storm(s),15711.32
1424,Glacier,2002,Severe Storm(s),2663.35
1424,Statewide,2002,Severe Storm(s),9351.8
1424,Pondera,2002,Severe Storm(s),0.0
1424,Statewide,2002,Severe Storm(s),62846.44
1424,Hill,2002,Severe Storm(s),894.0
1424,Glacier,2002,Severe Storm(s),19942.25
1424,Statewide,2002,Severe Storm(s),26235.75
1424,Toole,2002,Severe Storm(s),1841.25
1424,Statewide,2002,Severe Storm(s),10408.37
1424,Toole,2002,Severe Storm(s),64707.57
1424,Statewide,2002,Severe Storm(s),29760.47
1424,Liberty,2002,Severe Storm(s),34684.81
1424,Toole,2002,Severe Storm(s),43357.22
1424,Statewide,2002,Severe Storm(s),9513.29
1424,Statewide,2002,Severe Storm(s),36204.55
1424,Statewide,2002,Severe Storm(s),91776.14
1424,Glacier,2002,Severe Storm(s),19599.0
1424,Hill,2002,Severe Storm(s),41597.25
1424,Statewide,2002,Severe Storm(s),796565.13
1424,Glacier,2002,Severe Storm(s),44225.77
1767,Statewide,2008,Severe Storm(s),43134.96
1767,Statewide,2008,Severe Storm(s),63574.82
1767,Carter,2008,Severe Storm(s),77772.75
