disasterNumber,county,year,incidentType,amountOblig
1286,Douglas,1999,Severe Storm(s),32296.66
1286,Statewide,1999,Severe Storm(s),0.0
1286,Washington,1999,Severe Storm(s),413764.23
1286,Washington,1999,Severe Storm(s),42292.5
1286,Washington,1999,Severe Storm(s),0.0
1286,Statewide,1999,Severe Storm(s),142099.44
1286,Burt,1999,Severe Storm(s),3883.55
1286,Burt,1999,Severe Storm(s),14988.97
1286,Washington,1999,Severe Storm(s),1182.64
1286,Burt,1999,Severe Storm(s),71244.99
1286,Statewide,1999,Severe Storm(s),33965.25
1286,Douglas,1999,Severe Storm(s),39108.03
1286,Statewide,1999,Severe Storm(s),904.5
1286,Washington,1999,Severe Storm(s),6098.88
1286,Statewide,1999,Severe Storm(s),4077.89
1286,Douglas,1999,Severe Storm(s),9684.5
1286,Washington,1999,Severe Storm(s),2264.93
1286,Douglas,1999,Severe Storm(s),465422.16
1286,Douglas,1999,Severe Storm(s),627585.43
1286,Statewide,1999,Severe Storm(s),1995.75
1286,Burt,1999,Severe Storm(s),6180.0
1286,Burt,1999,Severe Storm(s),58491.0
1286,Burt,1999,Severe Storm(s),0.0
1286,Burt,1999,Severe Storm(s),12802.22
1373,Statewide,2001,Severe Storm(s),259819.84
1373,Statewide,2001,Severe Storm(s),23771.24
1373,Statewide,2001,Severe Storm(s),67802.84
1373,Statewide,2001,Severe Storm(s),1676.63
1373,Statewide,2001,Severe Storm(s),306436.89
1373,Statewide,2001,Severe Storm(s),35164.72
1373,Statewide,2001,Severe Storm(s),671488.51
1373,Saline,2001,Severe Storm(s),1511.32
1373,Statewide,2001,Severe Storm(s),7960.3
1373,Statewide,2001,Severe Storm(s),116470.96
1373,Gage,2001,Severe Storm(s),2059.69
1373,Statewide,2001,Severe Storm(s),44810.14
1373,Statewide,2001,Severe Storm(s),225859.04
1373,Statewide,2001,Severe Storm(s),326064.83
1373,Statewide,2001,Severe Storm(s),6273.74
1373,Statewide,2001,Severe Storm(s),40773.87
1373,Statewide,2001,Severe Storm(s),174127.39
1373,Statewide,2001,Severe Storm(s),182122.94
1373,Statewide,2001,Severe Storm(s),66092.89
1373,Statewide,2001,Severe Storm(s),195988.06
1373,Statewide,2001,Severe Storm(s),90946.27
1373,Gage,2001,Severe Storm(s),4444.8
1394,Statewide,2001,Severe Storm(s),29755.31
1394,Dakota,2001,Severe Storm(s),6960.98
1394,Statewide,2001,Severe Storm(s),11250.0
1394,Dakota,2001,Severe Storm(s),5352.56
1394,Dakota,2001,Severe Storm(s),1295849.33
1394,Statewide,2001,Severe Storm(s),9436.95
1480,Thayer,2003,Severe Storm(s),38771.16
1480,Thayer,2003,Severe Storm(s),11636.46
1480,Cedar,2003,Severe Storm(s),11850.0
1480,Statewide,2003,Severe Storm(s),20724.28
1480,Cuming,2003,Severe Storm(s),16790.25
1480,Platte,2003,Severe Storm(s),24071.53
1480,Stanton,2003,Severe Storm(s),6160.2
1480,Polk,2003,Severe Storm(s),952.4
1480,Thayer,2003,Severe Storm(s),750.0
1480,Thayer,2003,Severe Storm(s),589362.42
1480,Holt,2003,Severe Storm(s),285109.5
1480,Statewide,2003,Severe Storm(s),10792.93
1480,Stanton,2003,Severe Storm(s),998.54
1480,Polk,2003,Severe Storm(s),1875.0
1480,Cedar,2003,Severe Storm(s),121484.66
1480,Statewide,2003,Severe Storm(s),69638.25
1480,Butler,2003,Severe Storm(s),38346.0
1480,Cedar,2003,Severe Storm(s),12575.26
1480,Knox,2003,Severe Storm(s),10512.98
1480,Holt,2003,Severe Storm(s),21349.5
1480,Statewide,2003,Severe Storm(s),144458.78
1480,McPherson,2003,Severe Storm(s),5764.51
1480,Platte,2003,Severe Storm(s),36602.45
1480,Thayer,2003,Severe Storm(s),0.0
1480,McPherson,2003,Severe Storm(s),750.0
1480,Cedar,2003,Severe Storm(s),0.0
1480,Holt,2003,Severe Storm(s),10579.76
1480,Valley,2003,Severe Storm(s),28434.66
1480,Statewide,2003,Severe Storm(s),758077.92
1480,Thayer,2003,Severe Storm(s),292521.11
1480,Platte,2003,Severe Storm(s),35498.27
1480,Polk,2003,Severe Storm(s),1327.07
1480,Jefferson,2003,Severe Storm(s),90609.25
1480,Statewide,2003,Severe Storm(s),206061.48
1480,Howard,2003,Severe Storm(s),2985.27
1480,Holt,2003,Severe Storm(s),1240.38
1480,Polk,2003,Severe Storm(s),187.5
1480,Thayer,2003,Severe Storm(s),398538.26
1480,Cedar,2003,Severe Storm(s),86012.25
1480,Howard,2003,Severe Storm(s),1692.13
