disasterNumber,county,declarationDate,incidentType,amountOblig
1281,Clark,1999-07-20T00:00:00.000Z,Severe Storm(s),1753.13
1281,Clark,1999-07-20T00:00:00.000Z,Severe Storm(s),3611885.57
1281,Statewide,1999-07-20T00:00:00.000Z,Severe Storm(s),33011.76
1281,Clark,1999-07-20T00:00:00.000Z,Severe Storm(s),62017.04
1281,Statewide,1999-07-20T00:00:00.000Z,Severe Storm(s),113837.87
1281,Clark,1999-07-20T00:00:00.000Z,Severe Storm(s),7910.49
1281,Clark,1999-07-20T00:00:00.000Z,Severe Storm(s),23346.17
1281,Statewide,1999-07-20T00:00:00.000Z,Severe Storm(s),9878.49
1281,Clark,1999-07-20T00:00:00.000Z,Severe Storm(s),628213.17
1281,Statewide,1999-07-20T00:00:00.000Z,Severe Storm(s),0.0
1281,Clark,1999-07-20T00:00:00.000Z,Severe Storm(s),99751.08
1540,Statewide,2004-08-26T00:00:00.000Z,Fire,12663.82
1540,Statewide,2004-08-26T00:00:00.000Z,Fire,50286.96
1540,Carson City,2004-08-26T00:00:00.000Z,Fire,1087311.34
1540,Statewide,2004-08-26T00:00:00.000Z,Fire,4920008.65
1540,Statewide,2004-08-26T00:00:00.000Z,Fire,0.0
1540,Statewide,2004-08-26T00:00:00.000Z,Fire,125916.78
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),23042.63
1583,Lincoln,2005-03-07T00:00:00.000Z,Severe Storm(s),349740.04
1583,Lincoln,2005-03-07T00:00:00.000Z,Severe Storm(s),15992.75
1583,Lincoln,2005-03-07T00:00:00.000Z,Severe Storm(s),1165603.54
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),0.0
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),0.0
1583,Lincoln,2005-03-07T00:00:00.000Z,Severe Storm(s),7384.55
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),111699.95
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),72848.02
1583,Statewide,2005-03-07T00:00:00.000Z,Severe Storm(s),379880.4
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),52076.92
1583,Lincoln,2005-03-07T00:00:00.000Z,Severe Storm(s),2921.07
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),48409.54
1583,Lincoln,2005-03-07T00:00:00.000Z,Severe Storm(s),31648.12
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),68060.15
1583,Statewide,2005-03-07T00:00:00.000Z,Severe Storm(s),2233.72
1583,Lincoln,2005-03-07T00:00:00.000Z,Severe Storm(s),11700.6
1583,Clark,2005-03-07T00:00:00.000Z,Severe Storm(s),344171.49
1583,Statewide,2005-03-07T00:00:00.000Z,Severe Storm(s),1023089.99
1583,Statewide,2005-03-07T00:00:00.000Z,Severe Storm(s),35227.18
