disasterNumber,county,declarationDate,incidentType,amountOblig
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,4864.06
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,3626.34
1305,Cheshire,1999-10-18T00:00:00.000Z,Hurricane,5885.02
1305,Cheshire,1999-10-18T00:00:00.000Z,Hurricane,22235.11
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,11405.75
1305,Cheshire,1999-10-18T00:00:00.000Z,Hurricane,9188.25
1305,Belknap,1999-10-18T00:00:00.000Z,Hurricane,4860.26
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,12759.32
1305,Cheshire,1999-10-18T00:00:00.000Z,Hurricane,15619.41
1305,Cheshire,1999-10-18T00:00:00.000Z,Hurricane,1734.97
1305,Cheshire,1999-10-18T00:00:00.000Z,Hurricane,18484.93
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,2107.18
1305,Cheshire,1999-10-18T00:00:00.000Z,Hurricane,3787.5
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,798.75
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,48472.67
1305,Cheshire,1999-10-18T00:00:00.000Z,Hurricane,18437.28
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,2976.77
1305,Statewide,1999-10-18T00:00:00.000Z,Hurricane,45744.71
1305,Statewide,1999-10-18T00:00:00.000Z,Hurricane,4497.75
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,303817.56
1305,Grafton,1999-10-18T00:00:00.000Z,Hurricane,21296.09
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),583649.53
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),825.41
1489,Statewide,2003-09-12T00:00:00.000Z,Severe Storm(s),-18109.68
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),1220.13
1489,Sullivan,2003-09-12T00:00:00.000Z,Severe Storm(s),6766.26
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),40831.32
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),5838.58
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),39499.92
1489,Sullivan,2003-09-12T00:00:00.000Z,Severe Storm(s),1416.0
1489,Statewide,2003-09-12T00:00:00.000Z,Severe Storm(s),8817.75
1489,Sullivan,2003-09-12T00:00:00.000Z,Severe Storm(s),4909.97
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),2232.04
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),9177.65
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),819.56
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),115413.81
1489,Sullivan,2003-09-12T00:00:00.000Z,Severe Storm(s),2984.1
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),45508.29
1489,Cheshire,2003-09-12T00:00:00.000Z,Severe Storm(s),0.0
1489,Statewide,2003-09-12T00:00:00.000Z,Severe Storm(s),5512.5
1489,Sullivan,2003-09-12T00:00:00.000Z,Severe Storm(s),55234.99
1489,Sullivan,2003-09-12T00:00:00.000Z,Severe Storm(s),8704.8
1489,Sullivan,2003-09-12T00:00:00.000Z,Severe Storm(s),1967.95
1610,Belknap,2005-10-26T00:00:00.000Z,Severe Storm(s),30611.57
1610,Belknap,2005-10-26T00:00:00.000Z,Severe Storm(s),4246.28
1610,Belknap,2005-10-26T00:00:00.000Z,Severe Storm(s),102517.94
1610,Belknap,2005-10-26T00:00:00.000Z,Severe Storm(s),77404.86
1610,Belknap,2005-10-26T00:00:00.000Z,Severe Storm(s),55236.24
1610,Statewide,2005-10-26T00:00:00.000Z,Severe Storm(s),26869.67
1610,Hillsborough,2005-10-26T00:00:00.000Z,Severe Storm(s),40246.69
1610,Merrimack,2005-10-26T00:00:00.000Z,Severe Storm(s),9411.69
1610,Merrimack,2005-10-26T00:00:00.000Z,Severe Storm(s),27934.8
1610,Merrimack,2005-10-26T00:00:00.000Z,Severe Storm(s),27550.14
1610,Sullivan,2005-10-26T00:00:00.000Z,Severe Storm(s),396849.86
1610,Cheshire,2005-10-26T00:00:00.000Z,Severe Storm(s),377848.76
1610,Cheshire,2005-10-26T00:00:00.000Z,Severe Storm(s),75848.74
1610,Hillsborough,2005-10-26T00:00:00.000Z,Severe Storm(s),5529.75
1610,Hillsborough,2005-10-26T00:00:00.000Z,Severe Storm(s),248020.32
1610,Merrimack,2005-10-26T00:00:00.000Z,Severe Storm(s),19248.16
1610,Sullivan,2005-10-26T00:00:00.000Z,Severe Storm(s),207409.48
1610,Cheshire,2005-10-26T00:00:00.000Z,Severe Storm(s),19915.04
1610,Sullivan,2005-10-26T00:00:00.000Z,Severe Storm(s),26842.22
1610,Merrimack,2005-10-26T00:00:00.000Z,Severe Storm(s),26127.95
1610,Sullivan,2005-10-26T00:00:00.000Z,Severe Storm(s),276899.51
1610,Statewide,2005-10-26T00:00:00.000Z,Severe Storm(s),10871.27
1610,Hillsborough,2005-10-26T00:00:00.000Z,Severe Storm(s),188005.75
1610,Belknap,2005-10-26T00:00:00.000Z,Severe Storm(s),175849.73
1610,Cheshire,2005-10-26T00:00:00.000Z,Severe Storm(s),750.0
1610,Hillsborough,2005-10-26T00:00:00.000Z,Severe Storm(s),11781.75
