disasterNumber,county,year,incidentType,amountOblig
1295,Bergen,1999,Hurricane,5095.65
1295,Bergen,1999,Hurricane,27043.55
1295,Bergen,1999,Hurricane,50658.9
1295,Morris,1999,Hurricane,6590.9
1295,Morris,1999,Hurricane,91776.66
1295,Bergen,1999,Hurricane,32638.5
1295,Bergen,1999,Hurricane,862041.8
1295,Bergen,1999,Hurricane,50251.13
1295,Bergen,1999,Hurricane,31602.28
1295,Bergen,1999,Hurricane,24003.87
1295,Bergen,1999,Hurricane,164038.97
1295,Bergen,1999,Hurricane,10353.8
1295,Bergen,1999,Hurricane,4835.62
1295,Bergen,1999,Hurricane,22979.66
1295,Bergen,1999,Hurricane,8016.75
1295,Morris,1999,Hurricane,5607.22
1295,Bergen,1999,Hurricane,109340.01
1295,Bergen,1999,Hurricane,67397.57
1295,Bergen,1999,Hurricane,30961.49
1295,Bergen,1999,Hurricane,12120.68
1295,Bergen,1999,Hurricane,24283.34
1295,Bergen,1999,Hurricane,8793.85
1295,Bergen,1999,Hurricane,228378.68
1295,Bergen,1999,Hurricane,12128.9
1295,Bergen,1999,Hurricane,327557.07
1295,Bergen,1999,Hurricane,13471.27
1295,Bergen,1999,Hurricane,31764.29
1295,Bergen,1999,Hurricane,76966.32
1295,Bergen,1999,Hurricane,45519.17
1295,Bergen,1999,Hurricane,29638.96
1295,Bergen,1999,Hurricane,5767.9
1295,Middlesex,1999,Hurricane,12044.96
1295,Bergen,1999,Hurricane,27676.36
1295,Bergen,1999,Hurricane,107486.86
1295,Bergen,1999,Hurricane,0.0
1295,Bergen,1999,Hurricane,17962.05
1295,Bergen,1999,Hurricane,170310.0
1295,Bergen,1999,Hurricane,11604.04
1295,Bergen,1999,Hurricane,6200.6
1295,Bergen,1999,Hurricane,129517.06
1295,Bergen,1999,Hurricane,51409.5
1295,Middlesex,1999,Hurricane,21328.5
1295,Mercer,1999,Hurricane,13230.2
1295,Essex,1999,Hurricane,102941.77
1295,Bergen,1999,Hurricane,76459.12
1295,Bergen,1999,Hurricane,31766.5
1295,Bergen,1999,Hurricane,438949.72
1295,Bergen,1999,Hurricane,15524.7
1295,Middlesex,1999,Hurricane,17019.56
1295,Bergen,1999,Hurricane,29007.0
1295,Bergen,1999,Hurricane,10913.79
1295,Bergen,1999,Hurricane,750.0
1295,Bergen,1999,Hurricane,9605.23
1295,Bergen,1999,Hurricane,7189.99
1295,Hunterdon,1999,Hurricane,962.06
1295,Bergen,1999,Hurricane,306456.25
1295,Bergen,1999,Hurricane,9339.7
1295,Bergen,1999,Hurricane,507923.35
1295,Bergen,1999,Hurricane,14556.0
1295,Bergen,1999,Hurricane,24259.31
1295,Essex,1999,Hurricane,8283.56
1295,Bergen,1999,Hurricane,8080.0
1295,Bergen,1999,Hurricane,9793.04
1295,Bergen,1999,Hurricane,268289.16
1295,Bergen,1999,Hurricane,142551.32
1295,Bergen,1999,Hurricane,226435.44
1295,Bergen,1999,Hurricane,118592.85
1295,Bergen,1999,Hurricane,29977.09
1295,Bergen,1999,Hurricane,105618.26
1295,Bergen,1999,Hurricane,1615.88
1295,Bergen,1999,Hurricane,92130.0
1295,Bergen,1999,Hurricane,381351.95
1295,Bergen,1999,Hurricane,1500.0
1295,Bergen,1999,Hurricane,12084.75
1295,Bergen,1999,Hurricane,2648.16
1295,Bergen,1999,Hurricane,0.0
1295,Bergen,1999,Hurricane,383579.89
1295,Bergen,1999,Hurricane,121007.09
1295,Bergen,1999,Hurricane,12336.81
1295,Bergen,1999,Hurricane,43008.68
1295,Bergen,1999,Hurricane,201259.71
1295,Bergen,1999,Hurricane,60382.51
1295,Essex,1999,Hurricane,80368.57
1295,Bergen,1999,Hurricane,37253.28
1295,Bergen,1999,Hurricane,18750.0
