disasterNumber,county,declarationDate,incidentType,amountOblig
1301,Rio Arriba,1999-09-22T00:00:00.000Z,Severe Storm(s),8924.25
1301,Statewide,1999-09-22T00:00:00.000Z,Severe Storm(s),97404.05
1301,Sierra,1999-09-22T00:00:00.000Z,Severe Storm(s),156400.56
1301,Rio Arriba,1999-09-22T00:00:00.000Z,Severe Storm(s),160547.59
1301,Sandoval,1999-09-22T00:00:00.000Z,Severe Storm(s),2454.0
1301,Sandoval,1999-09-22T00:00:00.000Z,Severe Storm(s),35682.0
1301,Otero,1999-09-22T00:00:00.000Z,Severe Storm(s),7653.0
1301,Sandoval,1999-09-22T00:00:00.000Z,Severe Storm(s),443817.58
1301,Sierra,1999-09-22T00:00:00.000Z,Severe Storm(s),3925.69
1301,Statewide,1999-09-22T00:00:00.000Z,Severe Storm(s),-3285.36
1301,Rio Arriba,1999-09-22T00:00:00.000Z,Severe Storm(s),66877.88
1301,Sierra,1999-09-22T00:00:00.000Z,Severe Storm(s),12301.13
1301,Dona Ana,1999-09-22T00:00:00.000Z,Severe Storm(s),140969.93
1301,San Juan,1999-09-22T00:00:00.000Z,Severe Storm(s),158095.5
1301,Statewide,1999-09-22T00:00:00.000Z,Severe Storm(s),5090.03
1301,San Juan,1999-09-22T00:00:00.000Z,Severe Storm(s),5590.69
1301,Mora,1999-09-22T00:00:00.000Z,Severe Storm(s),6600.0
1301,Rio Arriba,1999-09-22T00:00:00.000Z,Severe Storm(s),6157.13
1301,Luna,1999-09-22T00:00:00.000Z,Severe Storm(s),267142.0
1301,Sandoval,1999-09-22T00:00:00.000Z,Severe Storm(s),230680.21
1301,Sierra,1999-09-22T00:00:00.000Z,Severe Storm(s),5550.0
1301,Rio Arriba,1999-09-22T00:00:00.000Z,Severe Storm(s),13762.88
1301,Sandoval,1999-09-22T00:00:00.000Z,Severe Storm(s),9111.0
1301,Rio Arriba,1999-09-22T00:00:00.000Z,Severe Storm(s),7768.13
1301,Sierra,1999-09-22T00:00:00.000Z,Severe Storm(s),1043.11
1301,Rio Arriba,1999-09-22T00:00:00.000Z,Severe Storm(s),12300.75
1301,Sandoval,1999-09-22T00:00:00.000Z,Severe Storm(s),5962.62
1301,Rio Arriba,1999-09-22T00:00:00.000Z,Severe Storm(s),8256.0
1329,Los Alamos,2000-05-13T00:00:00.000Z,Fire,5405742.8
1329,Los Alamos,2000-05-13T00:00:00.000Z,Fire,63943.53
1329,Statewide,2000-05-13T00:00:00.000Z,Fire,-13772.21
1329,Otero,2000-05-13T00:00:00.000Z,Fire,31347.53
1329,Los Alamos,2000-05-13T00:00:00.000Z,Fire,0.0
1329,Otero,2000-05-13T00:00:00.000Z,Fire,33529.57
1514,Bernalillo,2004-04-29T00:00:00.000Z,Severe Storm(s),6950.63
1514,San Miguel,2004-04-29T00:00:00.000Z,Severe Storm(s),12946.25
1514,Eddy,2004-04-29T00:00:00.000Z,Severe Storm(s),1533.53
1514,Mora,2004-04-29T00:00:00.000Z,Severe Storm(s),42308.3
1514,San Miguel,2004-04-29T00:00:00.000Z,Severe Storm(s),10608.75
1514,Eddy,2004-04-29T00:00:00.000Z,Severe Storm(s),146624.08
1514,Bernalillo,2004-04-29T00:00:00.000Z,Severe Storm(s),3095559.25
1514,Statewide,2004-04-29T00:00:00.000Z,Severe Storm(s),-52225.57
1514,San Miguel,2004-04-29T00:00:00.000Z,Severe Storm(s),9024.0
1514,Statewide,2004-04-29T00:00:00.000Z,Severe Storm(s),44120.06
1514,Statewide,2004-04-29T00:00:00.000Z,Severe Storm(s),2499.0
1514,Eddy,2004-04-29T00:00:00.000Z,Severe Storm(s),2520.0
1514,Mora,2004-04-29T00:00:00.000Z,Severe Storm(s),1233.75
1514,Eddy,2004-04-29T00:00:00.000Z,Severe Storm(s),372667.6
1514,San Miguel,2004-04-29T00:00:00.000Z,Severe Storm(s),5298.0
1514,San Miguel,2004-04-29T00:00:00.000Z,Severe Storm(s),1275.0
1514,Bernalillo,2004-04-29T00:00:00.000Z,Severe Storm(s),5505.0
1514,San Miguel,2004-04-29T00:00:00.000Z,Severe Storm(s),6873.75
1514,Eddy,2004-04-29T00:00:00.000Z,Severe Storm(s),45441.37
1514,Mora,2004-04-29T00:00:00.000Z,Severe Storm(s),13992.0
1514,San Miguel,2004-04-29T00:00:00.000Z,Severe Storm(s),10111.31
1514,Mora,2004-04-29T00:00:00.000Z,Severe Storm(s),0.0
1514,San Miguel,2004-04-29T00:00:00.000Z,Severe Storm(s),179235.01
1514,Mora,2004-04-29T00:00:00.000Z,Severe Storm(s),0.0
1514,Bernalillo,2004-04-29T00:00:00.000Z,Severe Storm(s),4462.5
1514,Mora,2004-04-29T00:00:00.000Z,Severe Storm(s),281914.1
1514,Bernalillo,2004-04-29T00:00:00.000Z,Severe Storm(s),33740.82
1514,Mora,2004-04-29T00:00:00.000Z,Severe Storm(s),5587.07
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),17759.63
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),111898.88
1659,Harding,2006-08-30T00:00:00.000Z,Severe Storm(s),80162.22
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),0.0
1659,Lincoln,2006-08-30T00:00:00.000Z,Severe Storm(s),10003.5
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),3400.33
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),5472.19
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),37258.09
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),9572.35
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),3870.96
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),462789.6
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),1156.41
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),0.0
1659,Cibola,2006-08-30T00:00:00.000Z,Severe Storm(s),3024744.47
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),33834.96
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),50758.9
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),12050.24
1659,Lincoln,2006-08-30T00:00:00.000Z,Severe Storm(s),23118.07
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),376813.83
1659,Cibola,2006-08-30T00:00:00.000Z,Severe Storm(s),45864.0
1659,Lincoln,2006-08-30T00:00:00.000Z,Severe Storm(s),0.0
1659,Guadalupe,2006-08-30T00:00:00.000Z,Severe Storm(s),19274.09
1659,Hidalgo,2006-08-30T00:00:00.000Z,Severe Storm(s),38847.67
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),5252.91
1659,Guadalupe,2006-08-30T00:00:00.000Z,Severe Storm(s),768.75
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),1854261.4
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),5128.95
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),419888.66
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),40736.49
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),31383.38
1659,Cibola,2006-08-30T00:00:00.000Z,Severe Storm(s),0.0
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),24010.58
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),464941.61
1659,Lincoln,2006-08-30T00:00:00.000Z,Severe Storm(s),32790.0
1659,Hidalgo,2006-08-30T00:00:00.000Z,Severe Storm(s),4169.95
1659,Lincoln,2006-08-30T00:00:00.000Z,Severe Storm(s),466548.91
1659,Guadalupe,2006-08-30T00:00:00.000Z,Severe Storm(s),5647.5
1659,Grant,2006-08-30T00:00:00.000Z,Severe Storm(s),22614.72
1659,Guadalupe,2006-08-30T00:00:00.000Z,Severe Storm(s),10161.38
1659,Dona Ana,2006-08-30T00:00:00.000Z,Severe Storm(s),651218.72
1659,Cibola,2006-08-30T00:00:00.000Z,Severe Storm(s),2232758.27
1659,Valencia,2006-08-30T00:00:00.000Z,Severe Storm(s),575151.01
1659,San Miguel,2006-08-30T00:00:00.000Z,Severe Storm(s),112889.36
1659,McKinley,2006-08-30T00:00:00.000Z,Severe Storm(s),268869.77
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),2133.45
1659,Otero,2006-08-30T00:00:00.000Z,Severe Storm(s),703461.9
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),91597.5
1659,Luna,2006-08-30T00:00:00.000Z,Severe Storm(s),11230.91
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),1672.5
1659,Luna,2006-08-30T00:00:00.000Z,Severe Storm(s),388276.49
1659,Otero,2006-08-30T00:00:00.000Z,Severe Storm(s),562.5
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),8281.43
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),2147178.47
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),11810.63
1659,Otero,2006-08-30T00:00:00.000Z,Severe Storm(s),274365.51
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),2422.5
1659,Taos,2006-08-30T00:00:00.000Z,Severe Storm(s),23996.77
1659,Socorro,2006-08-30T00:00:00.000Z,Severe Storm(s),50944.5
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),100136.87
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),31188.47
1659,Otero,2006-08-30T00:00:00.000Z,Severe Storm(s),395741.72
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),66061.12
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),14384.63
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),1265956.27
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),66117.09
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),136961.09
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),1776127.93
1659,Lincoln,2006-08-30T00:00:00.000Z,Severe Storm(s),245455.07
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),47324.58
1659,Cibola,2006-08-30T00:00:00.000Z,Severe Storm(s),53833.31
1659,Otero,2006-08-30T00:00:00.000Z,Severe Storm(s),589325.19
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),921042.63
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),3750.0
1659,Hidalgo,2006-08-30T00:00:00.000Z,Severe Storm(s),633939.24
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),132066.68
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),21990.98
1659,Taos,2006-08-30T00:00:00.000Z,Severe Storm(s),34931.25
1659,Socorro,2006-08-30T00:00:00.000Z,Severe Storm(s),21687.12
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),220538.26
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),801.9
1659,Torrance,2006-08-30T00:00:00.000Z,Severe Storm(s),965082.84
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),341257.6
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),4287.0
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),353344.19
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),105482.0
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),28081.13
1659,Luna,2006-08-30T00:00:00.000Z,Severe Storm(s),1315279.71
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),92928.02
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),33269.94
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),79342.13
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),135440.25
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),345478.4
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),5876.51
1659,Mora,2006-08-30T00:00:00.000Z,Severe Storm(s),380292.73
1659,Otero,2006-08-30T00:00:00.000Z,Severe Storm(s),78324.09
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),757880.52
1659,Valencia,2006-08-30T00:00:00.000Z,Severe Storm(s),413828.61
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),191267.66
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),10864.48
1659,Sandoval,2006-08-30T00:00:00.000Z,Severe Storm(s),218658.6
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),11851.45
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),3351.98
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),3976.5
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),14600.63
1659,San Miguel,2006-08-30T00:00:00.000Z,Severe Storm(s),11113.5
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),679598.16
1659,Otero,2006-08-30T00:00:00.000Z,Severe Storm(s),22021.43
1659,Torrance,2006-08-30T00:00:00.000Z,Severe Storm(s),6921.0
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),3000.0
1659,Socorro,2006-08-30T00:00:00.000Z,Severe Storm(s),10638.83
1659,Lincoln,2006-08-30T00:00:00.000Z,Severe Storm(s),37125.12
1659,Cibola,2006-08-30T00:00:00.000Z,Severe Storm(s),438303.23
1659,Otero,2006-08-30T00:00:00.000Z,Severe Storm(s),501998.66
1659,Valencia,2006-08-30T00:00:00.000Z,Severe Storm(s),21109.55
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),4850.81
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),884704.44
1659,Taos,2006-08-30T00:00:00.000Z,Severe Storm(s),561171.7
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),12532.3
1659,Rio Arriba,2006-08-30T00:00:00.000Z,Severe Storm(s),5017.5
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),130925.33
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),0.0
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),44198.69
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),0.0
1659,McKinley,2006-08-30T00:00:00.000Z,Severe Storm(s),0.0
1659,Sierra,2006-08-30T00:00:00.000Z,Severe Storm(s),18506.5
1659,Valencia,2006-08-30T00:00:00.000Z,Severe Storm(s),144406.48
1659,Statewide,2006-08-30T00:00:00.000Z,Severe Storm(s),39162.85
1659,Socorro,2006-08-30T00:00:00.000Z,Severe Storm(s),123494.15
1783,Otero,2008-08-14T00:00:00.000Z,Severe Storm(s),480416.98
1783,Otero,2008-08-14T00:00:00.000Z,Severe Storm(s),85364.47
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),5980.5
1783,Statewide,2008-08-14T00:00:00.000Z,Severe Storm(s),7947.75
1783,Statewide,2008-08-14T00:00:00.000Z,Severe Storm(s),13278.72
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),33954.0
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),219012.87
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),6175.5
1783,Statewide,2008-08-14T00:00:00.000Z,Severe Storm(s),474059.0
1783,Statewide,2008-08-14T00:00:00.000Z,Severe Storm(s),172205.74
1783,Otero,2008-08-14T00:00:00.000Z,Severe Storm(s),1810198.07
1783,Statewide,2008-08-14T00:00:00.000Z,Severe Storm(s),16707.42
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),5507.57
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),34455604.19
1783,Otero,2008-08-14T00:00:00.000Z,Severe Storm(s),6649.95
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),10758.0
1783,Statewide,2008-08-14T00:00:00.000Z,Severe Storm(s),16031.66
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),1139.29
1783,Otero,2008-08-14T00:00:00.000Z,Severe Storm(s),4312.5
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),137983.31
1783,Otero,2008-08-14T00:00:00.000Z,Severe Storm(s),1668.68
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),10099.78
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),139520.81
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),103184.25
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),136545.34
1783,Lincoln,2008-08-14T00:00:00.000Z,Severe Storm(s),273914.43
1936,Cibola,2010-09-13T00:00:00.000Z,Flood,66245.68
1936,Statewide,2010-09-13T00:00:00.000Z,Flood,902440.55
1936,Statewide,2010-09-13T00:00:00.000Z,Flood,3462.71
1936,Mora,2010-09-13T00:00:00.000Z,Flood,5588.7
1936,San Juan,2010-09-13T00:00:00.000Z,Flood,2373.43
1936,Mora,2010-09-13T00:00:00.000Z,Flood,17216.25
1936,Statewide,2010-09-13T00:00:00.000Z,Flood,2109.75
1936,Socorro,2010-09-13T00:00:00.000Z,Flood,605573.3
1936,Statewide,2010-09-13T00:00:00.000Z,Flood,6527828.76
1936,San Juan,2010-09-13T00:00:00.000Z,Flood,1948091.44
1936,Mora,2010-09-13T00:00:00.000Z,Flood,11028.53
1936,Cibola,2010-09-13T00:00:00.000Z,Flood,41063.71
1936,Statewide,2010-09-13T00:00:00.000Z,Flood,306474.0
1936,Cibola,2010-09-13T00:00:00.000Z,Flood,39725.63
1936,McKinley,2010-09-13T00:00:00.000Z,Flood,1217353.86
1936,Socorro,2010-09-13T00:00:00.000Z,Flood,36262.8
1936,Mora,2010-09-13T00:00:00.000Z,Flood,8278.5
1936,Mora,2010-09-13T00:00:00.000Z,Flood,35712.45
1936,Socorro,2010-09-13T00:00:00.000Z,Flood,62616.81
1936,McKinley,2010-09-13T00:00:00.000Z,Flood,20385.82
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),3275.3
1962,Otero,2011-03-24T00:00:00.000Z,Severe Storm(s),1875.0
1962,Otero,2011-03-24T00:00:00.000Z,Severe Storm(s),23082.14
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),29081.11
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),855.57
1962,Otero,2011-03-24T00:00:00.000Z,Severe Storm(s),26122.3
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),25619.66
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),144875.32
1962,Rio Arriba,2011-03-24T00:00:00.000Z,Severe Storm(s),35506.83
1962,Otero,2011-03-24T00:00:00.000Z,Severe Storm(s),2447.88
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),1635.75
1962,Otero,2011-03-24T00:00:00.000Z,Severe Storm(s),55193.39
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),5910.42
1962,Otero,2011-03-24T00:00:00.000Z,Severe Storm(s),7668.06
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),26846.2
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),343020.57
1962,Lincoln,2011-03-24T00:00:00.000Z,Severe Storm(s),47102.82
1962,Otero,2011-03-24T00:00:00.000Z,Severe Storm(s),18448.23
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),872.9
1962,Rio Arriba,2011-03-24T00:00:00.000Z,Severe Storm(s),23965.27
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),37501.24
1962,Socorro,2011-03-24T00:00:00.000Z,Severe Storm(s),21248.96
1962,Taos,2011-03-24T00:00:00.000Z,Severe Storm(s),68507.93
1962,Socorro,2011-03-24T00:00:00.000Z,Severe Storm(s),2223.86
1962,Socorro,2011-03-24T00:00:00.000Z,Severe Storm(s),16507.06
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),312218.65
1962,Taos,2011-03-24T00:00:00.000Z,Severe Storm(s),23045.48
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),38272.14
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),112604.73
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),17110.99
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),12111.61
1962,Socorro,2011-03-24T00:00:00.000Z,Severe Storm(s),1417.0
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),2181.14
1962,Rio Arriba,2011-03-24T00:00:00.000Z,Severe Storm(s),19394.06
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),13029.77
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),4015.57
1962,Taos,2011-03-24T00:00:00.000Z,Severe Storm(s),54725.96
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),19067.11
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),64778.7
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),11184.64
1962,Socorro,2011-03-24T00:00:00.000Z,Severe Storm(s),8097.62
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),5307.77
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),46253.66
1962,Taos,2011-03-24T00:00:00.000Z,Severe Storm(s),14731.15
1962,Statewide,2011-03-24T00:00:00.000Z,Severe Storm(s),52896.6
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,71678.49
3154,Lincoln,2000-05-10T00:00:00.000Z,Fire,15779.74
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,353139.16
3154,San Miguel,2000-05-10T00:00:00.000Z,Fire,3105.0
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,311812.61
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,71068.32
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,0.0
3154,Lincoln,2000-05-10T00:00:00.000Z,Fire,22803.63
3154,Lincoln,2000-05-10T00:00:00.000Z,Fire,3376.62
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,87876.41
3154,San Miguel,2000-05-10T00:00:00.000Z,Fire,2691.75
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,915654.75
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,702852.68
3154,Statewide,2000-05-10T00:00:00.000Z,Fire,1669698.72
3229,Statewide,2005-09-07T00:00:00.000Z,Hurricane,-21368.62
3229,San Juan,2005-09-07T00:00:00.000Z,Hurricane,5036.13
3229,Statewide,2005-09-07T00:00:00.000Z,Hurricane,18820.36
3229,Bernalillo,2005-09-07T00:00:00.000Z,Hurricane,877851.37
3229,Statewide,2005-09-07T00:00:00.000Z,Hurricane,7763.53
3229,Statewide,2005-09-07T00:00:00.000Z,Hurricane,104788.79
4047,Statewide,2011-11-23T00:00:00.000Z,Flood,2491520.51
4047,Cibola,2011-11-23T00:00:00.000Z,Flood,95319.08
4047,Statewide,2011-11-23T00:00:00.000Z,Flood,907891.0
4047,Statewide,2011-11-23T00:00:00.000Z,Flood,15819115.63
4047,Statewide,2011-11-23T00:00:00.000Z,Flood,194337.1
4047,Los Alamos,2011-11-23T00:00:00.000Z,Flood,791427.62
4047,Cibola,2011-11-23T00:00:00.000Z,Flood,21524.11
4079,Statewide,2012-08-24T00:00:00.000Z,Flood,342808.41
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,772077.13
4079,Statewide,2012-08-24T00:00:00.000Z,Flood,64840.94
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,30323.5
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,5989.16
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,33072.15
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,0.0
4079,Los Alamos,2012-08-24T00:00:00.000Z,Flood,962946.06
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,1912923.55
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,6780.89
4079,Statewide,2012-08-24T00:00:00.000Z,Flood,36527.08
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,5223.42
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,6673.92
4079,Statewide,2012-08-24T00:00:00.000Z,Flood,2342693.25
4079,Otero,2012-08-24T00:00:00.000Z,Flood,13322480.76
4079,Statewide,2012-08-24T00:00:00.000Z,Flood,1677375.0
4079,Lincoln,2012-08-24T00:00:00.000Z,Flood,15627.91
4148,Sandoval,2013-09-30T00:00:00.000Z,Severe Storm(s),101650.01
4147,Statewide,2013-09-27T00:00:00.000Z,Severe Storm(s),72568.6
