disasterNumber,county,declarationDate,incidentType,amountOblig
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),191776.5
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),750.0
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),34194.63
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),6136.5
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),29239.76
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),1773.75
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),6515.67
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),8932.5
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),2367.5
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),1173.75
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),3454.66
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),4826.25
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),664.73
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),6931.91
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),72464.71
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),8891.73
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),18588.21
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),12613.57
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),80073.06
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),207400.29
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),27657.33
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),8277.75
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),5503.14
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),22708.04
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),564190.09
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),87149.54
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),35088.66
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),6506.75
1244,nan,1998-09-11T00:00:00.000Z,Severe Storm(s),1926.93
