disasterNumber,county,declarationDate,incidentType,amountOblig
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,30956.35
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,1288255.25
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,4125.0
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,22810.25
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,66289.22
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,22473.68
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,65190.2
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,7188.75
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,20796.71
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,314560.93
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,1768393.2
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,53852.25
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,299216.03
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,396334.9
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,66528.23
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,12021.79
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,862732.48
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,4369.5
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,18915.22
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,28144.13
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,5577.75
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,48564.25
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,6140.25
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,1453865.81
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,13785.21
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,35811.68
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,76500.0
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,10609.94
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,80414.13
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,36251.37
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,253820.12
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,29929.25
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,40208.0
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,1330.02
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,31508.63
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,77689.43
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,2883.05
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,7341.01
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,3555.61
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,1970.25
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,10104.75
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,51831.75
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,250795.74
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,74699.33
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,91732.65
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,4576.5
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,4716.0
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,108792.09
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,46908.38
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,106947.5
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,5751.0
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,8240.25
1240,nan,1998-08-27T00:00:00.000Z,Hurricane,27034.14
