disasterNumber,county,year,incidentType,amountOblig
1279,McLean,1999,Flood,2869.2
1279,Barnes,1999,Flood,6929.1
1279,Rolette,1999,Flood,5391.9
1279,Burleigh,1999,Flood,157560.3
1279,Statewide,1999,Flood,53028.28
1279,Kidder,1999,Flood,11542.06
1279,McLean,1999,Flood,309452.02
1279,Sioux,1999,Flood,22830.3
1279,Ward,1999,Flood,129095.11
1279,Foster,1999,Flood,6006.55
1279,Benson,1999,Flood,6057.9
1279,Ramsey,1999,Flood,1200.16
1279,Burleigh,1999,Flood,6292.08
1279,Statewide,1999,Flood,58540.08
1279,Burleigh,1999,Flood,5130.0
1279,McHenry,1999,Flood,4765.5
1279,Steele,1999,Flood,2482.62
1279,McHenry,1999,Flood,1890.72
1279,Bottineau,1999,Flood,23070.37
1279,Statewide,1999,Flood,14916.88
1279,Burke,1999,Flood,6878.03
1279,Cass,1999,Flood,9333.91
1279,Traill,1999,Flood,582571.36
1279,Barnes,1999,Flood,37841.9
1279,McHenry,1999,Flood,2178.36
1279,Rolette,1999,Flood,3295.48
1279,Ramsey,1999,Flood,11016.46
1279,Sargent,1999,Flood,16413.3
1279,Ward,1999,Flood,0.0
1279,McLean,1999,Flood,1368.9
1279,McLean,1999,Flood,11233.8
1279,Foster,1999,Flood,100326.16
1279,Emmons,1999,Flood,0.0
1279,Grand Forks,1999,Flood,690511.85
1279,Pierce,1999,Flood,0.0
1279,Dickey,1999,Flood,6958.44
1279,Mountrail,1999,Flood,9658.8
1279,McHenry,1999,Flood,2494.36
1279,Traill,1999,Flood,10487.44
1279,Bottineau,1999,Flood,43773.5
1279,Pembina,1999,Flood,0.0
1279,Grand Forks,1999,Flood,244114.2
1279,Burke,1999,Flood,226153.03
1279,Rolette,1999,Flood,13703.51
1279,Barnes,1999,Flood,426433.92
1279,Kidder,1999,Flood,0.0
1279,Steele,1999,Flood,57338.03
1279,Kidder,1999,Flood,8152.59
1279,Statewide,1999,Flood,193390.2
1279,Grand Forks,1999,Flood,16004.7
1279,Wells,1999,Flood,3617.1
1279,Burleigh,1999,Flood,366974.62
1279,Renville,1999,Flood,9377.1
1279,Morton,1999,Flood,51297.62
1279,Pierce,1999,Flood,3047.4
1279,Morton,1999,Flood,20745.8
1279,Stutsman,1999,Flood,0.0
1279,Cass,1999,Flood,4027.75
1279,Emmons,1999,Flood,9829.8
1279,Traill,1999,Flood,3060.0
1279,Walsh,1999,Flood,26421.79
1279,Ward,1999,Flood,13977.32
1279,Cass,1999,Flood,666.0
1279,Pierce,1999,Flood,1130765.83
1279,Ramsey,1999,Flood,544983.43
1279,Walsh,1999,Flood,0.0
1279,Ramsey,1999,Flood,221315.21
1279,McIntosh,1999,Flood,87187.06
1279,Divide,1999,Flood,26657.1
1279,McLean,1999,Flood,77721.82
1279,Walsh,1999,Flood,4965.3
1279,Pembina,1999,Flood,556470.97
1279,Walsh,1999,Flood,771459.48
1279,Richland,1999,Flood,0.0
1279,Ramsey,1999,Flood,8389.8
1279,Benson,1999,Flood,1920678.32
1279,Renville,1999,Flood,7869.37
1279,Griggs,1999,Flood,47922.45
1279,Cass,1999,Flood,8018.09
1279,Stutsman,1999,Flood,10132.2
1279,McLean,1999,Flood,0.0
1279,Walsh,1999,Flood,101765.11
1279,Emmons,1999,Flood,10135.8
1279,Barnes,1999,Flood,1834721.73
1279,Foster,1999,Flood,3652.54
1279,Statewide,1999,Flood,7421.27
1279,Statewide,1999,Flood,0.0
1279,Cass,1999,Flood,2435.99
1279,Ramsey,1999,Flood,297672.36
1279,Emmons,1999,Flood,19825.72
1279,Sargent,1999,Flood,2292.3
1279,Griggs,1999,Flood,1243.09
1279,Burleigh,1999,Flood,62787.8
1279,Ransom,1999,Flood,280746.62
1279,Williams,1999,Flood,87731.56
1279,Emmons,1999,Flood,38721.49
1279,Stutsman,1999,Flood,53847.54
1279,Logan,1999,Flood,1176.36
1279,Wells,1999,Flood,182092.43
1279,Richland,1999,Flood,13420.17
1279,Burleigh,1999,Flood,5059.57
1279,Ramsey,1999,Flood,5579.1
1279,Burleigh,1999,Flood,6628.6
1279,Steele,1999,Flood,70497.0
1279,Foster,1999,Flood,829317.43
1279,Kidder,1999,Flood,1495.08
