disasterNumber,county,year,incidentType,amountOblig
1343,Greene,2000,Severe Storm(s),9999.0
1343,Greene,2000,Severe Storm(s),2516339.27
1343,Statewide,2000,Severe Storm(s),2526.84
1343,Greene,2000,Severe Storm(s),13707.0
1343,Greene,2000,Severe Storm(s),5690.4
1343,Greene,2000,Severe Storm(s),7500.0
1343,Greene,2000,Severe Storm(s),0.0
1343,Greene,2000,Severe Storm(s),10124.25
1343,Statewide,2000,Severe Storm(s),5108.25
1343,Greene,2000,Severe Storm(s),9484.5
1343,Statewide,2000,Severe Storm(s),26043.0
1343,Greene,2000,Severe Storm(s),7874.25
1343,Greene,2000,Severe Storm(s),0.0
1343,Greene,2000,Severe Storm(s),1214.25
1343,Statewide,2000,Severe Storm(s),38255.41
1343,Greene,2000,Severe Storm(s),31161.14
1343,Greene,2000,Severe Storm(s),960.0
1343,Greene,2000,Severe Storm(s),3708.0
1343,Greene,2000,Severe Storm(s),313028.82
1343,Greene,2000,Severe Storm(s),29139.75
1343,Greene,2000,Severe Storm(s),26964.75
1343,Greene,2000,Severe Storm(s),3746.25
1343,Greene,2000,Severe Storm(s),1103.25
1343,Statewide,2000,Severe Storm(s),165555.0
1390,Hamilton,2001,Severe Storm(s),6113.78
1390,Hamilton,2001,Severe Storm(s),731188.0
1390,Clermont,2001,Severe Storm(s),5805.74
1390,Hamilton,2001,Severe Storm(s),65992.0
1390,Brown,2001,Severe Storm(s),1692.3
1390,Hamilton,2001,Severe Storm(s),16919.32
1390,Butler,2001,Severe Storm(s),90280.27
1390,Clermont,2001,Severe Storm(s),23706.36
1390,Hamilton,2001,Severe Storm(s),6870.96
1390,Hamilton,2001,Severe Storm(s),7023.34
1390,Hamilton,2001,Severe Storm(s),28589.91
1390,Statewide,2001,Severe Storm(s),76526.81
1390,Hamilton,2001,Severe Storm(s),6124.97
1390,Hamilton,2001,Severe Storm(s),13866.92
1390,Hamilton,2001,Severe Storm(s),32804.34
1390,Butler,2001,Severe Storm(s),9805.37
1390,Hamilton,2001,Severe Storm(s),142444.44
1390,Clermont,2001,Severe Storm(s),10490.87
1390,Hamilton,2001,Severe Storm(s),304992.77
1390,Brown,2001,Severe Storm(s),248158.38
1390,Statewide,2001,Severe Storm(s),65865.83
1390,Hamilton,2001,Severe Storm(s),10016.01
1390,Butler,2001,Severe Storm(s),43831.18
1390,Clermont,2001,Severe Storm(s),16519.73
