disasterNumber,county,declarationDate,incidentType,amountOblig
1405,Coos,2002-03-12T00:00:00.000Z,Severe Storm(s),5600.0
1405,Douglas,2002-03-12T00:00:00.000Z,Severe Storm(s),17411.25
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),16281.75
1405,Coos,2002-03-12T00:00:00.000Z,Severe Storm(s),10728.75
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),187.5
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),277782.32
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),12314.25
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),13386.45
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),2344.05
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),163776.3
1405,Coos,2002-03-12T00:00:00.000Z,Severe Storm(s),0.0
1405,Curry,2002-03-12T00:00:00.000Z,Severe Storm(s),2164.47
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),3423.25
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),2828.19
1405,Coos,2002-03-12T00:00:00.000Z,Severe Storm(s),6159.0
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),1648.5
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),678019.46
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),827.47
1405,Douglas,2002-03-12T00:00:00.000Z,Severe Storm(s),31905.0
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),4896.0
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),835.5
1405,Statewide,2002-03-12T00:00:00.000Z,Severe Storm(s),27003.35
1405,Coos,2002-03-12T00:00:00.000Z,Severe Storm(s),5302.5
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),4556.25
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),2890.06
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),11611.13
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),215670.82
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),1137896.56
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),928.88
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),100460.06
1405,Curry,2002-03-12T00:00:00.000Z,Severe Storm(s),0.0
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),1919.37
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),7405.5
1405,Coos,2002-03-12T00:00:00.000Z,Severe Storm(s),73823.38
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),63214.94
1405,Coos,2002-03-12T00:00:00.000Z,Severe Storm(s),1371.63
1405,Coos,2002-03-12T00:00:00.000Z,Severe Storm(s),1641.75
1405,Douglas,2002-03-12T00:00:00.000Z,Severe Storm(s),182568.85
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),37171.07
1405,Linn,2002-03-12T00:00:00.000Z,Severe Storm(s),1800.0
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),292326.84
1405,Statewide,2002-03-12T00:00:00.000Z,Severe Storm(s),112616.22
1405,Lane,2002-03-12T00:00:00.000Z,Severe Storm(s),2195.25
1405,Statewide,2002-03-12T00:00:00.000Z,Severe Storm(s),-9981.28
