disasterNumber,county,year,incidentType,amountOblig
1289,McKean,1999,Severe Storm(s),106367.84
1294,Bucks,1999,Hurricane,24838.11
1289,McKean,1999,Severe Storm(s),10483.46
1289,McKean,1999,Severe Storm(s),12336.22
1289,McKean,1999,Severe Storm(s),10384.19
1294,Bucks,1999,Hurricane,6348.71
1294,Delaware,1999,Hurricane,61899.6
1294,Delaware,1999,Hurricane,1394.37
1289,McKean,1999,Severe Storm(s),1228.57
1289,McKean,1999,Severe Storm(s),9756.05
1294,Delaware,1999,Hurricane,5525.13
1294,Bucks,1999,Hurricane,7049.51
1294,Bucks,1999,Hurricane,5803.26
1294,Delaware,1999,Hurricane,76414.52
1294,Chester,1999,Hurricane,1689.81
1294,Chester,1999,Hurricane,2998.05
1294,Delaware,1999,Hurricane,20256.23
1294,Chester,1999,Hurricane,0.0
1294,Delaware,1999,Hurricane,115716.98
1294,Delaware,1999,Hurricane,1881.45
1294,Chester,1999,Hurricane,12565.16
1294,Delaware,1999,Hurricane,17975.25
1294,Bucks,1999,Hurricane,20528.72
1294,Delaware,1999,Hurricane,1683.28
1294,Delaware,1999,Hurricane,100210.8
1289,McKean,1999,Severe Storm(s),47211.67
1294,Delaware,1999,Hurricane,22034.87
1294,Delaware,1999,Hurricane,3030.52
1294,Delaware,1999,Hurricane,107379.84
1294,Bucks,1999,Hurricane,7385.23
1294,Bucks,1999,Hurricane,115218.24
1294,Delaware,1999,Hurricane,10324.07
1294,Chester,1999,Hurricane,34946.12
1294,Montgomery,1999,Hurricane,1875.0
1294,Delaware,1999,Hurricane,93006.91
1294,Delaware,1999,Hurricane,53399.25
1294,Chester,1999,Hurricane,11445.14
1294,Chester,1999,Hurricane,3063.53
1294,Delaware,1999,Hurricane,4201.58
1294,Montgomery,1999,Hurricane,4882.62
1294,Chester,1999,Hurricane,29595.78
1294,Lancaster,1999,Hurricane,785.31
1294,Chester,1999,Hurricane,73646.5
1294,Bucks,1999,Hurricane,5794.06
1294,Chester,1999,Hurricane,952.83
1294,Chester,1999,Hurricane,16578.61
1294,Bucks,1999,Hurricane,24560.32
1294,Chester,1999,Hurricane,3732.0
1294,Delaware,1999,Hurricane,29193.57
1294,Chester,1999,Hurricane,20580.36
1294,Delaware,1999,Hurricane,41476.19
1294,Delaware,1999,Hurricane,31028.97
1294,Montgomery,1999,Hurricane,55.13
1294,Bucks,1999,Hurricane,2761.87
1294,Delaware,1999,Hurricane,1465.75
1294,Bucks,1999,Hurricane,63545.29
1294,Bucks,1999,Hurricane,3215.21
1294,Chester,1999,Hurricane,0.0
1294,Delaware,1999,Hurricane,207136.75
1294,Montgomery,1999,Hurricane,33701.08
1294,Lancaster,1999,Hurricane,4819.28
1294,Delaware,1999,Hurricane,8645.26
1294,Chester,1999,Hurricane,1081.05
1294,Delaware,1999,Hurricane,925942.72
1294,Chester,1999,Hurricane,5415.0
1294,Delaware,1999,Hurricane,3845.21
1294,Delaware,1999,Hurricane,17973.85
1294,Montgomery,1999,Hurricane,22791.44
1289,McKean,1999,Severe Storm(s),10405.13
1294,Bucks,1999,Hurricane,10730.68
1294,Montgomery,1999,Hurricane,16663.03
1294,Montgomery,1999,Hurricane,2081.25
