disasterNumber,county,year,incidentType,amountOblig
1247,nan,1998,Hurricane,86693.49
1247,nan,1998,Hurricane,23620.18
1247,nan,1998,Hurricane,6700497.7
1247,nan,1998,Hurricane,1296112.88
1247,nan,1998,Hurricane,23025.85
1247,nan,1998,Hurricane,152378.73
1247,nan,1998,Hurricane,344306.35
1247,nan,1998,Hurricane,214508.46
1247,nan,1998,Hurricane,824.85
1247,nan,1998,Hurricane,3744.36
1247,nan,1998,Hurricane,27919.8
1247,nan,1998,Hurricane,11461.82
1247,nan,1998,Hurricane,207804.54
1247,nan,1998,Hurricane,556323.27
1247,nan,1998,Hurricane,188100.45
1247,nan,1998,Hurricane,11101.5
1247,nan,1998,Hurricane,2188272.8
1247,nan,1998,Hurricane,31137.78
1247,nan,1998,Hurricane,969938.91
1247,nan,1998,Hurricane,256414.5
1247,nan,1998,Hurricane,3713498.68
1247,nan,1998,Hurricane,510767.46
1247,nan,1998,Hurricane,27705.77
1247,nan,1998,Hurricane,159969.2
1247,nan,1998,Hurricane,3494689.17
1247,nan,1998,Hurricane,2194540.48
1247,nan,1998,Hurricane,293470.21
1247,nan,1998,Hurricane,7487.1
1247,nan,1998,Hurricane,2747243.1
1247,nan,1998,Hurricane,12082.5
1247,nan,1998,Hurricane,9576.9
1247,nan,1998,Hurricane,46003.0
1247,nan,1998,Hurricane,76298.31
1247,nan,1998,Hurricane,913094.96
1247,nan,1998,Hurricane,145806.07
1247,nan,1998,Hurricane,2163102.05
1247,nan,1998,Hurricane,2958.3
1247,nan,1998,Hurricane,2137008.13
1247,nan,1998,Hurricane,1220048.47
1247,nan,1998,Hurricane,0.36
1247,nan,1998,Hurricane,9858.25
1247,nan,1998,Hurricane,17140.5
1247,nan,1998,Hurricane,963439.04
1247,nan,1998,Hurricane,17964.05
1247,nan,1998,Hurricane,79340.05
1247,nan,1998,Hurricane,216718.08
1247,nan,1998,Hurricane,1949422.87
1247,nan,1998,Hurricane,35330.4
1247,nan,1998,Hurricane,39465.77
1247,nan,1998,Hurricane,22100.85
1247,nan,1998,Hurricane,2250.0
1247,nan,1998,Hurricane,1595228.68
1247,nan,1998,Hurricane,83724.11
1247,nan,1998,Hurricane,3208301.57
1247,nan,1998,Hurricane,221496.12
1247,nan,1998,Hurricane,12880.8
1247,nan,1998,Hurricane,872252.32
1247,nan,1998,Hurricane,12935.7
1247,nan,1998,Hurricane,7380.0
1247,nan,1998,Hurricane,21611.61
1247,nan,1998,Hurricane,532798.79
1247,nan,1998,Hurricane,278366.44
1247,nan,1998,Hurricane,6435.0
1247,nan,1998,Hurricane,634.5
1247,nan,1998,Hurricane,310175.52
1247,nan,1998,Hurricane,471140.02
1247,nan,1998,Hurricane,3932236.1
1247,nan,1998,Hurricane,675221.39
1247,nan,1998,Hurricane,10384.2
1247,nan,1998,Hurricane,8100.0
1247,nan,1998,Hurricane,763265.36
1247,nan,1998,Hurricane,40107.73
1247,nan,1998,Hurricane,22787.55
1247,nan,1998,Hurricane,1221910.71
1247,nan,1998,Hurricane,-0.45
1247,nan,1998,Hurricane,0.0
1247,nan,1998,Hurricane,1358706.41
1247,nan,1998,Hurricane,2592.0
1247,nan,1998,Hurricane,36873.09
1247,nan,1998,Hurricane,116550.03
1247,nan,1998,Hurricane,27009.0
1247,nan,1998,Hurricane,18653.74
1247,nan,1998,Hurricane,327437.95
1247,nan,1998,Hurricane,1109508.05
1247,nan,1998,Hurricane,51049.8
1247,nan,1998,Hurricane,2983.73
1247,nan,1998,Hurricane,6575.4
1247,nan,1998,Hurricane,20792.7
1247,nan,1998,Hurricane,19070.1
1247,nan,1998,Hurricane,13548.6
1247,nan,1998,Hurricane,556683.79
1247,nan,1998,Hurricane,2323696.76
1247,nan,1998,Hurricane,-0.31
1247,nan,1998,Hurricane,29557.72
1247,nan,1998,Hurricane,6687018.9
1247,nan,1998,Hurricane,239030.58
1247,nan,1998,Hurricane,4804409.95
1247,nan,1998,Hurricane,4657164.14
1247,nan,1998,Hurricane,68544.65
1247,nan,1998,Hurricane,1393.2
1247,nan,1998,Hurricane,151008.46
1247,nan,1998,Hurricane,nan
1247,nan,1998,Hurricane,5940.0
1247,nan,1998,Hurricane,1588160.76
1247,nan,1998,Hurricane,352.8
1247,nan,1998,Hurricane,6002.43
1247,nan,1998,Hurricane,129264.3
1247,nan,1998,Hurricane,123382.24
1247,nan,1998,Hurricane,179542.87
1247,nan,1998,Hurricane,13280235.01
1247,nan,1998,Hurricane,299939.28
1247,nan,1998,Hurricane,540.0
1247,nan,1998,Hurricane,3579.3
1247,nan,1998,Hurricane,1552614.26
1247,nan,1998,Hurricane,54912.35
1247,nan,1998,Hurricane,39335.4
1247,nan,1998,Hurricane,10169803.5
1247,nan,1998,Hurricane,291504.03
1247,nan,1998,Hurricane,6742009.62
1247,nan,1998,Hurricane,18770.81
1247,nan,1998,Hurricane,715798.84
1247,nan,1998,Hurricane,4500.0
1247,nan,1998,Hurricane,303402.55
1247,nan,1998,Hurricane,267252.39
1247,nan,1998,Hurricane,1136569.49
1247,nan,1998,Hurricane,3600.0
1247,nan,1998,Hurricane,33533.08
1247,nan,1998,Hurricane,646860.61
1247,nan,1998,Hurricane,25038.0
1247,nan,1998,Hurricane,8010.0
1247,nan,1998,Hurricane,3370102.95
1247,nan,1998,Hurricane,553815.25
1247,nan,1998,Hurricane,118469.03
1247,nan,1998,Hurricane,125436.6
1247,nan,1998,Hurricane,382552.35
1247,nan,1998,Hurricane,100940.94
1247,nan,1998,Hurricane,1606616.16
1247,nan,1998,Hurricane,0.0
1247,nan,1998,Hurricane,2858.47
1247,nan,1998,Hurricane,5486151.99
1247,nan,1998,Hurricane,2783844.63
1247,nan,1998,Hurricane,30616.2
1247,nan,1998,Hurricane,39065.06
1247,nan,1998,Hurricane,1359852.64
1247,nan,1998,Hurricane,7087.5
1247,nan,1998,Hurricane,42266.87
1247,nan,1998,Hurricane,468638.08
1247,nan,1998,Hurricane,33807.6
1247,nan,1998,Hurricane,1176.71
1247,nan,1998,Hurricane,20843.15
1247,nan,1998,Hurricane,114081.9
1247,nan,1998,Hurricane,47352.6
1247,nan,1998,Hurricane,0.33
1247,nan,1998,Hurricane,2772.0
1247,nan,1998,Hurricane,-0.18
1247,nan,1998,Hurricane,674264.04
1247,nan,1998,Hurricane,158819.4
1247,nan,1998,Hurricane,984161.34
1247,nan,1998,Hurricane,36061.57
1247,nan,1998,Hurricane,2435023.16
1247,nan,1998,Hurricane,6072.75
1247,nan,1998,Hurricane,0.02
1247,nan,1998,Hurricane,13007.25
1247,nan,1998,Hurricane,2724082.61
1247,nan,1998,Hurricane,23580.84
1247,nan,1998,Hurricane,17416.26
1247,nan,1998,Hurricane,1171.25
1247,nan,1998,Hurricane,4180091.41
1247,nan,1998,Hurricane,185353.25
1247,nan,1998,Hurricane,20115.0
1247,nan,1998,Hurricane,8750.97
1247,nan,1998,Hurricane,48165.03
1247,nan,1998,Hurricane,23753.14
1247,nan,1998,Hurricane,19108.8
1247,nan,1998,Hurricane,94890.69
1247,nan,1998,Hurricane,86581.73
1247,nan,1998,Hurricane,95116.24
1247,nan,1998,Hurricane,0.0
1247,nan,1998,Hurricane,33897.36
1247,nan,1998,Hurricane,326901.62
1247,nan,1998,Hurricane,18522.0
1247,nan,1998,Hurricane,2641764.48
1247,nan,1998,Hurricane,2786977.23
1247,nan,1998,Hurricane,0.18
1247,nan,1998,Hurricane,9180.0
1247,nan,1998,Hurricane,416344.73
1247,nan,1998,Hurricane,1310389.5
1247,nan,1998,Hurricane,-0.21
1247,nan,1998,Hurricane,90593.97
1247,nan,1998,Hurricane,46264.5
1247,nan,1998,Hurricane,nan
1247,nan,1998,Hurricane,3991937.85
1247,nan,1998,Hurricane,24488076.4
1247,nan,1998,Hurricane,46079.87
1247,nan,1998,Hurricane,2830995.91
1247,nan,1998,Hurricane,993374.19
1247,nan,1998,Hurricane,1728085.82
1247,nan,1998,Hurricane,0.0
1247,nan,1998,Hurricane,1434415.25
1247,nan,1998,Hurricane,262814.85
1247,nan,1998,Hurricane,-0.45
1247,nan,1998,Hurricane,1050215.3
1247,nan,1998,Hurricane,5499.19
1247,nan,1998,Hurricane,315950.41
1247,nan,1998,Hurricane,4325.4
1247,nan,1998,Hurricane,26782.77
1247,nan,1998,Hurricane,15336.0
1247,nan,1998,Hurricane,11767570.56
1247,nan,1998,Hurricane,1881.0
1247,nan,1998,Hurricane,2933959.3
1247,nan,1998,Hurricane,18338.83
1247,nan,1998,Hurricane,6700.27
1247,nan,1998,Hurricane,3820710.47
1247,nan,1998,Hurricane,712516.35
1247,nan,1998,Hurricane,8282.03
1247,nan,1998,Hurricane,5210965.5
1247,nan,1998,Hurricane,65915.21
1247,nan,1998,Hurricane,110007.02
1247,nan,1998,Hurricane,179743.71
1247,nan,1998,Hurricane,26382.29
1247,nan,1998,Hurricane,9122560.59
1247,nan,1998,Hurricane,0.32
1247,nan,1998,Hurricane,317628.84
1247,nan,1998,Hurricane,417136.6
1247,nan,1998,Hurricane,5980757.82
1247,nan,1998,Hurricane,0.0
1247,nan,1998,Hurricane,3523661.18
1247,nan,1998,Hurricane,13885.56
1247,nan,1998,Hurricane,1629061.15
1247,nan,1998,Hurricane,0.32
1247,nan,1998,Hurricane,500243.67
1247,nan,1998,Hurricane,27755.21
1247,nan,1998,Hurricane,4462919.71
1247,nan,1998,Hurricane,47818.1
1247,nan,1998,Hurricane,15886.44
1247,nan,1998,Hurricane,76935.42
1247,nan,1998,Hurricane,7324411.49
1247,nan,1998,Hurricane,100075.88
1247,nan,1998,Hurricane,19896.3
1247,nan,1998,Hurricane,27028.8
1247,nan,1998,Hurricane,-180.13
1247,nan,1998,Hurricane,1642088.02
1247,nan,1998,Hurricane,64856.48
1247,nan,1998,Hurricane,1745182.08
1247,nan,1998,Hurricane,3218000.68
1247,nan,1998,Hurricane,1809502.92
1247,nan,1998,Hurricane,31944.17
1247,nan,1998,Hurricane,7727.81
1247,nan,1998,Hurricane,25137.0
1247,nan,1998,Hurricane,4726.38
1247,nan,1998,Hurricane,4253919.29
1247,nan,1998,Hurricane,27801.39
1247,nan,1998,Hurricane,71939.22
1247,nan,1998,Hurricane,111326.4
1247,nan,1998,Hurricane,-1.65
1247,nan,1998,Hurricane,4595933.76
1247,nan,1998,Hurricane,64601.7
1247,nan,1998,Hurricane,1187138.65
1247,nan,1998,Hurricane,42919.71
1247,nan,1998,Hurricane,41857.73
1247,nan,1998,Hurricane,31535.5
1247,nan,1998,Hurricane,25046.24
1247,nan,1998,Hurricane,7557229.54
1247,nan,1998,Hurricane,1665.0
1247,nan,1998,Hurricane,19788.28
1247,nan,1998,Hurricane,131278500.79
1247,nan,1998,Hurricane,0.3
1247,nan,1998,Hurricane,465381.42
1372,Statewide,2001,Severe Storm(s),307213.55
1372,Maricao,2001,Severe Storm(s),39279.83
1372,Statewide,2001,Severe Storm(s),5760.08
1372,Lares,2001,Severe Storm(s),150922.73
1372,Anasco,2001,Severe Storm(s),53963.88
1372,Las Marias,2001,Severe Storm(s),75095.48
1372,San German,2001,Severe Storm(s),66347.2
1372,Rincon,2001,Severe Storm(s),20211.68
1372,Yauco,2001,Severe Storm(s),1613334.7
1372,Statewide,2001,Severe Storm(s),321853.94
1372,Statewide,2001,Severe Storm(s),18750.0
1372,Hormigueros,2001,Severe Storm(s),38684.66
1372,Statewide,2001,Severe Storm(s),0.0
1372,Moca,2001,Severe Storm(s),28643.02
1372,Adjuntas,2001,Severe Storm(s),442088.59
1372,Statewide,2001,Severe Storm(s),1649.7
1372,Statewide,2001,Severe Storm(s),153308.06
1372,Guayanilla,2001,Severe Storm(s),208999.32
1372,Statewide,2001,Severe Storm(s),107713.3
1372,Lajas,2001,Severe Storm(s),218771.79
1372,Statewide,2001,Severe Storm(s),21881.25
1372,Guanica,2001,Severe Storm(s),150969.87
1372,Statewide,2001,Severe Storm(s),572165.39
1372,Sabana Grande,2001,Severe Storm(s),59209.53
1372,Cabo Rojo,2001,Severe Storm(s),114698.78
1372,Statewide,2001,Severe Storm(s),176576.6
1396,Aguas Buenas,2001,Severe Storm(s),441264.45
1396,San Lorenzo,2001,Severe Storm(s),256250.0
1396,Barranquitas,2001,Severe Storm(s),120657.98
1396,Ciales,2001,Severe Storm(s),140026.08
1396,Statewide,2001,Severe Storm(s),9552.23
1396,Utuado,2001,Severe Storm(s),511406.56
1396,Statewide,2001,Severe Storm(s),225773.94
1396,Statewide,2001,Severe Storm(s),618949.47
1396,Vega Alta,2001,Severe Storm(s),36615.33
1396,Bayamon,2001,Severe Storm(s),401251.47
1396,Juncos,2001,Severe Storm(s),144325.47
1396,Orocovis,2001,Severe Storm(s),549701.5
1396,Statewide,2001,Severe Storm(s),301547.64
1396,Corozal,2001,Severe Storm(s),119234.85
1396,Naranjito,2001,Severe Storm(s),193243.22
1396,Statewide,2001,Severe Storm(s),255592.71
1396,Statewide,2001,Severe Storm(s),58421.05
1396,Jayuya,2001,Severe Storm(s),95847.34
1396,Morovis,2001,Severe Storm(s),43180.38
1396,Statewide,2001,Severe Storm(s),152518.71
1501,Rio Grande,2003,Severe Storm(s),222732.42
1501,Juncos,2003,Severe Storm(s),177748.3
1501,Guayama,2003,Severe Storm(s),343377.48
1501,Coamo,2003,Severe Storm(s),242608.64
1501,Patillas,2003,Severe Storm(s),2276.4
1501,Luquillo,2003,Severe Storm(s),120529.47
1501,Sabana Grande,2003,Severe Storm(s),55153.21
1501,Guanica,2003,Severe Storm(s),173223.67
1501,Lajas,2003,Severe Storm(s),93205.4
1501,Maunabo,2003,Severe Storm(s),232516.68
1501,Cayey,2003,Severe Storm(s),194569.35
1501,Culebra,2003,Severe Storm(s),121612.77
1501,Ceiba,2003,Severe Storm(s),46574.79
1501,Statewide,2003,Severe Storm(s),568944.31
1501,San Lorenzo,2003,Severe Storm(s),248411.45
1501,Patillas,2003,Severe Storm(s),125718.93
1501,Statewide,2003,Severe Storm(s),241007.76
1501,Yabucoa,2003,Severe Storm(s),477100.29
1501,Utuado,2003,Severe Storm(s),704000.02
1501,Yauco,2003,Severe Storm(s),508229.18
1501,Statewide,2003,Severe Storm(s),52788.07
1501,Statewide,2003,Severe Storm(s),573012.63
1501,Statewide,2003,Severe Storm(s),329791.59
1501,San German,2003,Severe Storm(s),176398.49
1501,Salinas,2003,Severe Storm(s),11500.5
1501,Statewide,2003,Severe Storm(s),107651.26
1501,Naguabo,2003,Severe Storm(s),142763.1
1501,Statewide,2003,Severe Storm(s),158809.34
1501,Statewide,2003,Severe Storm(s),54557.61
1501,Statewide,2003,Severe Storm(s),276231.55
1501,Vieques,2003,Severe Storm(s),87306.51
1552,Aibonito,2004,Severe Storm(s),204501.32
1552,Juncos,2004,Severe Storm(s),67700.0
1552,Orocovis,2004,Severe Storm(s),301545.46
1552,Fajardo,2004,Severe Storm(s),361788.73
1552,Manati,2004,Severe Storm(s),41550.47
1552,Guanica,2004,Severe Storm(s),9617.61
1552,Aguada,2004,Severe Storm(s),809906.98
1552,Quebradillas,2004,Severe Storm(s),741120.76
1552,Corozal,2004,Severe Storm(s),93680.33
1552,Humacao,2004,Severe Storm(s),112060.42
1552,Arecibo,2004,Severe Storm(s),43439.9
1552,Lares,2004,Severe Storm(s),0.0
1552,Lajas,2004,Severe Storm(s),3002.04
1552,Maunabo,2004,Severe Storm(s),412372.36
1552,Comerio,2004,Severe Storm(s),179457.54
1552,Las Piedras,2004,Severe Storm(s),352701.08
1552,Florida,2004,Severe Storm(s),5686.23
1552,Gurabo,2004,Severe Storm(s),137070.41
1552,Jayuya,2004,Severe Storm(s),212251.22
1552,Cayey,2004,Severe Storm(s),321773.37
1552,Cidra,2004,Severe Storm(s),216781.38
1552,Arroyo,2004,Severe Storm(s),188378.74
1552,Luquillo,2004,Severe Storm(s),71101.21
1552,Ponce,2004,Severe Storm(s),71535.24
1552,Culebra,2004,Severe Storm(s),48301.83
1552,Guayanilla,2004,Severe Storm(s),5869.0
1552,Aguadilla,2004,Severe Storm(s),4584.65
1552,Guaynabo,2004,Severe Storm(s),225259.81
1552,Rincon,2004,Severe Storm(s),217690.25
1552,Aguas Buenas,2004,Severe Storm(s),3924.75
1552,Maricao,2004,Severe Storm(s),263272.73
1552,Aguas Buenas,2004,Severe Storm(s),300270.7
1552,Camuy,2004,Severe Storm(s),233500.52
1552,Isabela,2004,Severe Storm(s),54638.06
1552,Caguas,2004,Severe Storm(s),893488.07
1552,Ciales,2004,Severe Storm(s),100953.6
1552,Hormigueros,2004,Severe Storm(s),9810.41
1552,Coamo,2004,Severe Storm(s),17737.95
1552,Naranjito,2004,Severe Storm(s),55076.3
1552,Bayamon,2004,Severe Storm(s),253192.75
1552,Penuelas,2004,Severe Storm(s),13810.51
1552,Moca,2004,Severe Storm(s),4088.54
1552,Canovanas,2004,Severe Storm(s),80282.78
1552,Barceloneta,2004,Severe Storm(s),240175.17
1552,Mayaguez,2004,Severe Storm(s),90327.76
1552,Carolina,2004,Severe Storm(s),159455.02
1552,Aguas Buenas,2004,Severe Storm(s),2426.03
1552,Morovis,2004,Severe Storm(s),33182.19
1552,Anasco,2004,Severe Storm(s),133775.44
1552,Dorado,2004,Severe Storm(s),82123.68
1552,Las Marias,2004,Severe Storm(s),133380.42
1552,Patillas,2004,Severe Storm(s),147395.14
1552,Bayamon,2004,Severe Storm(s),0.0
1552,Juana Diaz,2004,Severe Storm(s),113525.47
1552,Adjuntas,2004,Severe Storm(s),209340.08
1552,Cabo Rojo,2004,Severe Storm(s),14383.77
1552,Loiza,2004,Severe Storm(s),292627.18
1552,San Sebastian,2004,Severe Storm(s),114873.59
1552,Vega Alta,2004,Severe Storm(s),204429.49
1552,Statewide,2004,Severe Storm(s),35081.54
1552,Statewide,2004,Severe Storm(s),1077469.8
1552,Statewide,2004,Severe Storm(s),218403.17
1552,Santa Isabel,2004,Severe Storm(s),66044.11
1552,Statewide,2004,Severe Storm(s),56465.21
1552,Villalba,2004,Severe Storm(s),61474.2
1552,Rio Grande,2004,Severe Storm(s),20994.23
1552,Statewide,2004,Severe Storm(s),28215.84
1552,Statewide,2004,Severe Storm(s),0.0
1552,Hatillo,2004,Severe Storm(s),470021.0
1552,Sabana Grande,2004,Severe Storm(s),11821.54
1552,Statewide,2004,Severe Storm(s),97704.61
1552,Catano,2004,Severe Storm(s),750540.68
1552,Utuado,2004,Severe Storm(s),355651.11
1552,Statewide,2004,Severe Storm(s),1485026.83
1552,Vieques,2004,Severe Storm(s),145064.34
1552,Statewide,2004,Severe Storm(s),1808465.03
1552,Vega Baja,2004,Severe Storm(s),16323.46
1552,Statewide,2004,Severe Storm(s),12039524.12
1552,Statewide,2004,Severe Storm(s),0.0
1552,Statewide,2004,Severe Storm(s),153614.45
1552,San Juan,2004,Severe Storm(s),771637.1
1552,Statewide,2004,Severe Storm(s),25414.5
1552,Yabucoa,2004,Severe Storm(s),796363.39
1552,Trujillo Alto,2004,Severe Storm(s),68218.28
1552,Statewide,2004,Severe Storm(s),2731434.04
1552,Statewide,2004,Severe Storm(s),14902.35
1552,Yabucoa,2004,Severe Storm(s),5557.5
