disasterNumber,county,declarationDate,incidentType,amountOblig
1704,Newport,2007-05-25T00:00:00.000Z,Severe Storm(s),10399.08
1704,Newport,2007-05-25T00:00:00.000Z,Severe Storm(s),1596.73
1704,Statewide,2007-05-25T00:00:00.000Z,Severe Storm(s),-12523.5
1704,Newport,2007-05-25T00:00:00.000Z,Severe Storm(s),16272.03
1704,Newport,2007-05-25T00:00:00.000Z,Severe Storm(s),4045.22
1704,Newport,2007-05-25T00:00:00.000Z,Severe Storm(s),522744.36
1704,Newport,2007-05-25T00:00:00.000Z,Severe Storm(s),14325.98
1704,Statewide,2007-05-25T00:00:00.000Z,Severe Storm(s),5814.04
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),1646.56
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),1295920.23
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),551991.23
1894,Bristol,2010-03-29T00:00:00.000Z,Severe Storm(s),145484.11
1894,Bristol,2010-03-29T00:00:00.000Z,Severe Storm(s),156711.72
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),10384619.58
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),910393.0
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),18434.54
1894,Bristol,2010-03-29T00:00:00.000Z,Severe Storm(s),118532.75
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),421771.12
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),125973.14
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),182006.22
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),2348.69
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),18991.16
1894,Bristol,2010-03-29T00:00:00.000Z,Severe Storm(s),900.0
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),1157.93
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),47374.31
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),6511.39
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),23394.56
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),1484.77
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),4903.49
1894,Newport,2010-03-29T00:00:00.000Z,Severe Storm(s),8836.75
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),31705.2
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),3632.79
1894,Kent,2010-03-29T00:00:00.000Z,Severe Storm(s),18995.87
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),22670.44
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),1311353.08
1894,Washington,2010-03-29T00:00:00.000Z,Severe Storm(s),5175.0
1894,Washington,2010-03-29T00:00:00.000Z,Severe Storm(s),4525.26
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),36645.2
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),1055215.71
1894,Washington,2010-03-29T00:00:00.000Z,Severe Storm(s),440916.3
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),1095046.49
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),127405.86
1894,Washington,2010-03-29T00:00:00.000Z,Severe Storm(s),109996.04
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),533554.36
1894,Washington,2010-03-29T00:00:00.000Z,Severe Storm(s),5925.66
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),27017.08
1894,Washington,2010-03-29T00:00:00.000Z,Severe Storm(s),58613.9
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),135431.95
1894,Providence,2010-03-29T00:00:00.000Z,Severe Storm(s),250333.21
1894,Statewide,2010-03-29T00:00:00.000Z,Severe Storm(s),70866.92
1894,Washington,2010-03-29T00:00:00.000Z,Severe Storm(s),28917.18
