disasterNumber,county,year,incidentType,amountOblig
1243,nan,1998,Hurricane,23763.38
1243,nan,1998,Hurricane,6123.75
1243,nan,1998,Hurricane,676260.0
1243,nan,1998,Hurricane,5071.5
1243,nan,1998,Hurricane,824226.75
1243,nan,1998,Hurricane,52392.0
1243,nan,1998,Hurricane,42645.75
1243,nan,1998,Hurricane,13017.75
1243,nan,1998,Hurricane,6409.5
1243,nan,1998,Hurricane,12144.75
1243,nan,1998,Hurricane,377795.25
1243,nan,1998,Hurricane,36754.5
1243,nan,1998,Hurricane,14475.0
1243,nan,1998,Hurricane,4903.5
1243,nan,1998,Hurricane,2312.4
1243,nan,1998,Hurricane,37161.0
1243,nan,1998,Hurricane,286895.62
1243,nan,1998,Hurricane,20709.75
1243,nan,1998,Hurricane,46315.5
1243,nan,1998,Hurricane,11667.0
1243,nan,1998,Hurricane,66543.0
1243,nan,1998,Hurricane,6655.5
1243,nan,1998,Hurricane,4471.21
1243,nan,1998,Hurricane,437184.0
1243,nan,1998,Hurricane,188172.75
1243,nan,1998,Hurricane,18417.75
1299,Beaufort,1999,Hurricane,11436.64
1299,Beaufort,1999,Hurricane,79553.86
1299,Bamberg,1999,Hurricane,1466.69
1299,Beaufort,1999,Hurricane,20656.7
1299,Barnwell,1999,Hurricane,9690.26
1299,Beaufort,1999,Hurricane,16978.58
1299,Bamberg,1999,Hurricane,1045.41
1299,Beaufort,1999,Hurricane,8160.59
1299,Beaufort,1999,Hurricane,20373.51
1299,Beaufort,1999,Hurricane,355049.69
1299,Beaufort,1999,Hurricane,6513.92
1299,Beaufort,1999,Hurricane,65429.07
1299,Lee,1999,Hurricane,3241.5
1299,Dorchester,1999,Hurricane,16240.76
1299,Charleston,1999,Hurricane,2316.68
1299,Colleton,1999,Hurricane,52511.2
1299,Richland,1999,Hurricane,12311.15
1299,Horry,1999,Hurricane,17168.57
1299,Charleston,1999,Hurricane,89400.23
1299,Darlington,1999,Hurricane,219278.77
1299,Statewide,1999,Hurricane,31550.63
1299,Charleston,1999,Hurricane,1085964.71
1299,Hampton,1999,Hurricane,963.3
1299,Statewide,1999,Hurricane,2817.92
1299,Clarendon,1999,Hurricane,37433.25
1299,Hampton,1999,Hurricane,18352.46
1299,Colleton,1999,Hurricane,19340.84
1299,Jasper,1999,Hurricane,7060.94
1299,Horry,1999,Hurricane,32394.75
1299,Charleston,1999,Hurricane,11667.75
1299,Horry,1999,Hurricane,337.5
1299,Charleston,1999,Hurricane,35400.0
1299,Charleston,1999,Hurricane,2162.0
1299,Berkeley,1999,Hurricane,25725.45
1299,Charleston,1999,Hurricane,8636.12
1299,Dorchester,1999,Hurricane,60505.86
1299,Horry,1999,Hurricane,175883.59
1299,Statewide,1999,Hurricane,96857.27
1299,Charleston,1999,Hurricane,20727.48
1299,Horry,1999,Hurricane,4370.23
1299,Hampton,1999,Hurricane,2983.97
1299,Statewide,1999,Hurricane,1947527.63
1299,Lexington,1999,Hurricane,5126.13
1299,Marion,1999,Hurricane,16926.19
1299,Charleston,1999,Hurricane,8250.0
1299,Lee,1999,Hurricane,2021.25
1299,Charleston,1999,Hurricane,26211.95
1299,Charleston,1999,Hurricane,187.5
1299,Charleston,1999,Hurricane,787407.12
1299,Horry,1999,Hurricane,8442.75
1299,Berkeley,1999,Hurricane,3633.79
1299,Charleston,1999,Hurricane,1875.0
1299,Orangeburg,1999,Hurricane,21140.34
1299,Georgetown,1999,Hurricane,606.17
1299,Berkeley,1999,Hurricane,75605.55
1299,Lexington,1999,Hurricane,20793.98
1299,Colleton,1999,Hurricane,2685.0
1299,Florence,1999,Hurricane,6662.25
1299,Charleston,1999,Hurricane,187.5
1299,Dorchester,1999,Hurricane,3172.13
1299,Richland,1999,Hurricane,4241.49
1299,Marlboro,1999,Hurricane,19866.88
1299,Horry,1999,Hurricane,666663.38
1299,Beaufort,1999,Hurricane,3034.18
1299,Dorchester,1999,Hurricane,4154.95
1299,Clarendon,1999,Hurricane,2217.98
