disasterNumber,county,declarationDate,incidentType,amountOblig
1280,Statewide,1999-06-09T00:00:00.000Z,Tornado,19619.99
1280,Oglala Lakota,1999-06-09T00:00:00.000Z,Tornado,438587.27
1280,Oglala Lakota,1999-06-09T00:00:00.000Z,Tornado,129902.68
1280,Statewide,1999-06-09T00:00:00.000Z,Tornado,0.0
1280,Statewide,1999-06-09T00:00:00.000Z,Tornado,45500.65
1280,Statewide,1999-06-09T00:00:00.000Z,Tornado,36500.83
1280,Statewide,1999-06-09T00:00:00.000Z,Tornado,90161.77
1280,Statewide,1999-06-09T00:00:00.000Z,Tornado,0.0
1330,Fall River,2000-05-19T00:00:00.000Z,Severe Storm(s),45402.42
1330,Oglala Lakota,2000-05-19T00:00:00.000Z,Severe Storm(s),148462.66
1330,Pennington,2000-05-19T00:00:00.000Z,Severe Storm(s),198690.66
1330,Statewide,2000-05-19T00:00:00.000Z,Severe Storm(s),11918.79
1330,Statewide,2000-05-19T00:00:00.000Z,Severe Storm(s),38763.0
1330,Statewide,2000-05-19T00:00:00.000Z,Severe Storm(s),11760.97
1330,Pennington,2000-05-19T00:00:00.000Z,Severe Storm(s),2755.5
1330,Pennington,2000-05-19T00:00:00.000Z,Severe Storm(s),2052.83
1330,Fall River,2000-05-19T00:00:00.000Z,Severe Storm(s),13310.42
1330,Pennington,2000-05-19T00:00:00.000Z,Severe Storm(s),38459.61
1330,Statewide,2000-05-19T00:00:00.000Z,Severe Storm(s),8772.71
1330,Custer,2000-05-19T00:00:00.000Z,Severe Storm(s),1128366.07
1330,Custer,2000-05-19T00:00:00.000Z,Severe Storm(s),3363.03
1330,Pennington,2000-05-19T00:00:00.000Z,Severe Storm(s),37034.71
1330,Fall River,2000-05-19T00:00:00.000Z,Severe Storm(s),16078.29
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,147846.05
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,2192.78
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,2268.75
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,1806.05
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,24253.91
1375,Brown,2001-05-17T00:00:00.000Z,Flood,3788.2
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,8150.07
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,5446.13
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,3001.88
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,4746.26
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,2620.88
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,3956.35
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,2691.0
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,4464.0
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,8895.98
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,11804.99
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,6209.25
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,2631.03
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,11328.04
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,11302.2
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,3315.83
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,1780.28
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,16835.59
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,3862.64
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,4549.58
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,16196.88
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,42823.64
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,7882.89
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,1980.75
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,13393.22
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,5563.5
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,1340.29
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,11996.74
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,18121.13
1375,Brown,2001-05-17T00:00:00.000Z,Flood,8232.8
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,1045.31
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,5988.37
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,4806.76
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,5688.76
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,4591.13
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,10367.63
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,11956.07
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,1977.75
1375,Brown,2001-05-17T00:00:00.000Z,Flood,3008.25
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,8184.9
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,5773.69
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,8052.15
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,11149.03
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,3086.43
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,2196.0
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,5558.25
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,2366.7
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,14862.91
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,12043.5
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,2257.5
1375,Brookings,2001-05-17T00:00:00.000Z,Flood,6986.34
1375,Beadle,2001-05-17T00:00:00.000Z,Flood,3164.25
1375,Edmunds,2001-05-17T00:00:00.000Z,Flood,0.0
1375,Day,2001-05-17T00:00:00.000Z,Flood,8296.25
1375,Edmunds,2001-05-17T00:00:00.000Z,Flood,6639.38
1375,Brown,2001-05-17T00:00:00.000Z,Flood,15143.28
1375,Brown,2001-05-17T00:00:00.000Z,Flood,13910.25
1375,Edmunds,2001-05-17T00:00:00.000Z,Flood,3095.45
1375,Clark,2001-05-17T00:00:00.000Z,Flood,6232.35
