disasterNumber,county,declarationDate,incidentType,amountOblig
1260,Monroe,1999-01-15T00:00:00.000Z,Severe Storm(s),30357.0
1275,Statewide,1999-05-12T00:00:00.000Z,Severe Storm(s),31317.0
1260,Lawrence,1999-01-15T00:00:00.000Z,Severe Storm(s),1156.5
1275,Statewide,1999-05-12T00:00:00.000Z,Severe Storm(s),46402.35
1262,Dickson,1999-01-19T00:00:00.000Z,Severe Storm(s),8108.25
1260,Statewide,1999-01-15T00:00:00.000Z,Severe Storm(s),39940.5
1262,Statewide,1999-01-19T00:00:00.000Z,Severe Storm(s),0.0
1260,Lewis,1999-01-15T00:00:00.000Z,Severe Storm(s),12251.19
1260,Franklin,1999-01-15T00:00:00.000Z,Severe Storm(s),7419.9
1260,Anderson,1999-01-15T00:00:00.000Z,Severe Storm(s),14439.0
1260,Hamilton,1999-01-15T00:00:00.000Z,Severe Storm(s),6492.75
1260,Claiborne,1999-01-15T00:00:00.000Z,Severe Storm(s),0.0
1275,Williamson,1999-05-12T00:00:00.000Z,Severe Storm(s),75755.96
1262,Stewart,1999-01-19T00:00:00.000Z,Severe Storm(s),12299.49
1275,Williamson,1999-05-12T00:00:00.000Z,Severe Storm(s),16905.75
1262,Maury,1999-01-19T00:00:00.000Z,Severe Storm(s),24943.5
1262,Statewide,1999-01-19T00:00:00.000Z,Severe Storm(s),124873.28
1260,Franklin,1999-01-15T00:00:00.000Z,Severe Storm(s),39471.74
1262,Madison,1999-01-19T00:00:00.000Z,Severe Storm(s),1102858.88
1260,Franklin,1999-01-15T00:00:00.000Z,Severe Storm(s),44482.76
1275,Statewide,1999-05-12T00:00:00.000Z,Severe Storm(s),313575.96
1275,Perry,1999-05-12T00:00:00.000Z,Severe Storm(s),30281.03
1260,Statewide,1999-01-15T00:00:00.000Z,Severe Storm(s),204388.5
1262,Statewide,1999-01-19T00:00:00.000Z,Severe Storm(s),119145.78
1260,Lincoln,1999-01-15T00:00:00.000Z,Severe Storm(s),84322.72
1260,Statewide,1999-01-15T00:00:00.000Z,Severe Storm(s),29889.0
