disasterNumber,county,declarationDate,incidentType,amountOblig
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),12028.63
1239,Kimble,1998-08-26T00:00:00.000Z,Severe Storm(s),2850.0
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),56311.18
1239,Maverick,1998-08-26T00:00:00.000Z,Severe Storm(s),4658.78
1239,Kinney,1998-08-26T00:00:00.000Z,Severe Storm(s),5016.0
1239,Webb,1998-08-26T00:00:00.000Z,Severe Storm(s),26366.14
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),20486.25
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),692215.5
1239,Maverick,1998-08-26T00:00:00.000Z,Severe Storm(s),260653.76
1239,Uvalde,1998-08-26T00:00:00.000Z,Severe Storm(s),221864.82
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),24417.29
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),288712.26
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),8431.88
1239,Kimble,1998-08-26T00:00:00.000Z,Severe Storm(s),69933.35
1239,Real,1998-08-26T00:00:00.000Z,Severe Storm(s),12302.48
1239,Webb,1998-08-26T00:00:00.000Z,Severe Storm(s),11550.0
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),86180.25
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),27863.96
1239,Kinney,1998-08-26T00:00:00.000Z,Severe Storm(s),248569.77
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),0.0
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),14042.09
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),108959.15
1239,Maverick,1998-08-26T00:00:00.000Z,Severe Storm(s),8837.25
1239,Webb,1998-08-26T00:00:00.000Z,Severe Storm(s),338959.37
1239,Uvalde,1998-08-26T00:00:00.000Z,Severe Storm(s),12790.91
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),355269.77
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),5631.75
1239,Kinney,1998-08-26T00:00:00.000Z,Severe Storm(s),3842.44
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),50810.17
1239,Edwards,1998-08-26T00:00:00.000Z,Severe Storm(s),352427.09
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),23875.08
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),2461159.68
1239,Kimble,1998-08-26T00:00:00.000Z,Severe Storm(s),6234.9
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),43200.29
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),15402.38
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),1482989.85
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),240463.45
1239,Webb,1998-08-26T00:00:00.000Z,Severe Storm(s),8047.54
1239,Real,1998-08-26T00:00:00.000Z,Severe Storm(s),283369.22
1239,Statewide,1998-08-26T00:00:00.000Z,Severe Storm(s),43564.74
1239,Val Verde,1998-08-26T00:00:00.000Z,Severe Storm(s),10080.42
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),91860.34
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),91931.48
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),15300.9
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),291136.47
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),56124.5
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),63084.0
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),2031.0
1257,Bexar,1998-10-21T00:00:00.000Z,Flood,0.0
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),4593.75
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),9597.0
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),202428.0
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),267675.76
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),8155.73
1257,Harris,1998-10-21T00:00:00.000Z,Flood,0.0
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),11905.5
1257,Wilson,1998-10-21T00:00:00.000Z,Flood,1156.5
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),2664385.41
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),4463.15
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),134721.59
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),42340.2
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),12279.16
1257,Bexar,1998-10-21T00:00:00.000Z,Flood,7888.46
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),12834.31
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),63500.95
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),112600.03
1257,Bexar,1998-10-21T00:00:00.000Z,Flood,2113.5
1257,San Patricio,1998-10-21T00:00:00.000Z,Flood,19212.17
1257,Bexar,1998-10-21T00:00:00.000Z,Flood,11542.87
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),92299.94
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),1500.0
1257,Statewide,1998-10-21T00:00:00.000Z,Flood,217625.76
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),230214.41
1245,nan,1998-09-23T00:00:00.000Z,Severe Storm(s),882860.96
