disasterNumber,county,year,incidentType,amountOblig
1285,Statewide,1999,Tornado,91657.23
1285,Salt Lake,1999,Tornado,361791.41
1285,Salt Lake,1999,Tornado,2128.91
1285,Statewide,1999,Tornado,11811.31
1285,Salt Lake,1999,Tornado,14520.89
1285,Statewide,1999,Tornado,4386.21
1285,Statewide,1999,Tornado,11087.44
1576,Kane,2005,Severe Storm(s),8057.36
1576,Washington,2005,Severe Storm(s),383270.9
1576,Washington,2005,Severe Storm(s),75420.72
1576,Washington,2005,Severe Storm(s),8441.63
1576,Kane,2005,Severe Storm(s),20856.31
1576,Washington,2005,Severe Storm(s),4146124.32
1576,Washington,2005,Severe Storm(s),41608.29
1576,Washington,2005,Severe Storm(s),811377.3
1576,Washington,2005,Severe Storm(s),3362.4
1576,Washington,2005,Severe Storm(s),18934.14
1576,Washington,2005,Severe Storm(s),6367.05
1576,Washington,2005,Severe Storm(s),902714.47
1576,Washington,2005,Severe Storm(s),6808.79
1576,Washington,2005,Severe Storm(s),19177.14
1576,Statewide,2005,Severe Storm(s),37852.16
1598,Wasatch,2005,Flood,72361.44
1598,Iron,2005,Flood,255396.15
1598,Uintah,2005,Flood,153215.62
1598,Beaver,2005,Flood,411087.93
1598,Tooele,2005,Flood,8897.18
1598,Tooele,2005,Flood,1726.58
1598,Uintah,2005,Flood,0.0
1598,Statewide,2005,Flood,15645.0
1598,Statewide,2005,Flood,211251.28
1598,Kane,2005,Flood,52037.51
1598,Statewide,2005,Flood,33495.86
1598,Uintah,2005,Flood,16574.25
1598,Box Elder,2005,Flood,9581.1
1598,Box Elder,2005,Flood,26327.2
1598,Tooele,2005,Flood,47852.55
1598,Tooele,2005,Flood,0.0
1598,Iron,2005,Flood,35312.27
1598,Wasatch,2005,Flood,0.0
1598,Tooele,2005,Flood,25547.4
1598,Tooele,2005,Flood,89461.56
1598,Iron,2005,Flood,136792.76
1598,Statewide,2005,Flood,11572.68
1598,Box Elder,2005,Flood,12289.82
1598,Beaver,2005,Flood,0.0
1598,Box Elder,2005,Flood,3868.25
1598,Statewide,2005,Flood,8374.42
1598,Sevier,2005,Flood,142058.99
1598,Uintah,2005,Flood,7782.0
1598,Sevier,2005,Flood,0.0
1598,Kane,2005,Flood,34508.25
1598,Box Elder,2005,Flood,76690.49
1955,Washington,2011,Flood,3277562.67
1955,Kane,2011,Flood,21420.8
1955,Washington,2011,Flood,20977.31
1955,Kane,2011,Flood,72226.99
1955,Garfield,2011,Flood,59331.15
1955,Washington,2011,Flood,26791.07
1955,Statewide,2011,Flood,249372.12
1955,Washington,2011,Flood,897550.26
1955,Statewide,2011,Flood,51783.11
1955,Kane,2011,Flood,89425.69
1955,Kane,2011,Flood,14095.69
1955,Washington,2011,Flood,17405.25
1955,Kane,2011,Flood,28760.17
1955,Washington,2011,Flood,8620.68
1955,Washington,2011,Flood,223898.48
1955,Washington,2011,Flood,2745348.85
1955,Statewide,2011,Flood,824303.21
1955,Washington,2011,Flood,43037.63
1955,Kane,2011,Flood,18106.82
1955,Washington,2011,Flood,11324.55
3223,Statewide,2005,Coastal Storm,32064.45
3223,Salt Lake,2005,Coastal Storm,11771.65
3223,Statewide,2005,Coastal Storm,68014.0
3223,Statewide,2005,Coastal Storm,50231.35
3223,Statewide,2005,Coastal Storm,12394.59
3223,Statewide,2005,Coastal Storm,62204.24
3223,Statewide,2005,Coastal Storm,17920.98
3223,Statewide,2005,Coastal Storm,12288.38
3223,Statewide,2005,Coastal Storm,1168273.94
3223,Statewide,2005,Coastal Storm,328118.13
3223,Statewide,2005,Coastal Storm,26222.08
3223,Statewide,2005,Coastal Storm,18932.05
3223,Utah,2005,Coastal Storm,4023.74
3223,Statewide,2005,Coastal Storm,49325.88
3223,Statewide,2005,Coastal Storm,268668.02
4011,Morgan,2011,Flood,108943.93
4011,Salt Lake,2011,Flood,747206.98
4011,Cache,2011,Flood,47666.58
4011,Cache,2011,Flood,171001.72
4011,Tooele,2011,Flood,122096.22
4011,Utah,2011,Flood,61035.1
4011,Salt Lake,2011,Flood,342113.95
4011,Box Elder,2011,Flood,92045.85
4011,Sanpete,2011,Flood,112037.74
4011,Sanpete,2011,Flood,84984.38
4011,Salt Lake,2011,Flood,27549.13
4011,Morgan,2011,Flood,48460.41
4011,Utah,2011,Flood,92670.34
4011,Weber,2011,Flood,846763.0
4011,Duchesne,2011,Flood,109161.87
4011,Cache,2011,Flood,153468.0
4011,Wasatch,2011,Flood,4583.37
4011,Sevier,2011,Flood,109438.0
4011,Sanpete,2011,Flood,25008.55
4011,Weber,2011,Flood,4475.73
4011,Wasatch,2011,Flood,8120.92
4011,Duchesne,2011,Flood,5958.65
4011,Tooele,2011,Flood,18829.32
4011,Statewide,2011,Flood,267498.17
4011,Weber,2011,Flood,396407.69
4011,Statewide,2011,Flood,33092.27
4011,Piute,2011,Flood,23597.48
4011,Statewide,2011,Flood,143838.49
4011,Davis,2011,Flood,752950.83
4011,Salt Lake,2011,Flood,18716.42
4011,Utah,2011,Flood,17425.61
4011,Sanpete,2011,Flood,12119.79
4011,Cache,2011,Flood,316757.89
4011,Wasatch,2011,Flood,276921.96
4011,Uintah,2011,Flood,94020.36
4011,Sanpete,2011,Flood,146911.51
4011,Statewide,2011,Flood,173356.22
4011,Duchesne,2011,Flood,7749.38
4011,Utah,2011,Flood,10537.59
4011,Summit,2011,Flood,7213.93
4011,Wasatch,2011,Flood,186154.63
4011,Statewide,2011,Flood,145368.84
4011,Statewide,2011,Flood,141347.65
4011,Salt Lake,2011,Flood,33461.77
4011,Duchesne,2011,Flood,55454.48
4011,Summit,2011,Flood,18488.45
4011,Summit,2011,Flood,4892.44
4011,Summit,2011,Flood,36596.18
4011,Weber,2011,Flood,26279.64
4011,Emery,2011,Flood,109590.25
4011,Salt Lake,2011,Flood,24776.29
4011,Utah,2011,Flood,157754.4
4011,Wasatch,2011,Flood,6288.32
4011,Utah,2011,Flood,185054.15
4011,Daggett,2011,Flood,7661.48
4011,Weber,2011,Flood,78861.01
4011,Wasatch,2011,Flood,23948.36
4011,Utah,2011,Flood,17151.31
4011,Weber,2011,Flood,310153.55
4011,Millard,2011,Flood,46297.96
4011,Weber,2011,Flood,10057.94
4011,Beaver,2011,Flood,70395.09
4053,Statewide,2012,Severe Storm(s),91730.14
4053,Davis,2012,Severe Storm(s),88072.38
4053,Davis,2012,Severe Storm(s),106370.39
4053,Davis,2012,Severe Storm(s),6413.24
4053,Davis,2012,Severe Storm(s),982313.3
4053,Davis,2012,Severe Storm(s),219959.15
4053,Statewide,2012,Severe Storm(s),111405.74
4053,Davis,2012,Severe Storm(s),93007.19
4053,Statewide,2012,Severe Storm(s),128540.48
4053,Davis,2012,Severe Storm(s),453799.26
4053,Statewide,2012,Severe Storm(s),40517.61
4053,Davis,2012,Severe Storm(s),135028.9
4053,Davis,2012,Severe Storm(s),24237.98
4053,Davis,2012,Severe Storm(s),37150.32
4053,Davis,2012,Severe Storm(s),6451.12
4053,Davis,2012,Severe Storm(s),29486.92
4053,Davis,2012,Severe Storm(s),10199.6
4088,Washington,2012,Flood,81118.27
4088,Washington,2012,Flood,216549.21
4088,Statewide,2012,Flood,49020.22
4088,Washington,2012,Flood,1276177.13
4088,Washington,2012,Flood,3325.07
4088,Washington,2012,Flood,13853.46
4088,Washington,2012,Flood,10602.74
4088,Washington,2012,Flood,3150.67
4311,Statewide,2017,Flood,23378.95
4311,Cache,2017,Flood,47581.65
4311,Cache,2017,Flood,7218.38
4311,Cache,2017,Flood,88594.53
4311,Cache,2017,Flood,10899.64
4311,Cache,2017,Flood,27894.15
4311,Box Elder,2017,Flood,14513.71
4311,Cache,2017,Flood,792452.7
4311,Box Elder,2017,Flood,19372.64
4311,Cache,2017,Flood,107124.36
4311,Statewide,2017,Flood,129632.81
4311,Box Elder,2017,Flood,92963.33
4311,Box Elder,2017,Flood,574479.64
4311,Cache,2017,Flood,1419455.62
4311,Box Elder,2017,Flood,27618.05
