disasterNumber,county,declarationDate,incidentType,amountOblig
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,9654.09
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,3645.0
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,98528.37
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,5836.5
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,206182.39
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,100413.59
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,446851.1
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,-0.48
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,23309.77
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,106544.61
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,2205.0
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,47656.45
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,1464540.3
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,9648.77
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,54313.91
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,30276.79
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,0.0
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,20706.63
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,1605.68
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,153949.24
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,75693.6
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,37720.73
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,6347.76
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,10054.94
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,29201.55
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,62904.58
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,944.25
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,1111270.87
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,195414.51
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,5237.87
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,274359.75
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,43147.91
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,8791.2
1248,nan,1998-09-24T00:00:00.000Z,Hurricane,44618.68
1309,Statewide,1999-11-23T00:00:00.000Z,Hurricane,3278.03
1309,Statewide,1999-11-23T00:00:00.000Z,Hurricane,13808.63
1309,Statewide,1999-11-23T00:00:00.000Z,Hurricane,0.0
1309,Statewide,1999-11-23T00:00:00.000Z,Hurricane,5564.7
1309,Statewide,1999-11-23T00:00:00.000Z,Hurricane,0.0
1309,St. Croix,1999-11-23T00:00:00.000Z,Hurricane,17325.0
1309,Statewide,1999-11-23T00:00:00.000Z,Hurricane,1689228.34
1309,Statewide,1999-11-23T00:00:00.000Z,Hurricane,57146.89
