disasterNumber,county,declarationDate,incidentType,amountOblig
1255,nan,1998-10-16T00:00:00.000Z,Mud/Landslide,1184.25
1252,nan,1998-10-05T00:00:00.000Z,Severe Storm(s),1368.0
1252,nan,1998-10-05T00:00:00.000Z,Severe Storm(s),45404.18
1252,nan,1998-10-05T00:00:00.000Z,Severe Storm(s),7556.14
1255,nan,1998-10-16T00:00:00.000Z,Mud/Landslide,65626.5
1252,nan,1998-10-05T00:00:00.000Z,Severe Storm(s),16715.25
1252,nan,1998-10-05T00:00:00.000Z,Severe Storm(s),118046.25
1252,nan,1998-10-05T00:00:00.000Z,Severe Storm(s),54282.0
1255,nan,1998-10-16T00:00:00.000Z,Mud/Landslide,314445.0
1252,nan,1998-10-05T00:00:00.000Z,Severe Storm(s),32076.75
1255,nan,1998-10-16T00:00:00.000Z,Mud/Landslide,3889224.29
1252,nan,1998-10-05T00:00:00.000Z,Severe Storm(s),1262878.34
1255,nan,1998-10-16T00:00:00.000Z,Mud/Landslide,4051.5
1361,Grays Harbor,2001-03-01T00:00:00.000Z,Earthquake,24702.9
1361,Grays Harbor,2001-03-01T00:00:00.000Z,Earthquake,1136.25
1361,Clallam,2001-03-01T00:00:00.000Z,Earthquake,1491.0
1361,Grays Harbor,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,Cowlitz,2001-03-01T00:00:00.000Z,Earthquake,12586.5
1361,Clallam,2001-03-01T00:00:00.000Z,Earthquake,11096.43
1361,Grays Harbor,2001-03-01T00:00:00.000Z,Earthquake,42307.97
1361,Clallam,2001-03-01T00:00:00.000Z,Earthquake,2663.1
1361,Clallam,2001-03-01T00:00:00.000Z,Earthquake,4932.26
1361,Grays Harbor,2001-03-01T00:00:00.000Z,Earthquake,28365.58
1361,Grays Harbor,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,Clallam,2001-03-01T00:00:00.000Z,Earthquake,3750.0
1361,Clallam,2001-03-01T00:00:00.000Z,Earthquake,45530.87
1361,Cowlitz,2001-03-01T00:00:00.000Z,Earthquake,4531.5
1361,Pierce,2001-03-01T00:00:00.000Z,Earthquake,10288.54
1361,King,2001-03-01T00:00:00.000Z,Earthquake,11395.02
1361,Lewis,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,Pacific,2001-03-01T00:00:00.000Z,Earthquake,8719.5
1361,Lewis,2001-03-01T00:00:00.000Z,Earthquake,26046.0
1361,Mason,2001-03-01T00:00:00.000Z,Earthquake,219192.0
1361,Pierce,2001-03-01T00:00:00.000Z,Earthquake,34858.85
1361,King,2001-03-01T00:00:00.000Z,Earthquake,625838.34
1361,Pacific,2001-03-01T00:00:00.000Z,Earthquake,1789.85
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,42251.54
1361,King,2001-03-01T00:00:00.000Z,Earthquake,17333.52
1361,Mason,2001-03-01T00:00:00.000Z,Earthquake,1462.5
1361,King,2001-03-01T00:00:00.000Z,Earthquake,1030446.74
1361,Lewis,2001-03-01T00:00:00.000Z,Earthquake,10344.0
1361,King,2001-03-01T00:00:00.000Z,Earthquake,45711.7
1361,King,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,Mason,2001-03-01T00:00:00.000Z,Earthquake,120762.52
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,10269.36
1361,Pacific,2001-03-01T00:00:00.000Z,Earthquake,33588.75
1361,Mason,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,King,2001-03-01T00:00:00.000Z,Earthquake,103787.02
1361,Grays Harbor,2001-03-01T00:00:00.000Z,Earthquake,7415.74
1361,Pierce,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,Pierce,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,Pierce,2001-03-01T00:00:00.000Z,Earthquake,18750.0
1361,King,2001-03-01T00:00:00.000Z,Earthquake,1707626.24
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,23205.0
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,12300.0
1361,Pacific,2001-03-01T00:00:00.000Z,Earthquake,5238.19
1361,Pierce,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,Mason,2001-03-01T00:00:00.000Z,Earthquake,4286.08
1361,Lewis,2001-03-01T00:00:00.000Z,Earthquake,16316.25
1361,King,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,King,2001-03-01T00:00:00.000Z,Earthquake,3693.83
1361,King,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,King,2001-03-01T00:00:00.000Z,Earthquake,147502.16
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,King,2001-03-01T00:00:00.000Z,Earthquake,2728.44
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,19700.25
1361,King,2001-03-01T00:00:00.000Z,Earthquake,15086.14
1361,King,2001-03-01T00:00:00.000Z,Earthquake,36231.52
1361,King,2001-03-01T00:00:00.000Z,Earthquake,2675825.52
1361,King,2001-03-01T00:00:00.000Z,Earthquake,3450.47
1361,Pierce,2001-03-01T00:00:00.000Z,Earthquake,3297.06
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,2117.25
1361,King,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,King,2001-03-01T00:00:00.000Z,Earthquake,0.0
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,20116.34
1361,Lewis,2001-03-01T00:00:00.000Z,Earthquake,60482.33
1361,King,2001-03-01T00:00:00.000Z,Earthquake,968517.36
1361,Kitsap,2001-03-01T00:00:00.000Z,Earthquake,0.0
