disasterNumber,county,declarationDate,incidentType,amountOblig
1284,Statewide,1999-08-16T00:00:00.000Z,Flood,27504.75
1284,Bayfield,1999-08-16T00:00:00.000Z,Flood,50237.25
1284,Iron,1999-08-16T00:00:00.000Z,Flood,3108.63
1284,Bayfield,1999-08-16T00:00:00.000Z,Flood,124167.75
1284,Bayfield,1999-08-16T00:00:00.000Z,Flood,19820.84
1284,Sawyer,1999-08-16T00:00:00.000Z,Flood,46740.06
1284,Sawyer,1999-08-16T00:00:00.000Z,Flood,0.0
1284,Statewide,1999-08-16T00:00:00.000Z,Flood,1842.86
1284,Bayfield,1999-08-16T00:00:00.000Z,Flood,68292.5
1284,Bayfield,1999-08-16T00:00:00.000Z,Flood,17345.25
1284,Price,1999-08-16T00:00:00.000Z,Flood,0.0
1284,Rusk,1999-08-16T00:00:00.000Z,Flood,806.25
1284,Douglas,1999-08-16T00:00:00.000Z,Flood,21823.5
1284,Rusk,1999-08-16T00:00:00.000Z,Flood,47830.5
1284,Bayfield,1999-08-16T00:00:00.000Z,Flood,12377.47
1284,Iron,1999-08-16T00:00:00.000Z,Flood,1410.75
1284,Douglas,1999-08-16T00:00:00.000Z,Flood,21087.0
1284,Vilas,1999-08-16T00:00:00.000Z,Flood,22515.75
1284,Ashland,1999-08-16T00:00:00.000Z,Flood,4905.75
1284,Ashland,1999-08-16T00:00:00.000Z,Flood,5237.25
1284,Florence,1999-08-16T00:00:00.000Z,Flood,39440.33
1284,Douglas,1999-08-16T00:00:00.000Z,Flood,29150.25
1284,Oneida,1999-08-16T00:00:00.000Z,Flood,1151.12
1284,Douglas,1999-08-16T00:00:00.000Z,Flood,8338.13
1284,Iron,1999-08-16T00:00:00.000Z,Flood,13022.25
1284,Douglas,1999-08-16T00:00:00.000Z,Flood,26221.67
1284,Vilas,1999-08-16T00:00:00.000Z,Flood,10850.54
1284,Florence,1999-08-16T00:00:00.000Z,Flood,1806.75
1284,Florence,1999-08-16T00:00:00.000Z,Flood,115117.5
