State,Total_Amount
Texas,6584137583.38
North Carolina,1619700580.7599998
South Carolina,785187473.95
New York,21318702019.53
Virginia,658487148.5
Missouri,940267438.5699999
Virgin Islands of the U.S.,2219135968.95
Alabama,873245352.27
Puerto Rico,7127199939.119999
Washington,494288571.38
Kansas,1015278813.4200001
Tennessee,646950944.01
Wisconsin,216221180.01
Mississippi,3562678904.5999994
Iowa,1692024824.3199997
Arkansas,747694694.1
Oklahoma,1288427462.8000002
Minnesota,412964994.41
Louisiana,16364427364.48
North Dakota,604013752.44
Maine,111434686.62
Pennsylvania,656990193.3800001
Colorado,421593009.21999997
Nevada,55303668.93000001
Illinois,339087755.62
Georgia,714670137.49
Nebraska,461952003.76
South Dakota,280319159.98
Utah,35059691.07
Wyoming,20697062.360000003
New Jersey,2619629841.18
Delaware,39609242.97
Florida,8222794899.550001
New Mexico,289924129.74
Maryland,365492547.49
Connecticut,324557064.32
New Hampshire,161091442.31
Vermont,303778022.07
Kentucky,687888081.63
Alaska,265240528.77999997
West Virginia,659827649.05
District of Columbia,61331002.63
Ohio,401290483.85
Hawaii,112998701.3
Arizona,66451472.54
Montana,80516898.4
Guam,85560984.35
Oregon,179625018.3
Michigan,85381621.14
Federated States of Micronesia,20896426.84
Indiana,255437129.55
Northern Mariana Islands,227431845.08
American Samoa,119375869.7
California,3611445344.95
Idaho,47299367.58
Massachusetts,679049230.49
Rhode Island,73596227.60999998
