"Table 1: 2004 Poverty and Median Income Estimates - Counties                             Source: U.S. Census Bureau, Small Area Estimates Branch                              Release date: 12.20.2006",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,37039804,36359662,37719946,12.7,12.5,13,13041492,12694086,13388898,17.8,17.3,18.3,8430886,8142299,8719473,16.2,15.6,16.7,44334,44012,44656,4123715,3917910,4329520,20.5,19.5,21.5
1,0,AL,Alabama,717483,675992,758974,16.1,15.1,17,245017,226152,263881,22.6,20.9,24.4,160787,143834,177740,20.7,18.5,22.9,37062,35614,38510,77330,68732,85928,26.2,23.3,29.1
1,1,AL,Autauga County,5627,4340,6914,11.6,8.9,14.3,2041,1518,2565,16.3,12.1,20.5,1328,938,1718,14.4,10.2,18.6,45379,42625,48310,,,,,,
1,3,AL,Baldwin County,16089,12434,19744,10,7.7,12.3,5415,4019,6812,14.9,11.1,18.8,3521,2484,4558,13.3,9.4,17.3,42227,39726,44886,,,,,,
1,5,AL,Barbour County,6109,4685,7533,23.9,18.3,29.4,2024,1494,2555,31.1,22.9,39.2,1329,931,1727,28,19.6,36.4,26495,24830,28272,,,,,,
1,7,AL,Bibb County,3476,2678,4274,17.1,13.2,21,1211,895,1527,23.8,17.6,30,824,578,1070,22.2,15.5,28.8,34055,31970,36276,,,,,,
1,9,AL,Blount County,6844,5279,8408,12.4,9.5,15.2,2207,1635,2780,16.9,12.6,21.3,1534,1082,1986,16.1,11.4,20.9,38643,36296,41142,,,,,,
1,11,AL,Bullock County,2887,2110,3664,30.3,22.1,38.4,910,645,1175,35,24.8,45.2,658,442,874,35.7,23.9,47.4,20485,19069,22006,,,,,,
1,13,AL,Butler County,4310,3309,5310,21,16.1,25.8,1502,1112,1891,29.8,22,37.5,1007,707,1307,27.9,19.6,36.2,27244,25560,29040,,,,,,
1,15,AL,Calhoun County,18663,14547,22778,16.9,13.2,20.7,6171,4629,7713,24.6,18.4,30.7,3954,2822,5086,22.4,16,28.8,34813,32768,36984,,,,,,
1,17,AL,Chambers County,6030,4638,7422,17.2,13.2,21.2,2011,1493,2529,24,17.8,30.2,1329,935,1723,21.7,15.3,28.2,30573,28688,32582,,,,,,
1,19,AL,Cherokee County,3914,3006,4823,16.1,12.4,19.9,1229,909,1550,23.8,17.6,30,837,587,1087,22,15.5,28.6,33564,31512,35751,,,,,,
1,21,AL,Chilton County,6137,4739,7535,14.8,11.4,18.2,2232,1654,2809,22.4,16.6,28.2,1504,1058,1950,20.9,14.7,27.1,35507,33351,37803,,,,,,
1,23,AL,Choctaw County,2968,2265,3671,20.2,15.4,25,975,713,1236,27.9,20.4,35.4,658,457,859,25.8,17.9,33.7,27690,25897,29606,,,,,,
1,25,AL,Clarke County,5633,4374,6891,20.9,16.2,25.5,2050,1532,2567,28.8,21.6,36.1,1371,975,1767,26.5,18.9,34.2,28776,27036,30628,,,,,,
1,27,AL,Clay County,1913,1464,2362,13.9,10.6,17.2,597,438,756,20,14.7,25.3,396,275,517,17.9,12.5,23.4,31194,29275,33240,,,,,,
1,29,AL,Cleburne County,2116,1631,2601,14.7,11.3,18.1,670,496,845,20.9,15.5,26.3,461,324,598,19.3,13.6,25,34128,32050,36340,,,,,,
1,31,AL,Coffee County,6374,4903,7846,14.2,10.9,17.5,2237,1659,2815,21.2,15.7,26.7,1494,1051,1937,19.6,13.8,25.4,37066,34813,39464,,,,,,
1,33,AL,Colbert County,7963,6174,9752,14.7,11.4,18,2471,1844,3097,20.8,15.5,26,1752,1232,2272,19.7,13.9,25.6,34575,32491,36791,,,,,,
1,35,AL,Conecuh County,3044,2333,3755,23.1,17.7,28.5,1060,783,1337,33.4,24.7,42.1,714,500,928,31,21.7,40.2,24334,22769,26006,,,,,,
1,37,AL,Coosa County,1553,1202,1903,14,10.8,17.1,513,382,645,20.9,15.6,26.3,369,261,477,20.1,14.2,25.9,30173,28340,32124,,,,,,
1,39,AL,Covington County,6834,5255,8413,18.7,14.3,23,2209,1638,2780,26.9,19.9,33.9,1472,1035,1909,24.8,17.4,32.1,29237,27438,31154,,,,,,
1,41,AL,Crenshaw County,2527,1939,3115,18.6,14.3,22.9,840,622,1059,26.6,19.7,33.6,559,392,726,24.9,17.5,32.3,28909,27119,30817,,,,,,
1,43,AL,Cullman County,10883,8352,13413,13.8,10.6,16.9,3485,2574,4396,19.4,14.3,24.5,2334,1636,3032,18,12.6,23.3,35150,33009,37430,,,,,,
1,45,AL,Dale County,7884,6060,9709,16.7,12.8,20.6,3008,2223,3794,23.5,17.4,29.6,2009,1405,2613,22.5,15.7,29.3,34065,31991,36273,,,,,,
1,47,AL,Dallas County,12053,9380,14726,27.4,21.3,33.4,4566,3414,5717,37.5,28.1,47,3039,2165,3913,36,25.7,46.4,24949,23461,26531,,,,,,
1,49,AL,DeKalb County,10523,8075,12972,15.8,12.1,19.4,3601,2659,4543,22.4,16.5,28.2,2395,1677,3113,21.2,14.8,27.5,32286,30311,34389,,,,,,
1,51,AL,Elmore County,8516,6592,10441,12.5,9.7,15.3,3008,2246,3770,17.1,12.8,21.4,2039,1449,2629,16.1,11.4,20.8,43645,41039,46416,,,,,,
1,53,AL,Escambia County,7243,5563,8923,20.1,15.4,24.7,2290,1699,2881,26.3,19.5,33.1,1521,1070,1972,24.6,17.3,31.9,29330,27520,31259,,,,,,
1,55,AL,Etowah County,16432,12633,20230,16.1,12.4,19.9,5590,4149,7031,24,17.8,30.2,3647,2566,4728,21.9,15.4,28.5,32727,30734,34850,,,,,,
1,57,AL,Fayette County,3133,2430,3835,17.4,13.5,21.3,986,735,1237,24.6,18.3,30.8,688,488,888,23.4,16.6,30.3,30595,28751,32556,,,,,,
1,59,AL,Franklin County,5427,4173,6681,17.8,13.7,21.9,1825,1353,2296,25.3,18.8,31.8,1233,867,1599,24.4,17.2,31.6,29234,27424,31163,,,,,,
1,61,AL,Geneva County,4631,3558,5705,18.1,13.9,22.3,1533,1136,1930,27.4,20.3,34.5,1035,727,1343,25.5,17.9,33,28787,27013,30678,,,,,,
1,63,AL,Greene County,2544,1940,3148,26.5,20.2,32.8,897,657,1137,34.7,25.4,44,616,428,804,32.9,22.8,43,22439,20989,23990,,,,,,
1,65,AL,Hale County,3770,2885,4655,22,16.8,27.1,1329,982,1677,28.7,21.2,36.3,887,622,1152,25.8,18.1,33.5,26841,25171,28622,,,,,,
1,67,AL,Henry County,2825,2169,3482,17.1,13.2,21.1,938,694,1181,25.1,18.6,31.7,626,439,813,23.8,16.7,30.9,32441,30463,34547,,,,,,
1,69,AL,Houston County,14749,11338,18161,15.8,12.1,19.5,5456,4052,6861,23.5,17.5,29.6,3563,2508,4618,21.8,15.3,28.3,36616,34385,38993,,,,,,
