Table with column headers in row 3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
"2012 Poverty and Median Household Income Estimates - Counties, States, and National                             Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program      Release date:  December 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,48760123,48528543,48991703,15.9,15.8,16,16396863,16275868,16517858,22.6,22.4,22.8,11086537,10995403,11177671,21,20.8,21.2,51371,51318,51424,5014970,4971692,5058248,25.6,25.4,25.8
01,000,AL,Alabama,896515,880205,912825,19,18.7,19.3,306451,298963,313939,27.6,26.9,28.3,208811,202516,215106,25.8,25,26.6,41610,41143,42077,94623,90649,98597,31.6,30.3,32.9
01,001,AL,Autauga County,7017,5688,8346,12.7,10.3,15.1,2648,2088,3208,18.5,14.6,22.4,1883,1479,2287,17.6,13.8,21.4,51441,47185,55697,.,.,.,.,.,.
01,003,AL,Baldwin County,26177,22636,29718,13.9,12,15.8,8723,7204,10242,20.5,16.9,24.1,6109,4961,7257,19.4,15.7,23.1,48867,46453,51281,.,.,.,.,.,.
01,005,AL,Barbour County,6892,5776,8008,29,24.3,33.7,2683,2322,3044,47,40.7,53.3,1797,1514,2080,42.9,36.2,49.6,30287,27664,32910,.,.,.,.,.,.
01,007,AL,Bibb County,4371,3463,5279,21.5,17,26,1297,996,1598,27.2,20.9,33.5,914,702,1126,25.6,19.7,31.5,37392,33881,40903,.,.,.,.,.,.
01,009,AL,Blount County,9264,7634,10894,16.2,13.4,19,3179,2552,3806,23.1,18.6,27.6,2226,1776,2676,21.7,17.3,26.1,44225,40725,47725,.,.,.,.,.,.
01,011,AL,Bullock County,2848,2180,3516,32.3,24.7,39.9,949,735,1163,43.2,33.5,52.9,642,492,792,42.8,32.8,52.8,25854,23441,28267,.,.,.,.,.,.
01,013,AL,Butler County,5247,4403,6091,26.3,22.1,30.5,1959,1642,2276,42.1,35.3,48.9,1325,1092,1558,38.9,32.1,45.7,30605,27837,33373,.,.,.,.,.,.
01,015,AL,Calhoun County,24533,21777,27289,21.4,19,23.8,8212,7051,9373,31.4,27,35.8,5825,4993,6657,30.5,26.1,34.9,39212,36463,41961,.,.,.,.,.,.
01,017,AL,Chambers County,7210,5963,8457,21.5,17.8,25.2,2557,2128,2986,34.7,28.9,40.5,1972,1682,2262,36.3,31,41.6,32320,30034,34606,.,.,.,.,.,.
01,019,AL,Cherokee County,5027,3994,6060,19.6,15.6,23.6,1607,1247,1967,29.9,23.2,36.6,1104,848,1360,26.8,20.6,33,37868,34890,40846,.,.,.,.,.,.
01,021,AL,Chilton County,8701,7185,10217,20.1,16.6,23.6,3218,2615,3821,30.2,24.5,35.9,2095,1651,2539,27,21.3,32.7,39621,36341,42901,.,.,.,.,.,.
01,023,AL,Choctaw County,2802,2259,3345,20.8,16.8,24.8,890,698,1082,30.1,23.6,36.6,602,467,737,26.9,20.8,33,33390,30479,36301,.,.,.,.,.,.
01,025,AL,Clarke County,5343,4340,6346,21.5,17.5,25.5,1881,1465,2297,31.8,24.8,38.8,1277,983,1571,28.3,21.8,34.8,34606,31450,37762,.,.,.,.,.,.
01,027,AL,Clay County,2521,1983,3059,19.1,15,23.2,887,690,1084,30,23.3,36.7,620,479,761,28.1,21.7,34.5,34579,31977,37181,.,.,.,.,.,.
01,029,AL,Cleburne County,2712,2208,3216,18.6,15.1,22.1,869,687,1051,26,20.6,31.4,619,488,750,24.6,19.4,29.8,38235,34754,41716,.,.,.,.,.,.
01,031,AL,Coffee County,7650,6396,8904,15.1,12.6,17.6,2730,2192,3268,22.5,18.1,26.9,1909,1522,2296,21.8,17.4,26.2,45631,42496,48766,.,.,.,.,.,.
01,033,AL,Colbert County,8714,7054,10374,16.2,13.1,19.3,2969,2313,3625,25.3,19.7,30.9,2123,1653,2593,24.7,19.2,30.2,39771,36851,42691,.,.,.,.,.,.
01,035,AL,Conecuh County,4036,3354,4718,31.3,26,36.6,1330,1086,1574,46.3,37.8,54.8,876,701,1051,40.3,32.2,48.4,27110,24653,29567,.,.,.,.,.,.
01,037,AL,Coosa County,2276,1813,2739,21,16.7,25.3,650,510,790,31.1,24.4,37.8,456,357,555,28.6,22.4,34.8,32960,29747,36173,.,.,.,.,.,.
01,039,AL,Covington County,7805,6607,9003,20.9,17.7,24.1,2859,2388,3330,34,28.4,39.6,2093,1749,2437,34,28.4,39.6,34017,31347,36687,.,.,.,.,.,.
01,041,AL,Crenshaw County,2794,2251,3337,20.1,16.2,24,955,740,1170,29,22.5,35.5,659,506,812,27.6,21.2,34,33648,30639,36657,.,.,.,.,.,.
01,043,AL,Cullman County,14851,12890,16812,18.7,16.2,21.2,4607,3810,5404,25.6,21.2,30,3172,2580,3764,24.1,19.6,28.6,37938,35764,40112,.,.,.,.,.,.
01,045,AL,Dale County,9429,7952,10906,19.1,16.1,22.1,3403,2773,4033,28,22.8,33.2,2359,1910,2808,27.1,21.9,32.3,40125,36941,43309,.,.,.,.,.,.
01,047,AL,Dallas County,15588,13803,17373,36.8,32.6,41,6634,5964,7304,59.6,53.6,65.6,4259,3713,4805,53.5,46.6,60.4,27400,25518,29282,.,.,.,.,.,.
01,049,AL,DeKalb County,12711,10095,15327,18.1,14.4,21.8,5417,4241,6593,30.4,23.8,37,3661,2826,4496,28.1,21.7,34.5,37644,36180,39108,.,.,.,.,.,.
01,051,AL,Elmore County,10396,8618,12174,13.8,11.4,16.2,3767,3033,4501,20.5,16.5,24.5,2551,2018,3084,18.9,14.9,22.9,52324,48833,55815,.,.,.,.,.,.
01,053,AL,Escambia County,9690,8336,11044,27.9,24,31.8,3176,2683,3669,37.6,31.8,43.4,2192,1829,2555,35.7,29.8,41.6,33588,30629,36547,.,.,.,.,.,.
01,055,AL,Etowah County,21508,18525,24491,21,18.1,23.9,7270,6080,8460,31,25.9,36.1,5192,4343,6041,30,25.1,34.9,35737,33104,38370,.,.,.,.,.,.
01,057,AL,Fayette County,2942,2301,3583,17.6,13.8,21.4,1008,775,1241,27.5,21.1,33.9,713,545,881,26.2,20,32.4,35720,32757,38683,.,.,.,.,.,.
01,059,AL,Franklin County,6116,4908,7324,19.5,15.7,23.3,2437,1904,2970,31.4,24.5,38.3,1719,1317,2121,30.9,23.7,38.1,33173,30442,35904,.,.,.,.,.,.
01,061,AL,Geneva County,6086,5166,7006,22.8,19.3,26.3,2098,1691,2505,35.8,28.9,42.7,1460,1154,1766,33.2,26.2,40.2,33347,30525,36169,.,.,.,.,.,.
01,063,AL,Greene County,3011,2383,3639,34.1,27,41.2,1014,795,1233,48.2,37.8,58.6,695,541,849,45,35,55,24592,22485,26699,.,.,.,.,.,.
01,065,AL,Hale County,4198,3487,4909,27.9,23.2,32.6,1419,1138,1700,38.7,31.1,46.3,960,765,1155,34.8,27.7,41.9,31025,28104,33946,.,.,.,.,.,.
01,067,AL,Henry County,3275,2670,3880,19.2,15.7,22.7,1120,889,1351,29.2,23.2,35.2,790,625,955,27.8,22,33.6,37108,33652,40564,.,.,.,.,.,.
01,069,AL,Houston County,19414,17440,21388,19,17.1,20.9,7114,6156,8072,28.9,25,32.8,4769,4060,5478,26.7,22.7,30.7,40609,38486,42732,.,.,.,.,.,.
01,071,AL,Jackson County,8610,6892,10328,16.4,13.1,19.7,2883,2256,3510,25,19.6,30.4,2076,1624,2528,24,18.8,29.2,39618,36601,42635,.,.,.,.,.,.
01,073,AL,Jefferson County,120153,110955,129351,18.6,17.2,20,42170,38386,45954,27.6,25.1,30.1,27819,25003,30635,25.8,23.2,28.4,43967,42078,45856,.,.,.,.,.,.
01,075,AL,Lamar County,3159,2625,3693,22.5,18.7,26.3,944,763,1125,30.8,24.9,36.7,642,511,773,27.6,22,33.2,33940,30990,36890,.,.,.,.,.,.
01,077,AL,Lauderdale County,18344,16138,20550,20.2,17.8,22.6,5690,4885,6495,29.3,25.1,33.5,3748,3146,4350,26.1,21.9,30.3,41536,38650,44422,.,.,.,.,.,.
01,079,AL,Lawrence County,6697,5651,7743,20,16.9,23.1,2186,1809,2563,28.8,23.8,33.8,1433,1141,1725,25.4,20.2,30.6,38524,35088,41960,.,.,.,.,.,.
01,081,AL,Lee County,32855,30196,35514,23,21.1,24.9,6687,5457,7917,21.2,17.3,25.1,4551,3665,5437,19.6,15.8,23.4,43182,40232,46132,.,.,.,.,.,.
01,083,AL,Limestone County,10786,8686,12886,12.8,10.3,15.3,3881,3025,4737,18.9,14.7,23.1,2547,1955,3139,16.9,13,20.8,49616,45861,53371,.,.,.,.,.,.
01,085,AL,Lowndes County,2862,2246,3478,26.6,20.9,32.3,1115,868,1362,42.8,33.3,52.3,758,582,934,40.9,31.4,50.4,28544,25875,31213,.,.,.,.,.,.
01,087,AL,Macon County,6209,5114,7304,33.1,27.3,38.9,1882,1529,2235,49,39.8,58.2,1247,989,1505,44.8,35.5,54.1,27709,25516,29902,.,.,.,.,.,.
01,089,AL,Madison County,42183,36831,47535,12.6,11,14.2,13621,11290,15952,17.4,14.4,20.4,9225,7456,10994,16,12.9,19.1,57072,54679,59465,.,.,.,.,.,.
01,091,AL,Marengo County,5339,4496,6182,26.5,22.3,30.7,1730,1402,2058,36.4,29.5,43.3,1149,902,1396,32.6,25.6,39.6,31888,29536,34240,.,.,.,.,.,.
01,093,AL,Marion County,6580,5429,7731,22.2,18.3,26.1,1982,1586,2378,30.8,24.7,36.9,1420,1129,1711,29.3,23.3,35.3,32237,29680,34794,.,.,.,.,.,.
01,095,AL,Marshall County,20075,17479,22671,21.5,18.7,24.3,8359,7274,9444,35.6,31,40.2,5854,5061,6647,34.7,30,39.4,36960,34612,39308,.,.,.,.,.,.
01,097,AL,Mobile County,85452,78207,92697,21,19.2,22.8,31097,27507,34687,30.9,27.3,34.5,20787,18115,23459,28.7,25,32.4,39546,37309,41783,.,.,.,.,.,.
01,099,AL,Monroe County,4726,3722,5730,21.1,16.6,25.6,1814,1396,2232,33.3,25.6,41,1206,914,1498,29.1,22,36.2,36221,33721,38721,.,.,.,.,.,.
01,101,AL,Montgomery County,48003,42886,53120,21.7,19.4,24,17427,14911,19943,31.3,26.8,35.8,11934,10099,13769,30.1,25.5,34.7,41430,39632,43228,.,.,.,.,.,.
01,103,AL,Morgan County,19176,16383,21969,16.2,13.8,18.6,6572,5373,7771,23.3,19,27.6,4524,3666,5382,21.9,17.7,26.1,44766,41286,48246,.,.,.,.,.,.
01,105,AL,Perry County,3449,2700,4198,36.6,28.7,44.5,1245,970,1520,51.2,39.9,62.5,865,668,1062,48.3,37.3,59.3,25215,22744,27686,.,.,.,.,.,.
01,107,AL,Pickens County,4455,3643,5267,23.4,19.1,27.7,1488,1179,1797,34.1,27,41.2,1061,842,1280,33,26.2,39.8,31433,28751,34115,.,.,.,.,.,.
01,109,AL,Pike County,8369,7093,9645,26.7,22.6,30.8,2186,1733,2639,33.5,26.6,40.4,1505,1187,1823,32.9,25.9,39.9,32411,29425,35397,.,.,.,.,.,.
01,111,AL,Randolph County,5069,4203,5935,22.8,18.9,26.7,1796,1474,2118,34.8,28.6,41,1143,895,1391,29.3,23,35.6,35024,32088,37960,.,.,.,.,.,.
01,113,AL,Russell County,13495,11504,15486,23.6,20.1,27.1,5344,4454,6234,36.5,30.4,42.6,3605,2933,4277,35.8,29.1,42.5,34310,31744,36876,.,.,.,.,.,.
01,115,AL,St. Clair County,13133,11268,14998,15.8,13.6,18,4158,3357,4959,21,17,25,2918,2329,3507,20.3,16.2,24.4,50989,48054,53924,.,.,.,.,.,.
01,117,AL,Shelby County,17276,14615,19937,8.7,7.4,10,6096,5060,7132,12.3,10.2,14.4,4224,3469,4979,11.4,9.4,13.4,67244,63500,70988,.,.,.,.,.,.
01,119,AL,Sumter County,4608,3747,5469,36.5,29.7,43.3,1285,1007,1563,45,35.3,54.7,902,707,1097,42.1,33,51.2,24059,21735,26383,.,.,.,.,.,.
01,121,AL,Talladega County,18298,15939,20657,23.3,20.3,26.3,6385,5499,7271,34.8,30,39.6,4404,3735,5073,32.5,27.6,37.4,34785,32074,37496,.,.,.,.,.,.
01,123,AL,Tallapoosa County,9551,8347,10755,23.5,20.5,26.5,3403,2986,3820,38,33.3,42.7,2359,2046,2672,36.2,31.4,41,36463,34186,38740,.,.,.,.,.,.
01,125,AL,Tuscaloosa County,36795,32727,40863,19.5,17.3,21.7,10711,9146,12276,25.7,21.9,29.5,7347,6257,8437,24.7,21,28.4,41495,39492,43498,.,.,.,.,.,.
01,127,AL,Walker County,13676,11769,15583,21,18.1,23.9,4097,3390,4804,28.2,23.3,33.1,2710,2171,3249,25.2,20.2,30.2,36600,33674,39526,.,.,.,.,.,.
01,129,AL,Washington County,3564,2941,4187,21,17.3,24.7,1174,933,1415,28.8,22.9,34.7,827,655,999,26.3,20.8,31.8,39173,35632,42714,.,.,.,.,.,.
01,131,AL,Wilcox County,4126,3394,4858,36.5,30,43,1475,1182,1768,51,40.9,61.1,1029,813,1245,45.8,36.2,55.4,22126,20016,24236,.,.,.,.,.,.
01,133,AL,Winston County,6288,5478,7098,26.4,23,29.8,2038,1743,2333,40.3,34.5,46.1,1374,1157,1591,35.8,30.2,41.4,32663,29713,35613,.,.,.,.,.,.
02,000,AK,Alaska,77494,74043,80945,10.8,10.3,11.3,28125,26359,29891,15.3,14.3,16.3,17409,15915,18903,13.5,12.3,14.7,66503,65013,67993,9792,8887,10697,18.2,16.5,19.9
02,013,AK,Aleutians East Borough,496,384,608,15.7,12.2,19.2,46,35,57,14.4,10.8,18,28,20,36,12.6,9.1,16.1,51514,46988,56040,.,.,.,.,.,.
02,016,AK,Aleutians West Census Area,497,389,605,9.3,7.3,11.3,64,48,80,8.7,6.5,10.9,39,28,50,7.3,5.2,9.4,69192,64655,73729,.,.,.,.,.,.
02,020,AK,Anchorage Borough,26220,23202,29238,9,8,10,9446,8103,10789,12.8,11,14.6,5698,4727,6669,11.1,9.2,13,71094,67836,74352,.,.,.,.,.,.
02,050,AK,Bethel Census Area,4820,4123,5517,27.6,23.6,31.6,2221,1806,2636,35.1,28.5,41.7,1409,1114,1704,32,25.3,38.7,41722,38382,45062,.,.,.,.,.,.
02,060,AK,Bristol Bay Borough,90,70,110,9.3,7.2,11.4,27,20,34,12,8.9,15.1,18,13,23,10.7,7.7,13.7,66178,60498,71858,.,.,.,.,.,.
02,068,AK,Denali Borough,115,90,140,6.2,4.9,7.5,25,19,31,6.4,4.8,8,15,11,19,5.3,3.8,6.8,66325,59926,72724,.,.,.,.,.,.
02,070,AK,Dillingham Census Area,1035,824,1246,20.7,16.5,24.9,467,359,575,28.8,22.1,35.5,298,218,378,27.9,20.4,35.4,47498,43428,51568,.,.,.,.,.,.
02,090,AK,Fairbanks North Star Borough,8847,7131,10563,9.2,7.4,11,3219,2456,3982,13.2,10.1,16.3,2076,1545,2607,12.5,9.3,15.7,63979,59625,68333,.,.,.,.,.,.
02,100,AK,Haines Borough,300,238,362,11.8,9.4,14.2,85,64,106,17.6,13.2,22,54,39,69,15,10.8,19.2,49890,45139,54641,.,.,.,.,.,.
02,105,AK,Hoonah-Angoon Census Area,373,290,456,17.5,13.6,21.4,108,81,135,25.8,19.4,32.2,69,50,88,23,16.7,29.3,40371,36594,44148,.,.,.,.,.,.
02,110,AK,Juneau Borough,2517,2031,3003,7.9,6.4,9.4,798,633,963,11,8.7,13.3,445,331,559,8.6,6.4,10.8,76967,72109,81825,.,.,.,.,.,.
02,122,AK,Kenai Peninsula Borough,5986,4931,7041,10.8,8.9,12.7,1908,1486,2330,14.8,11.5,18.1,1169,871,1467,12.6,9.4,15.8,60431,56539,64323,.,.,.,.,.,.
02,130,AK,Ketchikan Gateway Borough,1454,1167,1741,10.7,8.6,12.8,487,375,599,15.6,12,19.2,294,216,372,13.3,9.8,16.8,61296,56161,66431,.,.,.,.,.,.
02,150,AK,Kodiak Island Borough,1204,955,1453,8.6,6.8,10.4,445,340,550,11.8,9,14.6,269,198,340,10.3,7.6,13,61498,55791,67205,.,.,.,.,.,.
02,164,AK,Lake and Peninsula Borough,288,227,349,17.5,13.8,21.2,114,88,140,23.5,18.1,28.9,72,53,91,21.5,15.9,27.1,44657,40608,48706,.,.,.,.,.,.
02,170,AK,Matanuska-Susitna Borough,9357,7934,10780,10.1,8.6,11.6,3236,2571,3901,12.6,10,15.2,2025,1545,2505,10.7,8.2,13.2,68109,65123,71095,.,.,.,.,.,.
02,180,AK,Nome Census Area,2770,2434,3106,28.6,25.1,32.1,1115,934,1296,33.3,27.9,38.7,695,558,832,31.1,25,37.2,47022,43352,50692,.,.,.,.,.,.
02,185,AK,North Slope Borough,1474,1192,1756,15.4,12.5,18.3,419,322,516,17.9,13.7,22.1,260,193,327,16.5,12.3,20.7,69138,62983,75293,.,.,.,.,.,.
02,188,AK,Northwest Arctic Borough,1714,1392,2036,22.1,17.9,26.3,767,591,943,27.3,21,33.6,496,369,623,27.1,20.1,34.1,52945,49204,56686,.,.,.,.,.,.
02,195,AK,Petersburg Census Area,416,333,499,10.8,8.6,13,134,104,164,15.6,12,19.2,82,61,103,13.2,9.8,16.6,57728,52214,63242,.,.,.,.,.,.
02,198,AK,Prince of Wales-Hyder Census Area,984,774,1194,17.2,13.5,20.9,356,270,442,25.2,19.1,31.3,223,162,284,22.8,16.6,29,44721,40824,48618,.,.,.,.,.,.
02,220,AK,Sitka Borough,763,593,933,8.6,6.7,10.5,225,170,280,11.2,8.5,13.9,135,98,172,9.7,7.1,12.3,61771,57037,66505,.,.,.,.,.,.
02,230,AK,Skagway Municipality,40,31,49,4.2,3.2,5.2,11,8,14,8.3,6.1,10.5,7,5,9,8.1,5.6,10.6,65379,58871,71887,.,.,.,.,.,.
02,240,AK,Southeast Fairbanks Census Area,906,706,1106,12.8,10,15.6,340,254,426,18.7,14,23.4,217,156,278,16.6,12,21.2,56456,51089,61823,.,.,.,.,.,.
02,261,AK,Valdez-Cordova Census Area,913,715,1111,9.5,7.4,11.6,266,198,334,11.4,8.5,14.3,171,123,219,10.1,7.3,12.9,65098,60037,70159,.,.,.,.,.,.
02,270,AK,Wade Hampton Census Area,2251,1821,2681,28.9,23.4,34.4,1202,916,1488,37.2,28.3,46.1,789,575,1003,35.7,26,45.4,32860,30424,35296,.,.,.,.,.,.
02,275,AK,Wrangell City and Borough,273,209,337,11.5,8.8,14.2,89,67,111,17.3,13,21.6,56,41,71,14.4,10.4,18.4,47373,43477,51269,.,.,.,.,.,.
02,282,AK,Yakutat Borough,94,73,115,14.1,10.9,17.3,25,19,31,16.8,12.7,20.9,16,12,20,15.4,11.2,19.6,47565,43016,52114,.,.,.,.,.,.
02,290,AK,Yukon-Koyukuk Census Area,1298,1066,1530,22.6,18.6,26.6,478,369,587,30.7,23.7,37.7,284,205,363,26.7,19.3,34.1,33998,31302,36694,.,.,.,.,.,.
