Table with column headers in rows 3 and 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
"2014 Poverty and Median Household Income Estimates - Counties, States, and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release date:  December 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,48208387,47966830,48449944,15.5,15.4,15.6,15686012,15564145,15807879,21.7,21.5,21.9,10714518,10632252,10796784,20.4,20.2,20.6,53657,53564,53750,4658187,4609104,4707270,23.9,23.7,24.1
01,000,AL,Alabama,905682,888317,923047,19.2,18.8,19.6,298682,290188,307176,27.4,26.6,28.2,207154,199920,214388,25.9,25,26.8,42917,42335,43499,88203,83938,92468,30.6,29.1,32.1
01,001,AL,Autauga County,7204,5845,8563,13.1,10.6,15.6,2505,1928,3082,18.1,13.9,22.3,1832,1417,2247,17.4,13.5,21.3,54366,50916,57816,.,.,.,.,.,.
01,003,AL,Baldwin County,25696,21539,29853,13,10.9,15.1,8637,6788,10486,19.8,15.6,24,6118,4773,7463,18.7,14.6,22.8,49626,46516,52736,.,.,.,.,.,.
01,005,AL,Barbour County,5943,4539,7347,25.4,19.4,31.4,2137,1666,2608,38.1,29.7,46.5,1521,1180,1862,37,28.7,45.3,34971,32475,37467,.,.,.,.,.,.
01,007,AL,Bibb County,3666,2752,4580,18.1,13.6,22.6,1237,933,1541,26.8,20.2,33.4,866,651,1081,25.2,18.9,31.5,39546,36344,42748,.,.,.,.,.,.
01,009,AL,Blount County,10000,8513,11487,17.5,14.9,20.1,3241,2649,3833,24.1,19.7,28.5,2248,1812,2684,22.5,18.1,26.9,45567,41885,49249,.,.,.,.,.,.
01,011,AL,Bullock County,3179,2474,3884,35.1,27.3,42.9,980,762,1198,43.1,33.5,52.7,649,492,806,40.4,30.6,50.2,26580,23720,29440,.,.,.,.,.,.
01,013,AL,Butler County,4988,4098,5878,25,20.5,29.5,1735,1418,2052,36.7,30,43.4,1235,1004,1466,35.3,28.7,41.9,32512,29470,35554,.,.,.,.,.,.
01,015,AL,Calhoun County,23114,20246,25982,20.5,18,23,7080,5824,8336,28.1,23.1,33.1,4738,3784,5692,25.4,20.3,30.5,41123,39130,43116,.,.,.,.,.,.
01,017,AL,Chambers County,7170,5900,8440,21.3,17.5,25.1,2255,1776,2734,31.6,24.9,38.3,1562,1202,1922,30.2,23.3,37.1,34116,31147,37085,.,.,.,.,.,.
01,019,AL,Cherokee County,4768,3840,5696,18.6,15,22.2,1462,1129,1795,27.9,21.5,34.3,1019,776,1262,25.4,19.3,31.5,38013,34618,41408,.,.,.,.,.,.
01,021,AL,Chilton County,7874,6373,9375,18.1,14.6,21.6,2896,2239,3553,27.6,21.3,33.9,2070,1587,2553,26.9,20.6,33.2,41450,37827,45073,.,.,.,.,.,.
01,023,AL,Choctaw County,3293,2686,3900,25,20.4,29.6,867,680,1054,31.9,25,38.8,592,460,724,28.7,22.3,35.1,35049,31556,38542,.,.,.,.,.,.
01,025,AL,Clarke County,6137,5034,7240,24.9,20.4,29.4,1881,1495,2267,33.7,26.8,40.6,1333,1059,1607,31.6,25.1,38.1,36620,33045,40195,.,.,.,.,.,.
01,027,AL,Clay County,2592,2050,3134,19.5,15.4,23.6,835,641,1029,28.9,22.2,35.6,581,440,722,26.7,20.2,33.2,35940,32461,39419,.,.,.,.,.,.
01,029,AL,Cleburne County,2527,1961,3093,17,13.2,20.8,854,651,1057,24.8,18.9,30.7,601,455,747,23.1,17.5,28.7,40418,36212,44624,.,.,.,.,.,.
01,031,AL,Coffee County,8407,7058,9756,16.8,14.1,19.5,2974,2418,3530,25,20.3,29.7,2126,1712,2540,24.1,19.4,28.8,46931,44521,49341,.,.,.,.,.,.
01,033,AL,Colbert County,9022,7439,10605,16.7,13.8,19.6,2949,2309,3589,25.3,19.8,30.8,2145,1686,2604,24.9,19.6,30.2,43057,40574,45540,.,.,.,.,.,.
01,035,AL,Conecuh County,3846,3170,4522,30.6,25.2,36,1103,859,1347,41.2,32.1,50.3,752,574,930,37.8,28.9,46.7,29101,26030,32172,.,.,.,.,.,.
01,037,AL,Coosa County,1976,1531,2421,18.8,14.6,23,568,432,704,29,22.1,35.9,401,303,499,27.8,21,34.6,34679,31183,38175,.,.,.,.,.,.
01,039,AL,Covington County,7778,6372,9184,20.8,17,24.6,2493,1974,3012,30.2,23.9,36.5,1760,1393,2127,29.1,23,35.2,36149,33485,38813,.,.,.,.,.,.
01,041,AL,Crenshaw County,2929,2383,3475,21.2,17.2,25.2,873,666,1080,28,21.4,34.6,610,464,756,26.8,20.4,33.2,34445,30934,37956,.,.,.,.,.,.
01,043,AL,Cullman County,13809,11622,15996,17.2,14.5,19.9,4219,3339,5099,23.5,18.6,28.4,2892,2233,3551,21.9,16.9,26.9,39922,36753,43091,.,.,.,.,.,.
01,045,AL,Dale County,10865,9474,12256,22.4,19.5,25.3,3869,3320,4418,33.5,28.7,38.3,2649,2212,3086,31.4,26.2,36.6,41940,39123,44757,.,.,.,.,.,.
01,047,AL,Dallas County,14470,12636,16304,35.2,30.7,39.7,5134,4315,5953,49.5,41.6,57.4,3401,2762,4040,44.8,36.4,53.2,26602,24316,28888,.,.,.,.,.,.
01,049,AL,DeKalb County,16856,14769,18943,24,21,27,6314,5478,7150,36.5,31.7,41.3,4714,4104,5324,36.4,31.7,41.1,36241,32733,39749,.,.,.,.,.,.
01,051,AL,Elmore County,10867,9033,12701,14.4,12,16.8,3808,3044,4572,20.7,16.5,24.9,2641,2092,3190,19.4,15.4,23.4,54298,50247,58349,.,.,.,.,.,.
01,053,AL,Escambia County,8639,7140,10138,25.1,20.7,29.5,2588,2029,3147,31.6,24.8,38.4,1861,1461,2261,31.4,24.6,38.2,37077,33710,40444,.,.,.,.,.,.
01,055,AL,Etowah County,19291,16596,21986,19,16.3,21.7,6606,5457,7755,29.5,24.4,34.6,4494,3654,5334,27.2,22.1,32.3,39904,37653,42155,.,.,.,.,.,.
01,057,AL,Fayette County,3425,2713,4137,20.6,16.3,24.9,1056,815,1297,29.2,22.5,35.9,739,568,910,27.1,20.8,33.4,35664,32388,38940,.,.,.,.,.,.
01,059,AL,Franklin County,7222,5973,8471,23.1,19.1,27.1,2688,2202,3174,35.5,29.1,41.9,1965,1616,2314,35.6,29.3,41.9,33881,30722,37040,.,.,.,.,.,.
01,061,AL,Geneva County,6303,5191,7415,23.9,19.7,28.1,2129,1698,2560,36.4,29,43.8,1509,1200,1818,34.9,27.7,42.1,34425,31040,37810,.,.,.,.,.,.
01,063,AL,Greene County,2819,2216,3422,33.2,26.1,40.3,905,688,1122,45.7,34.7,56.7,638,484,792,42.9,32.5,53.3,26504,23686,29322,.,.,.,.,.,.
01,065,AL,Hale County,4182,3450,4914,28.1,23.2,33,1295,1008,1582,36.8,28.6,45,914,712,1116,35.3,27.5,43.1,33315,29845,36785,.,.,.,.,.,.
01,067,AL,Henry County,2925,2251,3599,17.3,13.3,21.3,984,744,1224,27.4,20.7,34.1,700,528,872,26.3,19.8,32.8,39930,35929,43931,.,.,.,.,.,.
01,069,AL,Houston County,20643,18644,22642,20.1,18.2,22,7564,6582,8546,31.1,27.1,35.1,5332,4607,6057,29.8,25.7,33.9,40124,38031,42217,.,.,.,.,.,.
01,071,AL,Jackson County,11440,9956,12924,22,19.1,24.9,3241,2658,3824,28.8,23.6,34,2345,1923,2767,27.8,22.8,32.8,36923,33586,40260,.,.,.,.,.,.
01,073,AL,Jefferson County,125778,117669,133887,19.5,18.2,20.8,44281,40717,47845,29.4,27,31.8,31119,28360,33878,28.9,26.3,31.5,44852,43110,46594,.,.,.,.,.,.
01,075,AL,Lamar County,2856,2233,3479,20.6,16.1,25.1,857,657,1057,28.3,21.7,34.9,596,454,738,25.7,19.6,31.8,34553,31100,38006,.,.,.,.,.,.
01,077,AL,Lauderdale County,17041,14948,19134,18.7,16.4,21,4951,4138,5764,26.3,22,30.6,3238,2623,3853,23,18.6,27.4,41324,38496,44152,.,.,.,.,.,.
01,079,AL,Lawrence County,5499,4395,6603,16.6,13.3,19.9,1666,1257,2075,23.2,17.5,28.9,1162,864,1460,21.5,16,27,41574,37719,45429,.,.,.,.,.,.
01,081,AL,Lee County,37752,34865,40639,25.2,23.3,27.1,8668,7533,9803,26.4,22.9,29.9,5972,5113,6831,24.9,21.3,28.5,41256,38469,44043,.,.,.,.,.,.
01,083,AL,Limestone County,11912,9871,13953,13.6,11.3,15.9,3970,3112,4828,18.9,14.8,23,2711,2107,3315,17.3,13.4,21.2,51175,47435,54915,.,.,.,.,.,.
01,085,AL,Lowndes County,3285,2721,3849,31.4,26,36.8,1040,831,1249,42.7,34.1,51.3,694,541,847,40.2,31.4,49,30675,27628,33722,.,.,.,.,.,.
01,087,AL,Macon County,5649,4554,6744,32.1,25.9,38.3,1542,1193,1891,44.4,34.3,54.5,1114,863,1365,43.5,33.7,53.3,28518,25739,31297,.,.,.,.,.,.
01,089,AL,Madison County,48750,44219,53281,14.2,12.9,15.5,15731,13631,17831,20.3,17.6,23,10602,8959,12245,18.4,15.5,21.3,58833,55598,62068,.,.,.,.,.,.
01,091,AL,Marengo County,5071,4221,5921,25.6,21.3,29.9,1500,1141,1859,32.7,24.9,40.5,1067,812,1322,31.5,24,39,32977,29576,36378,.,.,.,.,.,.
01,093,AL,Marion County,5925,4615,7235,20.2,15.7,24.7,1663,1253,2073,26.4,19.9,32.9,1157,854,1460,24.6,18.2,31,37707,35395,40019,.,.,.,.,.,.
01,095,AL,Marshall County,20528,17919,23137,22,19.2,24.8,7592,6470,8714,33.3,28.4,38.2,4959,4085,5833,29.8,24.6,35,36536,33475,39597,.,.,.,.,.,.
01,097,AL,Mobile County,80016,72140,87892,19.6,17.7,21.5,29300,25436,33164,29.8,25.9,33.7,20557,17732,23382,29,25,33,42943,40927,44959,.,.,.,.,.,.
01,099,AL,Monroe County,5484,4529,6439,25.3,20.9,29.7,1693,1290,2096,33.3,25.4,41.2,1202,912,1492,31,23.5,38.5,34733,31137,38329,.,.,.,.,.,.
01,101,AL,Montgomery County,48844,43851,53837,22.5,20.2,24.8,17190,14964,19416,32.2,28,36.4,11262,9599,12925,29.5,25.1,33.9,43054,40452,45656,.,.,.,.,.,.
01,103,AL,Morgan County,17665,14635,20695,15,12.4,17.6,6365,5151,7579,23.4,18.9,27.9,4679,3795,5563,23.3,18.9,27.7,45082,42365,47799,.,.,.,.,.,.
01,105,AL,Perry County,4246,3606,4886,46.9,39.8,54,1437,1229,1645,65.9,56.4,75.4,957,805,1109,58.1,48.9,67.3,27403,25233,29573,.,.,.,.,.,.
01,107,AL,Pickens County,4667,3720,5614,25,19.9,30.1,1417,1118,1716,34.5,27.2,41.8,1013,801,1225,33,26.1,39.9,31933,28724,35142,.,.,.,.,.,.
01,109,AL,Pike County,8237,7019,9455,26.4,22.5,30.3,2172,1799,2545,34,28.2,39.8,1534,1266,1802,34.1,28.2,40,31844,29665,34023,.,.,.,.,.,.
01,111,AL,Randolph County,4512,3537,5487,20.4,16,24.8,1462,1102,1822,29.8,22.4,37.2,1040,781,1299,28.6,21.5,35.7,36939,33876,40002,.,.,.,.,.,.
01,113,AL,Russell County,12309,10158,14460,20.9,17.2,24.6,4501,3508,5494,30.3,23.6,37,3130,2370,3890,30.3,22.9,37.7,35585,32791,38379,.,.,.,.,.,.
01,115,AL,St. Clair County,12071,9988,14154,14.3,11.8,16.8,3634,2795,4473,18.5,14.2,22.8,2530,1937,3123,17.6,13.5,21.7,50571,47017,54125,.,.,.,.,.,.
01,117,AL,Shelby County,19610,16966,22254,9.6,8.3,10.9,5813,4610,7016,11.7,9.3,14.1,4028,3139,4917,10.7,8.3,13.1,69432,65163,73701,.,.,.,.,.,.
01,119,AL,Sumter County,4692,3817,5567,38.1,31,45.2,1315,1065,1565,51.1,41.4,60.8,885,704,1066,45.2,36,54.4,25413,22750,28076,.,.,.,.,.,.
01,121,AL,Talladega County,17499,14895,20103,22.5,19.2,25.8,5749,4765,6733,32.7,27.1,38.3,3975,3264,4686,30.3,24.9,35.7,39999,36971,43027,.,.,.,.,.,.
01,123,AL,Tallapoosa County,8633,7231,10035,21.3,17.8,24.8,2924,2409,3439,34.1,28.1,40.1,1935,1555,2315,31.1,25,37.2,36779,33601,39957,.,.,.,.,.,.
01,125,AL,Tuscaloosa County,34553,29855,39251,18,15.6,20.4,9729,7903,11555,23.2,18.8,27.6,6843,5497,8189,22.9,18.4,27.4,46892,44682,49102,.,.,.,.,.,.
01,127,AL,Walker County,15161,13430,16892,23.5,20.8,26.2,4671,4026,5316,32.9,28.4,37.4,2932,2404,3460,28.2,23.1,33.3,37245,33956,40534,.,.,.,.,.,.
01,129,AL,Washington County,3077,2372,3782,18.5,14.3,22.7,1000,759,1241,26.7,20.3,33.1,708,536,880,24.2,18.3,30.1,41321,37775,44867,.,.,.,.,.,.
01,131,AL,Wilcox County,3697,2963,4431,33.7,27,40.4,1289,997,1581,47.1,36.4,57.8,924,715,1133,43.8,33.9,53.7,24035,21489,26581,.,.,.,.,.,.
01,133,AL,Winston County,4796,3874,5718,20.1,16.2,24,1603,1281,1925,32,25.6,38.4,1076,833,1319,28.4,22,34.8,35528,33163,37893,.,.,.,.,.,.
02,000,AK,Alaska,81622,77611,85633,11.4,10.8,12,28273,26300,30246,15.5,14.4,16.6,18113,16500,19726,14.1,12.8,15.4,70898,69423,72373,9170,8090,10250,17.4,15.3,19.5
02,013,AK,Aleutians East Borough,544,418,670,16.2,12.4,20,52,39,65,15.6,11.7,19.5,33,24,42,13.6,9.8,17.4,55462,50254,60670,.,.,.,.,.,.
02,016,AK,Aleutians West Census Area,549,447,651,9.9,8.1,11.7,67,50,84,9.7,7.2,12.2,42,30,54,8.6,6.1,11.1,68387,62678,74096,.,.,.,.,.,.
02,020,AK,Anchorage Borough,29207,25674,32740,10,8.8,11.2,10359,8855,11863,14.2,12.1,16.3,6543,5518,7568,12.7,10.7,14.7,75200,71927,78473,.,.,.,.,.,.
02,050,AK,Bethel Census Area,4166,3464,4868,23.8,19.8,27.8,1997,1548,2446,31.7,24.6,38.8,1391,1058,1724,31.9,24.3,39.5,45808,42213,49403,.,.,.,.,.,.
02,060,AK,Bristol Bay Borough,89,67,111,9.5,7.1,11.9,23,17,29,12.2,8.9,15.5,15,11,19,10.9,7.7,14.1,75364,69854,80874,.,.,.,.,.,.
02,068,AK,Denali Borough,133,103,163,7.1,5.5,8.7,32,23,41,8.9,6.5,11.3,21,15,27,7.7,5.5,9.9,69692,63214,76170,.,.,.,.,.,.
02,070,AK,Dillingham Census Area,867,649,1085,17.5,13.1,21.9,388,279,497,25,18,32,250,172,328,24.6,16.9,32.3,51082,46258,55906,.,.,.,.,.,.
02,090,AK,Fairbanks North Star Borough,9011,7519,10503,9.5,7.9,11.1,2481,1917,3045,10.6,8.2,13,1524,1124,1924,9.6,7.1,12.1,67801,63029,72573,.,.,.,.,.,.
02,100,AK,Haines Borough,252,186,318,9.8,7.2,12.4,75,55,95,15.4,11.3,19.5,50,36,64,12.9,9.3,16.5,67260,64077,70443,.,.,.,.,.,.
02,105,AK,Hoonah-Angoon Census Area,397,306,488,19.1,14.7,23.5,124,91,157,31,22.8,39.2,82,58,106,28.1,20,36.2,51687,47668,55706,.,.,.,.,.,.
02,110,AK,Juneau Borough,2500,1991,3009,7.9,6.3,9.5,668,494,842,9.6,7.1,12.1,407,291,523,8,5.7,10.3,80835,73131,88539,.,.,.,.,.,.
